business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
jpKWhKMWlOpTH14XW-NwQQ,Drai's Beach Club,50,10:0-19:0,-115.1720257,36.1149405
4uqPzrv4QcRydUPHV_168Q,Acepool,15,0:0-23:0,-115.2244853,36.2030945
twX6mYg7TT1ImLUJflt5Tg,Spa Aquae,36,8:0-19:0,-115.2917528,36.175747
U8afCPSblJ_kagrU6nghqQ,Desert Breeze Aquatic Facility,29,5:30-20:0,-115.27182,36.12505
XwqDAyiPGnQFuCWUsokSfg,Pool & Lounge Vdara,30,8:0-19:0,-115.1784884,36.1092406
uz9waRQ_LAxVi2RDtUdp5Q,Delano Beach Club,28,8:0-19:0,-115.177689,36.0899555
TGZVewJPoPh7qysgLW9vYg,Hollywood Aquatics Center,28,6:0-19:0,-115.025582,36.153443
X-WXPGYuuknAjZkpYGeRiw,Alexis Park Resort,41,0:0-23:0,-115.1571,36.10802
MTySM0XJ-A8hdmUF-8W1Qw,Pavilion Center Pool,23,5:0-20:0,-115.3335031,36.1744069
t7YEHbN6NiuS1oBlD-R6ag,Excalibur Pool,31,9:0-19:0,-115.175777,36.0987307
gJ-GhQAJmb8NfmYmZ9vNbg,Pool at NY-NY,16,9:0-19:0,-115.175575892,36.1020612895
79JLTCODU59FjrfXKU-bHg,Garside Pool,33,18:0-21:0,-115.233711243,36.1703033447
ZLcTzccbEoNkp5_EGKMUnQ,Citrus at the Downtown Grand Pool Deck,37,9:0-19:0,-115.14183501,36.1714321959
FGL-4F9q8f1su5gAt8g4CQ,Margoa Relaxation,34,10:0-22:0,-115.2422835,36.1886034
2Jn0nyCn-NvOQYvMro0x_w,Aria Sky Pool,18,9:0-20:0,-115.178637205,36.1068983092
hTlGupLQ3pZMo3q0IwDrDw,Guardian Pools,15,8:0-19:0,-115.252123,36.221002
ebTpWT5etXE46CAwi-FVZg,Royalty Pools,24,7:0-19:0,-115.1829873,36.1462673
UJ3J2vIJOrxQ9q7M06Wm4Q,Mandalay Bay Beach,53,8:0-20:0,-115.1727807,36.0908025
fdC-5VI6ifj6CR2LjKWRtQ,Elation Pool,26,9:0-19:0,-115.1553903,36.1474086
v_eEKWfbJ6g8IgN71FVDRQ,Water Wings Swim School,40,8:30-20:0,-115.2975136,36.0980074
wpws2fFdsSvyPAsPAfIxaA,Foxtail Pool Club,37,10:30-19:0,-115.1563054,36.1423378
uBBiD1XJk697Qcr84MIbKA,Wet'n'Wild Las Vegas,47,10:30-22:0,-115.300769297,36.0597629196
