business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
P5ok14ZLSORO-1521ZPWNw,Men Of X,26,21:0-22:30,-115.167874,36.0993459
nW3Cq-PPmDLMMlDaeXLDqA,Wolf Theater,26,15:0-22:30,-115.1587779,36.1319703
A6qvHu4tVEKzwjZjWSCeRQ,V - The Ultimate Variety Show,63,19:0-22:0,-115.168835459,36.1107409676
CMN3KmB5SEfONN00s2nEeQ,Cirque du Soleil - Criss Angel Believe,28,12:0-22:0,-115.175818,36.09558
e98_6C_gMInBf9ZpctDIxw,Matt Goss,38,21:30-23:0,-115.1750576,36.1161559
Oc853wEANeKB1ulOrwNtPg,Sergio Daae,44,0:0-23:0,-115.1738726,36.1097544
lKpq896ntOguhYcReDNrYA,THE 80s SHOW,12,21:0-22:30,-115.1726815,36.1094031
o597EK6uvR5RuPMZEwYCUg,JABBAWOCKEEZ,72,10:0-22:0,-115.1697555,36.1029162
4zD8uwQd1RCbpN1l0fJ64A,Stripper 101,47,9:0-22:0,-115.168838183,36.110703372
fGt3udZE8r9JkbfMZnawXg,Super Summer Theatre,50,20:0-23:0,-115.454147,36.071025
bPfvv7TvMLxxA3__VomsxQ,Saddle N Spurs Saloon,30,0:0-23:0,-115.2232141,36.2023801
1UZi8dTv44-qizFTI64UJA,Vinnie Favorito Unfiltered,54,21:0-22:30,-115.1512526,36.1362575
bzwLwNB4i38hE-hUKMbH5w,Andrew Dice Clay,30,21:0-23:0,-115.1538512,36.1090109
a2JgQgEGm5hMDEhryhMMJg,VEGAS! The Show,68,19:0-23:0,-115.172145,36.110975
UgusE1TeoVGQRPg_wN4Ubg,Naughty Boys Hypnosis Show,13,22:0-23:30,-115.1588934,36.1320477
B32Ghxep_UhiscserSXMSA,Zarkana by Cirque du Soleil,63,10:0-22:0,-115.178174973,36.1071266589
Nm1pBGkT5euNOn29JHwXrQ,The Lion King,66,10:0-22:0,-115.1778316,36.0930659
pzUm_jLzVa9JAf4sC6tPLg,Purple Reign - THE Prince Tribute Show,66,20:30-22:0,-115.1512526,36.1362575
jVYWAgzNifzNXRsGf2lTGA,Monty Python's Spamalot,36,22:0-23:30,-115.146372,36.124423
UceIYWaKErRX_CSviEgVuw,Cirque du Soleil - Viva ELVIS,45,21:30-23:0,-115.146372,36.124423
WPCgtEG-bJt0cZtnM-x7yw,Recycled Percussion,64,10:0-22:30,-115.1714113,36.1107901
1p0Iu66E3ooq_tZkcmCZkg,Crazy Horse Paris,46,20:0-22:30,-115.1724261,36.1011972
BH9z7IJ4zydAqgwsbqoVZQ,Cirque du Soleil - O,89,10:0-22:0,-115.17726,36.114062
TX6BBY9rXOrNlHZdGmbrIQ,Beatleshow Orchestra,48,9:0-22:0,-115.172564963,36.1107453623
KWBCsxyH7OxsibiY95fx2g,First Friday,47,17:0-23:0,-115.151686779,36.1597915385
jkGVr4dT73KONs7itZqnZA,The GET,15,21:0-23:0,-115.1422063,36.1425179
9PliBKLrTGttISgMwD5NDw,Step By Step Dance Studios,15,13:0-22:0,-115.127262,36.1000159
NW366Ota9w52nYofW99u1g,United Artists Showcase Theatre 8,28,11:0-23:0,-115.1724856,36.1044767
DnV2o694nhnjuRmyR39l3Q,Cirque du Soleil - Michael Jackson One,83,10:0-22:30,-115.1730561,36.0919655
fwuvm9wWcvFwpQXzcneaDQ,Carrot Top,75,20:30-23:30,-115.1758039,36.0954628
_73kJo3Yg6jGoXRkEYTIJg,Trapeze Las Vegas,60,9:0-22:0,-115.1664298,36.0698799
MuaUtNrlJwJwZ8EGpBf6Tg,Nieve Malandra,30,0:0-23:0,-115.257890304,36.1813908944
jkIKN3as_1RncDOTKxdN-A,Frankie Moreno - Under the Influence,59,21:0-23:0,-115.136402585,36.174975385
U57kGjM96gJHP3FZiCde5w,Frank Marino's Divas Las Vegas,60,21:30-23:0,-115.1702195,36.1238426
mz9ltimeAIy2c2qf5ctljw,Cirque du Soleil - The Beatles LOVE,93,10:0-22:0,-115.174956322,36.1213235673
eKU5_uhYPi4G1e2L1QpsEQ,Legwarmers! an 80s Musical,13,21:0-22:30,-115.1707331,36.1111846
3wQy58Fdg_xrgul2FOw0_A,The Mentalist,52,9:0-22:0,-115.172636191,36.110833386
