business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
HgVirOyCSjxrrqDzuYtUNQ,The Church of Jesus Christ of Latter-day Saints,24,7:30-22:0,-115.0200319,36.1745804
A_LQQRX0nGr7mSxuovXgzQ,Canyon Ridge Christian Church,46,8:0-17:0,-115.2270586,36.2473112
ZL_Xpue6CcyaHG7bsOPqng,Southern Hills Baptist Church,38,0:0-23:0,-115.2330677,36.02729
btiYZMEOwXRD806kQXEYAg,Life Baptist Church,27,8:30-12:0,-115.2510431,36.0726888
1EuqKW-JC-Fm3RSWRqKdrg,Life Springs Christian Church,15,0:0-23:0,-115.1236678,36.0564011
1vGzHpCngofLvTqJr-2hWw,Holy Spirit Catholic Church,13,8:0-12:0,-115.3223211,36.0870421
YSz8a6PJSjcxV8q5isS4Rg,Liberty Baptist Church,17,8:0-17:0,-115.236890923,36.1953606271
IbuNed_ZQqimGQyJ9B4WoA,The Crossing Christian Church,46,8:0-13:0,-115.2644551,36.0418432
2QyprNEv-eczMqU7gnzFfQ,Vegas Simple Wedding Chapel,51,0:0-23:0,-115.1448239,36.167029
ErPV2co7rEOUGKXUAQV4jQ,Word Of Life Christian Center,11,8:0-17:0,-115.2598246,36.2243299
aUc1gQmIwv1sQKt2u4AWPA,St Joseph Husband of Mary Roman Catholic Church,27,8:0-17:0,-115.2515106,36.1442895
