business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
Pob7ibbNT29--69nxXEP2g,The Chandelier,75,0:0-23:0,-115.173179008,36.1100836838
5XORYO9raiXVZSGGPvjSmA,Kopper Keg,31,0:0-23:0,-115.285839,36.284287
74C1z6cqEdvJVgETTcEodw,Portofino by Chef Michael LaPlaca,60,17:0-22:0,-115.1768382,36.1206015
J4CATH00YZrq8Bne2S4_cw,CUT,78,17:30-23:0,-115.168335,36.123454
0KFA2m39eZwq2F7WvMCoyw,Heart Bar,45,0:0-23:0,-115.1701624,36.1096948
m4EqSB0aI17jzMyCtdfWAA,Bare Pool Lounge,49,11:0-17:0,-115.174030785,36.1212041665
BN_GVKaX0jnaVI4Ar1iV2w,Straight Up Gaming & Martini Lounge,29,0:0-23:0,-115.31953,36.05798
kPV1DlXSkcXY5G8r2LLmEA,Ichabod's Lounge,54,0:0-23:0,-115.103589329,36.1166840723
rhyYT6qtMVxXcj9QKLiYpg,T-Bird Lounge & Restaurant,36,0:0-23:0,-115.2164008,36.0298322
iw9p7E4bMe1YW-APcFGjgQ,PKWY Tavern,47,0:0-23:0,-115.306274197,36.1158076406
jkhEPQovg6JKPzUr43MC_g,Town Center Lounge,16,0:0-23:0,-115.2606133,36.271474
DyYS-JKXlW2PCr_Gt5JOvQ,Luckys Lounge and Restaurant,40,0:0-23:0,-115.2253366,36.0555645
N3WQPXoVeCuzqyPIvWIX5Q,Las Vegas Lounge,23,0:0-23:0,-115.143052,36.141011
JEcm5xp7sMw8dOT245LVgg,The Lounge,24,0:0-23:0,-115.1667809,36.1060128
0ydy2fdDg6kpGy1dbnHYsQ,Tequila Restaurante,39,10:0-22:0,-115.1568604,36.1022497
L_gl5gnEMxvADScorL-2Hw,BJ's Cocktail Lounge West,47,0:0-23:0,-115.2510426,36.0671343
uz9waRQ_LAxVi2RDtUdp5Q,Delano Beach Club,28,8:0-19:0,-115.177689,36.0899555
ay6V-SfANiKOZvma7iZS0Q,En Fuego Cigars & Lounge,62,9:0-23:0,-115.1616961,36.1441601
V21vfbRLlrJ2rQFo-AoakQ,Lobby Bar,8,0:0-23:0,-115.1699583,36.1022543
7uaVNa67K5qwk9ZrbHeZ0Q,Ignite Lounge,26,0:0-23:0,-115.1767584,36.1044875
aEswvENK_RJnPbcJPSvAjA,Rum Runner Lounge,47,0:0-23:0,-115.1269689,36.1001961
n0QmJeame2VHWgMKj5gfrw,Stateside Lounge,31,0:0-23:0,-115.134543429,36.1820872895
nFesIguvEF_h5h7lNSn__w,Old Vegas Tavern,27,0:0-23:0,-115.0905663,36.129929133
