business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
owzgaa8-XnZd5t0HjoQzzA,Bunker Dance Center,18,9:0-17:0,-115.2664296,36.2640512
Oc853wEANeKB1ulOrwNtPg,Sergio Daae,44,0:0-23:0,-115.1738726,36.1097544
8gFp8ybUSChA5gy53GHEbw,Babaloons & Toons Singing Telegrams,19,9:0-18:0,-115.1711298,36.128561
XY8nHBzQ7pk6DMS_M4njog,FlashPants 80's Party Band,30,9:0-9:0,-115.136389,36.175
4zD8uwQd1RCbpN1l0fJ64A,Stripper 101,47,9:0-22:0,-115.168838183,36.110703372
bPfvv7TvMLxxA3__VomsxQ,Saddle N Spurs Saloon,30,0:0-23:0,-115.2232141,36.2023801
psWFACt7KyMbo5mYx4qMCA,Charleston Heights Arts Center,15,9:0-18:0,-115.210964,36.162306
uSxWwjS7wbK2XeVwlgSqdw,Combat Zone Paintball & the Zombie Apocalypse Experience,58,9:0-17:0,-115.1760676,35.952828
eSaG2RWnxp7UuLGuUGqSSQ,Vitaly Scherbo School of Gymnastics,29,9:0-13:0,-115.2275602,36.2184211
QyVVNCwysX6sRcTFFOO3Jg,Las Vegas Little Theatre,38,9:0-12:0,-115.1921342,36.124943
TX6BBY9rXOrNlHZdGmbrIQ,Beatleshow Orchestra,48,9:0-22:0,-115.172564963,36.1107453623
TGvTBtJLdRazDM3x_9BNBQ,Distrct Arts,22,9:0-13:0,-115.2806243,36.1138469
mvZPTWWkvKNNnlcR4hySCw,Soulfire Dance Studio,21,8:30-14:30,-115.2806126,36.1988349
MuaUtNrlJwJwZ8EGpBf6Tg,Nieve Malandra,30,0:0-23:0,-115.257890304,36.1813908944
3wQy58Fdg_xrgul2FOw0_A,The Mentalist,52,9:0-22:0,-115.172636191,36.110833386
Euarvo7ZLzpuTOFXOx70Qw,Squeezebox Hero,30,8:0-23:0,-115.07,36.1
FlLkjcSzfqmQBK6iEHRtTg,The Venetian,11,0:0-23:0,-115.169934999,36.1214762806
N98tlF53bqiWZ72INWaFyg,Saxe Theater,28,9:0-22:0,-115.172593275,36.1107640452
kMLbk84aClc4qwSnuuuFzw,V Theater,42,9:0-22:0,-115.168883801,36.1105591138
diJLOTB7YfItRLcEr55MoQ,Alibi Las Vegas,51,0:0-23:0,-115.172170497,36.108133432
wmSpZnWRgaH1Zk8sfnRqHA,The Rock Center For Dance,22,9:0-17:0,-115.1458962,36.0135265
XI5qSLv5VXwFW_cuKH1xEA,Booty Ring Toss Bachelor Parties,35,0:0-23:0,-115.1711298,36.128561
sk0stgY4NDJYOX1MbNJ3Pg,T-Mobile Arena,43,0:0-23:0,-115.178207717,36.1028149787
nY6X0GcgjYAx1UV7TdOTaA,Dugger Music Services,33,8:0-22:0,-115.224292181,36.3655189484
Kt5Ygh1yJkDqYlaP7ZSHJQ,Matt Hennager's Guitar Lessons,19,9:0-21:0,-115.128936,36.1447069
17UkAXwrC8aNOAZMrMq7Cw,VZ Dance Studios,17,9:0-16:0,-115.2502366,36.1436087
hR-UnoiczWvlAtsHnwzkcg,The Beat Dance Academy,19,9:0-15:0,-115.284794,36.18643
-5x1wc0KdABF2kfnqw-ZxA,Xelement Music & Dance,19,8:30-21:0,-115.3007591,36.1455404
J3FUxMAHfCl-WFo86u5DqA,Blue Man Group,66,9:0-23:0,-115.175807573,36.0966823101
Jgkabchcz1wa110z5QRREw,Fern Adair Conservatory of the Arts,28,9:0-13:0,-115.1040536,36.0783726
X9UCpBAJs7NRCXSNZCnvpQ,School of Rock Las Vegas West,40,9:0-18:0,-115.294338,36.116112
x6Jtzp2kK7g94f4iR0CIQw,Ensemble Arts Academy,28,9:0-17:0,-115.255055,36.27444
5FlgzvUxpOMozhgblpNvpQ,Livinh Entertainment,39,9:0-17:0,-115.1236952,36.1697096
g_-ppoYkEYy6__nHbbeb5Q,Jennifer Sasso's School of Dance & Gymnastics,15,9:0-13:0,-115.2469217,36.1945861
