business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
luEZ8yvLiIT587xhXWEJ1w,The Springs Church,19,9:0-10:30,-115.2301747,36.2356008
c9AJXcIVPFIoZEXIRUA1pQ,The Rock  A Christian Church,36,10:0-11:30,-115.2374346,35.992321
U00LJzvKSjcbr9smrmCtew,Indigo Valley Church,22,9:30-11:30,-115.2796349,36.1179145
A_LQQRX0nGr7mSxuovXgzQ,Canyon Ridge Christian Church,46,9:0-12:30,-115.2270586,36.2473112
ZL_Xpue6CcyaHG7bsOPqng,Southern Hills Baptist Church,38,0:0-23:0,-115.2330677,36.02729
btiYZMEOwXRD806kQXEYAg,Life Baptist Church,27,8:0-13:0,-115.2510431,36.0726888
9NrsFCuGGPJJGCZGP0T2mA,The Champion Center of Las Vegas,7,8:0-13:0,-115.0914546,36.1741951
cc1jQJfCet8lfxj99CdCFw,Verve Las Vegas,34,9:0-13:0,-115.183163,36.0465173
hlPtbUi_Ejlk_ab0J6QzWA,Shrine of the Most Holy Redeemer,38,7:0-19:0,-115.169752,36.0967472
d6Gn9-ZnjatqkS6OihpG1w,Relentless Church,19,10:0-11:0,-115.3003079,36.1474013
1EuqKW-JC-Fm3RSWRqKdrg,Life Springs Christian Church,15,8:0-12:30,-115.1236678,36.0564011
cP2aaDaMFlhZNnx5KR4Y1w,The Rock  A Christian Church,35,10:0-23:30,-115.244736671,36.051493058
YSz8a6PJSjcxV8q5isS4Rg,Liberty Baptist Church,17,8:0-21:0,-115.236890923,36.1953606271
oB8ubB0VcNyCmiy6jRnCiQ,Center for Spiritual Living Greater Las Vegas,22,10:30-11:0,-115.1343328,36.1081642
2QyprNEv-eczMqU7gnzFfQ,Vegas Simple Wedding Chapel,51,0:0-23:0,-115.1448239,36.167029
1sOOSqGIeLs7vp8G5SY8pQ,Valley Bible Fellowship,38,9:0-13:0,-115.2015687,36.1453601
ErPV2co7rEOUGKXUAQV4jQ,Word Of Life Christian Center,11,8:0-10:30,-115.2598246,36.2243299
aUc1gQmIwv1sQKt2u4AWPA,St Joseph Husband of Mary Roman Catholic Church,27,8:0-18:0,-115.2515106,36.1442895
gBDAgyz_OxfR5hhPxkMuzQ,Church of Scientology,10,9:0-18:30,-115.1123721,36.1251437
