business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
jpKWhKMWlOpTH14XW-NwQQ,Drai's Beach Club,50,10:0-19:0,-115.1720257,36.1149405
4uqPzrv4QcRydUPHV_168Q,Acepool,15,0:0-23:0,-115.2244853,36.2030945
twX6mYg7TT1ImLUJflt5Tg,Spa Aquae,36,8:0-19:0,-115.2917528,36.175747
aR1UZduaLR7g_ZHCuxKIvw,The Mirage Pool,42,8:0-18:0,-115.176277161,36.1204223633
G5iz09NiHOtAcxAAcMCXzA,Liquid Pool Lounge,41,11:0-18:0,-115.1786891,36.1067475377
flvHqBtyXSB-FP3eNJdkGg,Freeman's Carpet Care Tile & Grout,19,7:0-18:0,-115.2304131,36.2576752
XwqDAyiPGnQFuCWUsokSfg,Pool & Lounge Vdara,30,8:0-19:0,-115.1784884,36.1092406
Ko-c15eutBBh3xhQ_NiauA,Golden Nugget Pool,49,9:0-18:0,-115.145529711,36.169812914
aicV67jbV6CG6FwjsZqG4w,Sky Beach Club,14,10:0-18:0,-115.169910648,36.0993836753
mu9SOad1xQHC0te41ec0MQ,DAYLIGHT Beach Club,44,12:0-18:0,-115.176134826,36.0921816385
uz9waRQ_LAxVi2RDtUdp5Q,Delano Beach Club,28,8:0-19:0,-115.177689,36.0899555
X-WXPGYuuknAjZkpYGeRiw,Alexis Park Resort,41,0:0-23:0,-115.1571,36.10802
-tBrUQj5L8Bmm3NNGs-cHQ,Parkdale Community Center & Water Park,10,12:0-18:0,-115.077323914,36.1318872442
t7YEHbN6NiuS1oBlD-R6ag,Excalibur Pool,31,9:0-19:0,-115.175777,36.0987307
gJ-GhQAJmb8NfmYmZ9vNbg,Pool at NY-NY,16,9:0-19:0,-115.175575892,36.1020612895
v3hOnLX3zOuRao5Gc3C8hQ,Garden of the Gods Pool Oasis,51,9:0-18:0,-115.176923371,36.1158388114
w721Onh4JR9wdlj0XzWzjg,Temptation Sundays at The Oasis Pool,17,13:0-19:0,-115.177383423,36.095615387
ZLcTzccbEoNkp5_EGKMUnQ,Citrus at the Downtown Grand Pool Deck,37,9:0-19:0,-115.14183501,36.1714321959
FGL-4F9q8f1su5gAt8g4CQ,Margoa Relaxation,34,10:0-22:0,-115.2422835,36.1886034
Ql_yYull9tglbdsiNZcJiA,Sapphire Pool & Dayclub,41,12:0-18:0,-115.1716041,36.1347435
2Jn0nyCn-NvOQYvMro0x_w,Aria Sky Pool,18,9:0-20:0,-115.178637205,36.1068983092
4-RYVpEEkAkw_7v875cGpQ,Pleasure Pools,20,9:0-18:0,-115.171274513,36.1095666146
NiJfIfs31PK5BHmZnuYoLA,Venus European Pool Lounge,39,10:0-18:0,-115.175068,36.11613
UJ3J2vIJOrxQ9q7M06Wm4Q,Mandalay Bay Beach,53,8:0-20:0,-115.1727807,36.0908025
fdC-5VI6ifj6CR2LjKWRtQ,Elation Pool,26,9:0-19:0,-115.1553903,36.1474086
3GLWwjU3Ku_2EWuJ71hxqg,Azure Luxury Pool,37,11:0-18:0,-115.1694728,36.1239495
17V-PM_2t0QIAvU0euBovg,VooDoo Beach,32,9:0-18:0,-115.1848942,36.1164467
wpws2fFdsSvyPAsPAfIxaA,Foxtail Pool Club,37,10:30-19:0,-115.1563054,36.1423378
RYcrj1e_5i0tuCbeVMvH6Q,The Pools at Monte Carlo,34,9:0-18:0,-115.1752326,36.1051256
uBBiD1XJk697Qcr84MIbKA,Wet'n'Wild Las Vegas,47,10:30-18:0,-115.300769297,36.0597629196
