business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
--o5BoU7qYMALeVDK6mwVg,Nightlife Tours,11,0:0-23:0,-115.131625,36.101643
iDB6EGk9A7l5M2EFwQp8WA,MaxVegas Club Crawls,47,0:0-23:0,-115.178779,36.060033
1pWGpIdWU7eIe_9l8mW3fA,24/7 Vegas VIP,19,0:0-23:0,-115.1906853,36.0811229
HCy67mv3yK8BXlrTwcdKSg,Showroom at South Point,34,19:0-22:0,-115.1759932,36.0116611
6UI3dCIY6eM1eBOsnEVBuw,The Perq,36,6:0-21:0,-115.1578748,36.1427564
Ka00H3EHLLiPNpMj1V4Hcw,The LINQ Promenade,60,0:0-23:0,-115.1725759,36.1177747
4Odbtgh9g8XUKorRg7MTHg,Italian American Club Restaurant,59,17:0-22:0,-115.116317666,36.1454551496
HFAFnAC8lEWjz9xm1wrz6A,Vegas Club Hop,15,0:0-23:0,-115.1726275,36.1378924
mVvowu490-zJZFGfkQINgA,Vegas Rockstar VIP,19,0:0-23:0,-115.1476669,36.161526
A7Hb0SEYZH-n70SS4DKJJA,Surrealnightlife,53,8:0-23:0,-115.1711298,36.128561
shJPvAZ1pdUVm9DORQ6g3g,Hot Shot Vegas,62,0:0-23:0,-115.167846036,36.0208488791
pcHsG8Ibt3XrZMW405pcpQ,53x,39,20:30-22:30,-115.1702213,36.1123576
hpnFcRFzs3kg-qM1tPEg3g,Sapphire Gentlemen's Club,42,0:0-23:0,-115.1716041,36.1347435
j-G4URmQla2Jkc7DsfxDuA,V Card: The Vegas Nightlife Pass,29,9:0-22:0,-115.168838183,36.1107207072
VsewHMsfj1Mgsl2i_hio7w,LAVO Italian Restaurant & Lounge,70,10:0-23:0,-115.169068691,36.1244339501
Da6_mToH_MY1bWnC3xF0tw,Mariscos El Dorado,39,11:0-22:0,-115.1207554,36.1591543
SOSlrLM6wmjRvtd8d79PrA,Vegas Guy VIP Concierge Service,51,0:0-23:0,-115.2440943,36.0458007
67OIG-1s4IAXb-YXNk6ZJg,Charlie's Las Vegas,32,0:0-23:0,-115.1986069,36.0985813
-nKIDHXa5H23rq8d6KGT_Q,Rumjungle,51,17:0-22:0,-115.1766701,36.090754
RiHdI0lxKCKSyFVT7CVtsw,Embassy Nightclub,35,0:0-23:0,-115.188356267,36.1275096504
uhaa1ooIlpVdDQTbzx4rxg,SHEETS,45,10:30-23:0,-115.19305,36.083996
fRng3J1TX_x2ATY-_-8c-g,Team Kaizen,24,0:0-23:0,-115.2783493,36.0565983
WLRregbgtb3t1gCtInNIhw,Sin City Parties,46,10:0-21:0,-115.1926929,36.0968783
