business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
Pob7ibbNT29--69nxXEP2g,The Chandelier,75,0:0-23:0,-115.173179008,36.1100836838
xRXXeb8yZ0W_NBSwAqFV9g,Fieldhouse,20,0:0-23:0,-115.1696758,36.1370959
n4tpkZKqg45ft406vYCF7g,MVP's Sports Lounge,33,0:0-23:0,-115.2264336,36.1013415
d482l58ho0_IMdFkXX1F5Q,DB Brasserie,56,17:0-23:0,-115.168527,36.122917
w3af8puc-1LGgbSYVlAwJg,The Cosmopolitan Race & Sports Book,22,8:0-23:0,-115.1754157,36.1099345
uuGlYAIvYAX1q1KhpY6dtA,Brand Steakhouse,68,17:0-22:0,-115.17492681,36.1047801463
Erj_jPPdF3IupgNS1Yfm4w,Bentley's Bar and Grill,26,0:0-23:0,-115.114002787,36.071911773
XdOxflXrlWRdL9IWzXC54Q,Olive Garden Italian Restaurant,48,11:0-22:0,-115.266528986,36.2727664693
5XORYO9raiXVZSGGPvjSmA,Kopper Keg,31,0:0-23:0,-115.285839,36.284287
YnmtUJGqQIQL9tz1MRyfqA,Michael Mina Pub 1842,69,10:0-22:0,-115.167688876,36.1030179172
5iSlHNIy3RLbCP5AayB31g,Ruby Tuesday,46,11:0-22:0,-115.154006492,36.2388340919
lHCwqXdDSmlmqe88WpjeEg,PT's,32,0:0-23:0,-115.130187947,36.0714993636
01SiPgdiOskMC5bUJoyy_g,Winchell's Pub & Grill,44,0:0-23:0,-115.1636524,36.0566383
74C1z6cqEdvJVgETTcEodw,Portofino by Chef Michael LaPlaca,60,17:0-22:0,-115.1768382,36.1206015
JWhqCvKTs5vLwIrhrbgx7Q,PT's,30,0:0-23:0,-115.120388,36.2760304
iDB6EGk9A7l5M2EFwQp8WA,MaxVegas Club Crawls,47,0:0-23:0,-115.178779,36.060033
LFs5jyYdXlzi0SpAYi1eSA,Maggiano's Little Italy,77,11:0-23:0,-115.168533551,36.1276070473
swl9MCD8CU7kbNvn0L4SJg,Skybox Sports Bar & Grill,35,11:0-22:30,-115.1711298,36.128561
J4CATH00YZrq8Bne2S4_cw,CUT,78,17:30-23:0,-115.168335,36.123454
41Kbugm-qmIQTt7unkALYQ,Top of Binion's Steakhouse,60,17:30-22:30,-115.144279,36.1715474
Ih5Q1cNDLchhi1FqqTwrag,Turmeric Flavors of India,41,17:0-22:0,-115.1376842,36.1685325
GU7ww3eoGTcXAze8VJtC7g,Fin,39,17:0-22:0,-115.1768382,36.1206015
UgMGhcUZVYWcUeUjo6UDMg,Le Macaron Venetian,38,8:0-23:0,-115.169594624,36.1217876916
0KFA2m39eZwq2F7WvMCoyw,Heart Bar,45,0:0-23:0,-115.1701624,36.1096948
uufFYaIiNeISTgzSsEcYwg,The Lodge At Hualapai,29,0:0-23:0,-115.3147654,36.1273513
PMOlf91mjpkWRiZa5hEr-A,Chili's,34,11:0-23:0,-115.1721069,36.1065513
fWetLvfQXqpZcBQLHldUhA,The D,54,0:0-23:0,-115.143236,36.169101
Vk1-8BhzJdZYiZjXPFwgEQ,PT's,20,0:0-23:0,-115.0670067,36.1374298
6BuoX_cbWwu-0Vn9-n-k2w,Adrenaline Sports Bar and Grill,36,0:0-23:0,-115.212288313,36.2151617552
kFpuvKWtnzT8bj9SzTu0pA,Furnace,10,0:0-23:0,-115.1415715,36.1715995
bVoc7AIPSWAAJBA2JLPxvQ,Good Timez Billiards,38,0:0-23:0,-115.2204265,36.1596606
BN_GVKaX0jnaVI4Ar1iV2w,Straight Up Gaming & Martini Lounge,29,0:0-23:0,-115.31953,36.05798
uIEnZquq1XoLWeeutR0GSQ,The Lounge & Sports Bar,17,19:0-23:0,-115.175777,36.0987307
rhYZCUiywRknWKieJ75zug,Mad Matty's Bar & Grille,31,0:0-23:0,-115.268061,36.144462
UrI8GMldxmZ1wR8A9_cnXg,The Sayers Club Las Vegas,24,19:0-23:0,-115.1563054,36.1423378
kPV1DlXSkcXY5G8r2LLmEA,Ichabod's Lounge,54,0:0-23:0,-115.103589329,36.1166840723
oXoVJ0xKv82cBo9U6oEjlQ,Chayo Mexican Kitchen + Tequila Bar,66,9:0-23:0,-115.171528026,36.1175744315
jdAdf7keZac1idbgNKG2pw,Steiner's,43,0:0-23:0,-115.2769118,36.2190477
WI1xBMN_rEaVPOL9Ad2gpQ,Tom Colicchio's Heritage Steak,56,17:0-22:0,-115.173999715,36.1216084937
zTNFyAXMEkgVP-o_HTC2xw,Camelot Steakhouse,42,17:0-22:0,-115.175381134,36.0986438265
fAlKTsfsUF6A5iujEI2Z1w,Off The Strip at the LINQ,66,0:0-23:0,-115.1725759,36.1177747
h4Q-uSoOIhMoIsOhat6l3A,Casa Don Juan  - Summerlin,60,9:0-22:0,-115.259783083,36.1914358127
5MzGPxcrSPoWQc_bRmOXoQ,Kopper Keg Lounge,18,0:0-23:0,-115.1193516,36.0290393
1Y58X4-dNJMHmGIJbTzsrg,Palms Race & Sports Book,24,8:0-22:0,-115.196009526,36.1147348573
YoJt2bvCrYMSSyoeUO-YTg,PT's,22,0:0-23:0,-115.0404592,36.1955901
aGDo7GDN5YLvpYykpSLkbw,Florida Cafe Cuban Bar & Grill,55,8:30-22:0,-115.149618,36.155323
MDVbJicJvqaO4WGx0vEabQ,Chili's,42,11:0-23:0,-115.171438,36.0528727
rhyYT6qtMVxXcj9QKLiYpg,T-Bird Lounge & Restaurant,36,0:0-23:0,-115.2164008,36.0298322
