business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
owzgaa8-XnZd5t0HjoQzzA,Bunker Dance Center,18,10:0-19:0,-115.2664296,36.2640512
0YhT9HCBkU394IG6tQVtNQ,Hollywood Kids Academy,14,16:0-20:0,-115.2301747,36.2356008
3SmxXQy-Mm0XOryH0dyHoQ,SUZANNE Sizzles at the Westgate Las Vegas,28,19:0-20:30,-115.1512526,36.1362575
uglkV5aFOFrKy5WxoedGJA,The Burlesque Hall of Fame,35,11:0-19:0,-115.1396775,36.1689485
nW3Cq-PPmDLMMlDaeXLDqA,Wolf Theater,26,15:0-21:0,-115.1587779,36.1319703
A6qvHu4tVEKzwjZjWSCeRQ,V - The Ultimate Variety Show,63,19:0-22:0,-115.168835459,36.1107409676
CMN3KmB5SEfONN00s2nEeQ,Cirque du Soleil - Criss Angel Believe,28,12:0-22:0,-115.175818,36.09558
LUWyLLDwjEr4UFDPiS3bEg,Studio One's - Southwest Dance Academy,30,10:0-21:0,-115.241780877,36.0786557744
SLJX2dksO_BeNMQUe3Nr8Q,Big Elvis,46,18:30-19:30,-115.1717702,36.1193098
68vGFIH94olrtPi1kAEYVw,Gordie Brown,52,19:30-21:0,-115.1415204,36.1696229
Oc853wEANeKB1ulOrwNtPg,Sergio Daae,44,0:0-23:0,-115.1738726,36.1097544
OdeDt-ceeNTu7LSTUqqBbA,Jubilee,51,19:0-21:0,-115.167102,36.114097
v4nuyDiyzv2Tf81YrcrflQ,L' Oracle Las Vegas,28,11:0-21:0,-115.245668533,36.0573181714
BCb1gqgvbK5vm2r9_tHLtQ,Journey Dance Academy,24,17:0-19:0,-115.2434271,36.1563775
Lf_VHUKpXI-5xElxTBgNBg,All Shook Up,54,18:0-19:30,-115.1714113,36.1107901
o597EK6uvR5RuPMZEwYCUg,JABBAWOCKEEZ,72,10:0-22:0,-115.1697555,36.1029162
4zD8uwQd1RCbpN1l0fJ64A,Stripper 101,47,9:0-22:0,-115.168838183,36.110703372
bPfvv7TvMLxxA3__VomsxQ,Saddle N Spurs Saloon,30,0:0-23:0,-115.2232141,36.2023801
psWFACt7KyMbo5mYx4qMCA,Charleston Heights Arts Center,15,12:30-21:0,-115.210964,36.162306
grA7IS-bMv9wYBoCOEa7GQ,Summerlin Library & Performing Arts Center,43,10:0-20:0,-115.302258,36.197188
a2JgQgEGm5hMDEhryhMMJg,VEGAS! The Show,68,19:0-23:0,-115.172145,36.110975
B32Ghxep_UhiscserSXMSA,Zarkana by Cirque du Soleil,63,10:0-22:0,-115.178174973,36.1071266589
7SJoMX5ti-VoEsEW6mJLRA,The Smith Center,70,10:0-19:30,-115.150743625,36.1694552535
Nm1pBGkT5euNOn29JHwXrQ,The Lion King,66,10:0-22:0,-115.1778316,36.0930659
GCG1Xuy2yIdjbl7dbznf7Q,Twisted Vegas,51,19:0-20:30,-115.1529262,36.1370978
eSaG2RWnxp7UuLGuUGqSSQ,Vitaly Scherbo School of Gymnastics,29,10:0-19:0,-115.2275602,36.2184211
JUygwe5d_MXCCOdk0WB30g,Steve Wynn's ShowStoppers,52,19:30-21:0,-115.1653651,36.1265953
adtEYGplWAteWaH9XONXmQ,Cameo,38,19:0-20:30,-115.1523363,36.1364308
xzpWh6VxRE6Iov2hlHr4ZA,The King Starring Trent Carlini,35,18:30-19:30,-115.1672853,36.1044942
WPCgtEG-bJt0cZtnM-x7yw,Recycled Percussion,64,10:0-22:30,-115.1714113,36.1107901
8mIrX_LrOnAqWsB5JrOojQ,Pinball Hall Of Fame,86,11:0-23:0,-115.130511,36.1014493
yblGHmO9VaomUe3xIfnFqg,Cashetta - The Extra Large Medium,17,18:0-19:0,-115.1585431,36.1321481
BH9z7IJ4zydAqgwsbqoVZQ,Cirque du Soleil - O,89,10:0-22:0,-115.17726,36.114062
TX6BBY9rXOrNlHZdGmbrIQ,Beatleshow Orchestra,48,9:0-22:0,-115.172564963,36.1107453623
1NYWxeTAtUh5rEB9xI1u6A,Music With Monique,20,9:0-20:0,-115.3667218,36.1710616
GVHCYFp_o3FxzHKebmtdzQ,Freakling Bros The Trilogy of Terror,52,19:0-23:0,-115.308968781,36.1104289831
sQih__LH86FiUZw5WYBzxQ,The Bronx Wanderers,33,17:30-19:30,-115.171438923,36.1141600856
9PliBKLrTGttISgMwD5NDw,Step By Step Dance Studios,15,13:0-22:0,-115.127262,36.1000159
NW366Ota9w52nYofW99u1g,United Artists Showcase Theatre 8,28,11:0-23:0,-115.1724856,36.1044767
C3fO9MU4v13DJrkJL8hATg,Nashville Unplugged Live,22,19:0-20:30,-115.1725544,36.1182124
GAEaGU-wR_51-0FbTdRNlA,A Note Above the Rest,15,11:0-19:0,-115.2082377,36.2188877
TGvTBtJLdRazDM3x_9BNBQ,Distrct Arts,22,15:0-20:30,-115.2806243,36.1138469
mvZPTWWkvKNNnlcR4hySCw,Soulfire Dance Studio,21,10:0-20:0,-115.2806126,36.1988349
_73kJo3Yg6jGoXRkEYTIJg,Trapeze Las Vegas,60,9:0-22:0,-115.1664298,36.0698799
MuaUtNrlJwJwZ8EGpBf6Tg,Nieve Malandra,30,0:0-23:0,-115.257890304,36.1813908944
DIpJ6yQn2U0fnxctTngtcw,Mike Hammer - Comedy Magic Show,53,19:0-20:0,-115.1236952,36.1697096
kiizdW8dFgBlND4mJURWDQ,Xavier Mortimer's Magical Dream,50,19:0-20:30,-115.1701624,36.1096948
mz9ltimeAIy2c2qf5ctljw,Cirque du Soleil - The Beatles LOVE,93,10:0-22:0,-115.174956322,36.1213235673
bYw7mT1e3frkxG0nd2_mjg,Lucky Cheng's Restaurant,23,17:0-20:0,-115.1722365,36.1107323
3wQy58Fdg_xrgul2FOw0_A,The Mentalist,52,9:0-22:0,-115.172636191,36.110833386
_iQZQNv_2as_8SoXtke2Bw,Paul Zerdin,37,19:0-21:0,-115.1711298,36.128561
KxL0-DkQW18UBHVYLeHqLg,Puppetry of the Penis,45,19:0-22:0,-115.1744151,36.1299669
ZqLPwzbrGjOnwescG6ltEQ,Steve Wyrick: Real Magic,31,10:0-23:0,-115.1727107,36.1094088
Euarvo7ZLzpuTOFXOx70Qw,Squeezebox Hero,30,8:0-23:0,-115.07,36.1
FlLkjcSzfqmQBK6iEHRtTg,The Venetian,11,0:0-23:0,-115.169934999,36.1214762806
8fYvO8ZMILIlPcYNB9IA1w,Legends In Concert,49,19:30-20:45,-115.168647766,36.1287243563
y7Js-07RF8d3N_AEtaw2VQ,Heart Attack Grill,54,11:0-22:0,-115.1721069,36.1065513
N98tlF53bqiWZ72INWaFyg,Saxe Theater,28,9:0-22:0,-115.172593275,36.1107640452
A5_opCP5Gq_x1pI8ZbVa2g,Menopause The Musical,47,18:30-21:0,-115.1717702,36.1193098
4U2q9dCduyswaKbpXwwWXw,Tommy Wind Theater NightClub and Event Center,37,17:30-21:0,-115.172225952,36.1050109863
kMLbk84aClc4qwSnuuuFzw,V Theater,42,9:0-22:0,-115.168883801,36.1105591138
XIgTZdZqJLuaYnaWG3jyFw,Human Nature,63,19:0-20:30,-115.168848597,36.1225046314
o6f_n_YyqHq1e7zXz_BP8w,Marriage Can Be Murder,48,18:30-20:30,-115.1429031,36.169437
RzEpt3Ts0TB6q_7ix4v7cg,Criss Angel Mindfreak LIVE!,60,12:0-22:0,-115.1758039,36.0954628
AaugT98lvRdCvNMpwOPv1A,Hitzville The Show - Motown Revue,47,17:30-19:30,-115.172638893,36.1107671365
CrMdi8f0YftE3_K3UZU6gw,Donny & Marie Live,52,19:30-21:30,-115.1723373,36.1163474
-20PsGUoi0cK3hKwtFoh2w,Graceland Presents Elvis: The Exhibition-The Show-The Experience,15,10:0-22:0,-115.1514119,36.1362847
diJLOTB7YfItRLcEr55MoQ,Alibi Las Vegas,51,0:0-23:0,-115.172170497,36.108133432
wmSpZnWRgaH1Zk8sfnRqHA,The Rock Center For Dance,22,10:0-22:0,-115.1458962,36.0135265
raepeYYxz534s7F0JhqKew,Olivia Newton-John: Summer Nights,38,19:30-22:0,-115.171992461,36.1162937814
XI5qSLv5VXwFW_cuKH1xEA,Booty Ring Toss Bachelor Parties,35,0:0-23:0,-115.1711298,36.128561
u-67zd1ImTv3EEr5kIdWrA,House of Blues Restaurant & Bar,64,7:0-23:0,-115.175868273,36.0928664972
sk0stgY4NDJYOX1MbNJ3Pg,T-Mobile Arena,43,0:0-23:0,-115.178207717,36.1028149787
kqEjBvWOgnitmH4nTTPuJQ,The Rat Pack is Back,45,19:30-20:45,-115.1864851,36.1186984
nY6X0GcgjYAx1UV7TdOTaA,Dugger Music Services,33,8:0-22:0,-115.224292181,36.3655189484
Kt5Ygh1yJkDqYlaP7ZSHJQ,Matt Hennager's Guitar Lessons,19,9:0-21:0,-115.128936,36.1447069
y7clAfbS26JUp_EtEGpWHQ,Terry Fator,61,19:30-21:0,-115.174101,36.121081
17UkAXwrC8aNOAZMrMq7Cw,VZ Dance Studios,17,9:0-21:0,-115.2502366,36.1436087
hR-UnoiczWvlAtsHnwzkcg,The Beat Dance Academy,19,16:0-20:0,-115.284794,36.18643
lJtdjZBK_j0G_RsdQci63A,Art of Music,7,10:0-23:0,-115.175235287,36.0931138859
fblNi96kc_X37ESAguwPww,Orleans Showroom,32,12:0-20:0,-115.2015974,36.1045348
-5x1wc0KdABF2kfnqw-ZxA,Xelement Music & Dance,19,8:30-21:0,-115.3007591,36.1455404
J3FUxMAHfCl-WFo86u5DqA,Blue Man Group,66,9:0-23:0,-115.175807573,36.0966823101
oVrvzUJczq0e2JzVxSTyag,Cirque du Soleil - Zumanity,79,10:0-22:30,-115.174841601,36.1028937149
Shbayhg-r15fZEPdFeWlNg,Arthur Murray Dance Studio Las Vegas East,33,13:0-22:0,-115.1364041,36.106605
RcBw2MkTq9M6ViFOviMLfQ,Paul Vigil Magic & Mentalism,35,10:0-22:0,-115.1768382,36.1206015
5Yc1owD5Unq7Ko8H-ZAdYg,Zombie Burlesque,72,9:0-22:30,-115.170408626,36.1108461916
TkcgUqs4Hk8tQDLtq74gHA,The Pointe Dance Center,24,16:0-20:0,-115.2944204,36.1160268
ATi_nyof_4WGpmtHoc53dQ,DanceCenter Ballroom & Latin Dance Studio,20,12:0-21:0,-115.0948216,36.0716286
Jgkabchcz1wa110z5QRREw,Fern Adair Conservatory of the Arts,28,9:0-21:0,-115.1040536,36.0783726
fpEB3ImOiSjO94GmGu5x8g,Berns Music School,10,14:30-20:0,-115.1190599,36.0944983
9KO6FrQIImrtcZ1s8yqn6A,Infinity Art Studios,15,9:0-19:0,-115.3045343,36.1008897
zlAALusttyFUDhGVvPaN7w,Dance Charisma,18,13:0-21:0,-115.2241009,36.1230052
wFa5bQpsjwz4x3UaK1y3-Q,Sophia in Sapphire,36,12:0-22:0,-115.2089904,36.1287798
X9UCpBAJs7NRCXSNZCnvpQ,School of Rock Las Vegas West,40,14:0-20:0,-115.294338,36.116112
gCueUS9rBzmLQqdVNU3iZg,Studio One's - Summerlin Dance Academy,24,10:0-20:0,-115.2627989,36.1573862
x6Jtzp2kK7g94f4iR0CIQw,Ensemble Arts Academy,28,15:30-20:0,-115.255055,36.27444
lXei5FmhVz-BHYU_RWMEqA,A Perfect Wedding Dance,36,9:0-21:0,-115.260783932,36.1429519693
1fK0bh0dI_Pz6-I8jorHQw,Mystery Adventures,47,10:0-22:0,-115.139501,36.144583
XbdLjQ2RK_htqs4ST1F_BQ,Neon Venus Art Theatre,10,9:0-23:30,-115.1514363,36.1544422
g_-ppoYkEYy6__nHbbeb5Q,Jennifer Sasso's School of Dance & Gymnastics,15,9:0-19:30,-115.2469217,36.1945861
-Ud5PK1dNQUMf2wfFeMdSw,EZ Travel Las Vegas,5,10:0-21:0,-115.1676859,36.0967523
