business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
4uqPzrv4QcRydUPHV_168Q,Acepool,15,0:0-23:0,-115.2244853,36.2030945
flvHqBtyXSB-FP3eNJdkGg,Freeman's Carpet Care Tile & Grout,19,6:30-16:30,-115.2304131,36.2576752
X-WXPGYuuknAjZkpYGeRiw,Alexis Park Resort,41,0:0-23:0,-115.1571,36.10802
MTySM0XJ-A8hdmUF-8W1Qw,Pavilion Center Pool,23,5:0-20:0,-115.3335031,36.1744069
SYGHmPLXemsa1peWjtJH4A,Freezing Lakes Pool Service,11,7:0-18:0,-115.14,36.18
2gfnl6GnCQhOnUsE5tNHdQ,Leslie's Pool Supplies Pro,7,7:0-18:0,-115.2414561,36.1140913
Dku8mlzfzljUE1V067RgMA,BYOP of Nevada,24,7:0-17:0,-115.304693,36.221263
ebTpWT5etXE46CAwi-FVZg,Royalty Pools,24,7:0-19:0,-115.1829873,36.1462673
f9eTNtFBznDCXA3-3xpBIg,Ben's Pool Service,27,7:0-17:0,-115.3142208,36.1016026
FtexOfH0spZrWcfj0LATiA,Green O' Aces Pools & Landscape,19,7:0-16:0,-115.2659777,36.1683449
nCjQHtHnGvS81kcEr70eZg,Infinity Solar Pool Heating,29,7:0-16:0,-115.2076055,36.1840556
