business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
4uqPzrv4QcRydUPHV_168Q,Acepool,15,0:0-23:0,-115.2244853,36.2030945
twX6mYg7TT1ImLUJflt5Tg,Spa Aquae,36,8:0-19:0,-115.2917528,36.175747
aR1UZduaLR7g_ZHCuxKIvw,The Mirage Pool,42,8:0-18:0,-115.176277161,36.1204223633
m4EqSB0aI17jzMyCtdfWAA,Bare Pool Lounge,49,11:0-17:0,-115.174030785,36.1212041665
o1-3jLb2XXSe_MoxIOpj0Q,Flamingo Go Pool,38,9:0-17:0,-115.171172739,36.1167735966
NAyXRFKfSn6b7fSvVI7M4A,Moorea Beach Club,53,9:0-17:0,-115.1751614,36.0918639
Lv5-2ex4UuxClhVAtCgyZQ,The Pool at Harrah's,10,9:0-17:0,-115.1717702,36.1193098
flvHqBtyXSB-FP3eNJdkGg,Freeman's Carpet Care Tile & Grout,19,6:30-16:30,-115.2304131,36.2576752
FsZhVMtcVj9tWO6y9AqBBg,Municipal Pool,26,9:0-17:0,-115.139218,36.174829
U8afCPSblJ_kagrU6nghqQ,Desert Breeze Aquatic Facility,29,14:0-21:0,-115.27182,36.12505
XwqDAyiPGnQFuCWUsokSfg,Pool & Lounge Vdara,30,8:0-19:0,-115.1784884,36.1092406
Ko-c15eutBBh3xhQ_NiauA,Golden Nugget Pool,49,9:0-18:0,-115.145529711,36.169812914
sXskRyJsV8wEpWwFtSnMxw,Leslie's Swimming Pool Supplies,15,9:0-18:0,-115.0936962,36.0725642
GMzBNH0IoE3kYFH6dnAm0g,Bamboo Pool,36,9:0-17:0,-115.1754157,36.1099345
_DJBhr6VzrEy1gwYYyYQvg,CleanWorld Pools,15,8:0-18:0,-115.1908263,36.1316401
uz9waRQ_LAxVi2RDtUdp5Q,Delano Beach Club,28,8:0-19:0,-115.177689,36.0899555
TGZVewJPoPh7qysgLW9vYg,Hollywood Aquatics Center,28,14:0-20:0,-115.025582,36.153443
X-WXPGYuuknAjZkpYGeRiw,Alexis Park Resort,41,0:0-23:0,-115.1571,36.10802
GjWdDBsoZ17TGDV55zWj2g,Leslie's Swimming Pool Supplies,13,9:0-18:0,-115.2989956,36.144938
MTySM0XJ-A8hdmUF-8W1Qw,Pavilion Center Pool,23,5:0-20:0,-115.3335031,36.1744069
X0yapSsmF2QliosXOTigTw,Steve Breck Pools,32,8:0-17:0,-115.2786635,36.1311942
PdjHg3YKUDAPoQmW3wLS9A,Sun Devil Pools Of Nevada  Inc,19,9:0-17:0,-115.25915,36.253866
-tBrUQj5L8Bmm3NNGs-cHQ,Parkdale Community Center & Water Park,10,12:0-16:0,-115.077323914,36.1318872442
SYGHmPLXemsa1peWjtJH4A,Freezing Lakes Pool Service,11,7:0-18:0,-115.14,36.18
t7YEHbN6NiuS1oBlD-R6ag,Excalibur Pool,31,9:0-19:0,-115.175777,36.0987307
2gfnl6GnCQhOnUsE5tNHdQ,Leslie's Pool Supplies Pro,7,7:0-18:0,-115.2414561,36.1140913
2G5LmDEjv3IuuS52xmJteQ,SafeSplash Swim School,22,15:0-19:30,-115.3052115,36.1894511
gJ-GhQAJmb8NfmYmZ9vNbg,Pool at NY-NY,16,9:0-19:0,-115.175575892,36.1020612895
XF_PHr0q5-xVf4QJI1QDiw,The Pool at The LINQ,17,9:0-17:0,-115.1706363,36.1181654
v3hOnLX3zOuRao5Gc3C8hQ,Garden of the Gods Pool Oasis,51,9:0-18:0,-115.176923371,36.1158388114
phLWnouPKgNkoRtS6wCYgQ,Sway Pool & Lounge,25,9:0-18:0,-115.182702541,36.04169067
Uq5dmjBtsWB67M6URZI2dA,Leslie's Swimming Pool Supplies,20,9:0-18:0,-115.250167,36.219919
5X6-0WV6HIHWD38UXniunA,Blue Haven Pools & Spas,22,8:0-17:0,-115.2433744,36.1580416
ZLcTzccbEoNkp5_EGKMUnQ,Citrus at the Downtown Grand Pool Deck,37,9:0-19:0,-115.14183501,36.1714321959
FGL-4F9q8f1su5gAt8g4CQ,Margoa Relaxation,34,10:0-22:0,-115.2422835,36.1886034
MAfyzC6MuNwLTsemRdzlhA,Leslie's Swimming Pool Supplies,15,9:0-18:0,-115.1007292,36.1299811
Dku8mlzfzljUE1V067RgMA,BYOP of Nevada,24,7:0-17:0,-115.304693,36.221263
nmpPmJpNJHnG3b-x4KNTEw,California Pools - Las Vegas,37,8:0-17:0,-115.09,35.99
2Jn0nyCn-NvOQYvMro0x_w,Aria Sky Pool,18,9:0-20:0,-115.178637205,36.1068983092
hTlGupLQ3pZMo3q0IwDrDw,Guardian Pools,15,8:0-19:0,-115.252123,36.221002
ebTpWT5etXE46CAwi-FVZg,Royalty Pools,24,7:0-19:0,-115.1829873,36.1462673
v4k1YDx5ZO-EsW7ofnTc9w,Heritage Pool Plastering,8,8:0-16:0,-115.187141,36.094056
M9O22kiyCq5Zkrmo5VMM2A,Leslie's Swimming Pool Supplies,17,9:0-18:0,-115.134122646,36.0109840393
4-RYVpEEkAkw_7v875cGpQ,Pleasure Pools,20,9:0-18:0,-115.171274513,36.1095666146
82H9MpHRKRIpY6WdKEVL1g,Grand Pool Complex,52,9:0-16:0,-115.169310251,36.1025293905
NiJfIfs31PK5BHmZnuYoLA,Venus European Pool Lounge,39,10:0-18:0,-115.175068,36.11613
f9eTNtFBznDCXA3-3xpBIg,Ben's Pool Service,27,7:0-17:0,-115.3142208,36.1016026
UJ3J2vIJOrxQ9q7M06Wm4Q,Mandalay Bay Beach,53,8:0-20:0,-115.1727807,36.0908025
fdC-5VI6ifj6CR2LjKWRtQ,Elation Pool,26,9:0-19:0,-115.1553903,36.1474086
-zsZLjeVBh0SpWlOXAbQaw,Leslie's Swimming Pool Supplies,14,9:0-18:0,-115.267032521,36.2815247427
17V-PM_2t0QIAvU0euBovg,VooDoo Beach,32,9:0-18:0,-115.1848942,36.1164467
v_eEKWfbJ6g8IgN71FVDRQ,Water Wings Swim School,40,8:30-20:0,-115.2975136,36.0980074
RYcrj1e_5i0tuCbeVMvH6Q,The Pools at Monte Carlo,34,9:0-18:0,-115.1752326,36.1051256
FtexOfH0spZrWcfj0LATiA,Green O' Aces Pools & Landscape,19,7:0-16:0,-115.2659777,36.1683449
AW9u28V3ktAS1dAwOm_7_A,Leslie's Swimming Pool Supplies,18,9:0-18:0,-115.2116501,36.1585774
nCjQHtHnGvS81kcEr70eZg,Infinity Solar Pool Heating,29,7:0-16:0,-115.2076055,36.1840556
uBBiD1XJk697Qcr84MIbKA,Wet'n'Wild Las Vegas,47,10:30-20:0,-115.300769297,36.0597629196
