business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
Pob7ibbNT29--69nxXEP2g,The Chandelier,75,0:0-23:0,-115.173179008,36.1100836838
xRXXeb8yZ0W_NBSwAqFV9g,Fieldhouse,20,0:0-23:0,-115.1696758,36.1370959
n4tpkZKqg45ft406vYCF7g,MVP's Sports Lounge,33,0:0-23:0,-115.2264336,36.1013415
w3af8puc-1LGgbSYVlAwJg,The Cosmopolitan Race & Sports Book,22,8:30-22:0,-115.1754157,36.1099345
Erj_jPPdF3IupgNS1Yfm4w,Bentley's Bar and Grill,26,0:0-23:0,-115.114002787,36.071911773
5XORYO9raiXVZSGGPvjSmA,Kopper Keg,31,0:0-23:0,-115.285839,36.284287
lHCwqXdDSmlmqe88WpjeEg,PT's,32,0:0-23:0,-115.130187947,36.0714993636
01SiPgdiOskMC5bUJoyy_g,Winchell's Pub & Grill,44,0:0-23:0,-115.1636524,36.0566383
JWhqCvKTs5vLwIrhrbgx7Q,PT's,30,0:0-23:0,-115.120388,36.2760304
UgMGhcUZVYWcUeUjo6UDMg,Le Macaron Venetian,38,8:0-23:0,-115.169594624,36.1217876916
0KFA2m39eZwq2F7WvMCoyw,Heart Bar,45,0:0-23:0,-115.1701624,36.1096948
uufFYaIiNeISTgzSsEcYwg,The Lodge At Hualapai,29,0:0-23:0,-115.3147654,36.1273513
fWetLvfQXqpZcBQLHldUhA,The D,54,0:0-23:0,-115.143236,36.169101
Vk1-8BhzJdZYiZjXPFwgEQ,PT's,20,0:0-23:0,-115.0670067,36.1374298
6BuoX_cbWwu-0Vn9-n-k2w,Adrenaline Sports Bar and Grill,36,0:0-23:0,-115.212288313,36.2151617552
kFpuvKWtnzT8bj9SzTu0pA,Furnace,10,0:0-23:0,-115.1415715,36.1715995
bVoc7AIPSWAAJBA2JLPxvQ,Good Timez Billiards,38,0:0-23:0,-115.2204265,36.1596606
BN_GVKaX0jnaVI4Ar1iV2w,Straight Up Gaming & Martini Lounge,29,0:0-23:0,-115.31953,36.05798
rhYZCUiywRknWKieJ75zug,Mad Matty's Bar & Grille,31,0:0-23:0,-115.268061,36.144462
SABdk4ecGc--vHyiTfZLYA,Supreme Club Tours,25,8:0-20:0,-115.206186,36.112282
kPV1DlXSkcXY5G8r2LLmEA,Ichabod's Lounge,54,0:0-23:0,-115.103589329,36.1166840723
jdAdf7keZac1idbgNKG2pw,Steiner's,43,0:0-23:0,-115.2769118,36.2190477
fAlKTsfsUF6A5iujEI2Z1w,Off The Strip at the LINQ,66,0:0-23:0,-115.1725759,36.1177747
5MzGPxcrSPoWQc_bRmOXoQ,Kopper Keg Lounge,18,0:0-23:0,-115.1193516,36.0290393
1Y58X4-dNJMHmGIJbTzsrg,Palms Race & Sports Book,24,8:30-22:0,-115.196009526,36.1147348573
YoJt2bvCrYMSSyoeUO-YTg,PT's,22,0:0-23:0,-115.0404592,36.1955901
aGDo7GDN5YLvpYykpSLkbw,Florida Cafe Cuban Bar & Grill,55,8:30-22:0,-115.149618,36.155323
rhyYT6qtMVxXcj9QKLiYpg,T-Bird Lounge & Restaurant,36,0:0-23:0,-115.2164008,36.0298322
d6_51PI94EC1C5sG9hi6HA,Timbers - Novat,37,0:0-23:0,-115.3282387,36.2215984
bPfvv7TvMLxxA3__VomsxQ,Saddle N Spurs Saloon,30,0:0-23:0,-115.2232141,36.2023801
mDoLWEOFmxcQ5TAPqxoJLg,Sagos Baja Tavern & Lounge,51,0:0-23:0,-115.2967084,36.1020213
7wst00GRGs8qsuf2QtsnaA,Champagne's,52,0:0-23:0,-115.1376902,36.1248195
IkI9yPjx-MRYh-Jh-LqIiQ,Downtown Crown Pub,43,0:0-23:0,-115.152672864,36.159149138
1CWMNSTRMejdSyXBG2chNg,Fireside Restaurant & Tavern,52,0:0-23:0,-115.128018,35.999495
0WQVG1oZOkdUvi7XoGp5OA,Johnny Fontane's Bar & Grill,34,0:0-23:0,-115.2139956,36.144833
X11JfeIVH9d6qMrDqA-N7A,Scooter's Pub,47,0:0-23:0,-115.2421223,36.0758928
iw9p7E4bMe1YW-APcFGjgQ,PKWY Tavern,47,0:0-23:0,-115.306274197,36.1158076406
zmltWmTpoBt5sCU-5Kzj-Q,PT's Brewing,37,0:0-23:0,-115.251324002,36.2158920941
muD5-YKII_qOTRpbRWuOHA,PT's,30,0:0-23:0,-115.2066735,36.1148713
b0WztBYRaswkUARxLQ1aKg,Putter's Bar & Grill,36,0:0-23:0,-115.1731689,36.0277338
qWflasEfK2strQg5Ulcz4w,Brewske's,28,0:0-23:0,-115.2791809,36.1233146
wb-OCJAuP1upOefBs7xljQ,Santa Fe Mining Company,36,0:0-23:0,-115.2433289,36.2525984
eEnNw3_hBvxcFHyr23kAuA,Hard Rock Hotel & Casino,62,0:0-23:0,-115.1466648,36.0971945
dENns4dukYRZunxCOUzRsw,Buck's Tavern,17,0:0-23:0,-115.061865928,36.1817765864
bRrA6j1FBlGP8eOBPQf1UA,City Bar,25,0:0-23:0,-115.176986316,36.1071505139
jkhEPQovg6JKPzUr43MC_g,Town Center Lounge,16,0:0-23:0,-115.2606133,36.271474
pzIcN449xQWWyPWsmj10OA,Durango Lodge,30,0:0-23:0,-115.2798616,36.1288902
DyYS-JKXlW2PCr_Gt5JOvQ,Luckys Lounge and Restaurant,40,0:0-23:0,-115.2253366,36.0555645
uDeycmwCy26ALJHeG3SsEA,Buffalo Wild Wings,43,0:0-23:0,-115.286151141,36.2812317365
