business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
o89qP2StDJBw1wxEpX5LgA,Kaizad's Smoke Shop & Hookah Lounge,17,9:0-19:0,-115.296366,36.1014779
--o5BoU7qYMALeVDK6mwVg,Nightlife Tours,11,0:0-23:0,-115.131625,36.101643
ZU3ZU_wGF2S4CKavMEtI_w,Inspire,36,9:0-19:0,-115.140376277,36.1690188918
SABdk4ecGc--vHyiTfZLYA,Supreme Club Tours,25,8:0-20:0,-115.206186,36.112282
1pWGpIdWU7eIe_9l8mW3fA,24/7 Vegas VIP,19,0:0-23:0,-115.1906853,36.0811229
_jRjLoArMCaROliah49tlA,Vegas Atmosphere,40,9:0-9:0,-115.2067011,36.1104125
uz9waRQ_LAxVi2RDtUdp5Q,Delano Beach Club,28,8:0-19:0,-115.177689,36.0899555
rrUAvccm8C_gI4nJZlv0DA,mi5t-entertainment,44,8:0-20:0,-115.185323974,36.1050836
6UI3dCIY6eM1eBOsnEVBuw,The Perq,36,6:0-21:0,-115.1578748,36.1427564
Ka00H3EHLLiPNpMj1V4Hcw,The LINQ Promenade,60,0:0-23:0,-115.1725759,36.1177747
HFAFnAC8lEWjz9xm1wrz6A,Vegas Club Hop,15,0:0-23:0,-115.1726275,36.1378924
mVvowu490-zJZFGfkQINgA,Vegas Rockstar VIP,19,0:0-23:0,-115.1476669,36.161526
A7Hb0SEYZH-n70SS4DKJJA,Surrealnightlife,53,8:0-23:0,-115.1711298,36.128561
shJPvAZ1pdUVm9DORQ6g3g,Hot Shot Vegas,62,0:0-23:0,-115.167846036,36.0208488791
bjaCZR2MKOfyA_p2zBWhYA,Club Tour Vegas,34,9:0-12:0,-115.0762536,36.149751
2ACd96U-3TzZEaFfZoLo8Q,Vegas Club Connect,30,9:0-9:0,-115.1948136,36.1144832
O_6zhr9_r49cgw1r5nJIwA,Turnt Up Tours,62,9:0-19:0,-115.1818232,36.0761992
hpnFcRFzs3kg-qM1tPEg3g,Sapphire Gentlemen's Club,42,0:0-23:0,-115.1716041,36.1347435
j-G4URmQla2Jkc7DsfxDuA,V Card: The Vegas Nightlife Pass,29,9:0-22:0,-115.168838183,36.1107207072
VsajJw_iaIvVbxQ0aWCTxg,Vegas Party VIP,58,9:0-17:0,-115.17269742,36.1147640783
SOSlrLM6wmjRvtd8d79PrA,Vegas Guy VIP Concierge Service,51,0:0-23:0,-115.2440943,36.0458007
67OIG-1s4IAXb-YXNk6ZJg,Charlie's Las Vegas,32,0:0-23:0,-115.1986069,36.0985813
RiHdI0lxKCKSyFVT7CVtsw,Embassy Nightclub,35,0:0-23:0,-115.188356267,36.1275096504
PWFB8WyJGaFBWfcrwcn9Lw,Premier Club Tours,30,9:0-19:0,-115.1725728,36.1043642
5FlgzvUxpOMozhgblpNvpQ,Livinh Entertainment,39,9:0-17:0,-115.1236952,36.1697096
WLRregbgtb3t1gCtInNIhw,Sin City Parties,46,8:0-21:0,-115.1926929,36.0968783
