business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
HgVirOyCSjxrrqDzuYtUNQ,The Church of Jesus Christ of Latter-day Saints,24,7:30-22:0,-115.0200319,36.1745804
MZu0iBdiu2oyIcp-yWZkow,New Hope Las Vegas Church,15,10:0-15:0,-115.2754,36.1132
c9AJXcIVPFIoZEXIRUA1pQ,The Rock  A Christian Church,36,8:0-17:0,-115.2374346,35.992321
A_LQQRX0nGr7mSxuovXgzQ,Canyon Ridge Christian Church,46,8:0-17:0,-115.2270586,36.2473112
ZL_Xpue6CcyaHG7bsOPqng,Southern Hills Baptist Church,38,0:0-23:0,-115.2330677,36.02729
btiYZMEOwXRD806kQXEYAg,Life Baptist Church,27,8:30-17:0,-115.2510431,36.0726888
hlPtbUi_Ejlk_ab0J6QzWA,Shrine of the Most Holy Redeemer,38,11:0-19:0,-115.169752,36.0967472
1EuqKW-JC-Fm3RSWRqKdrg,Life Springs Christian Church,15,8:0-17:0,-115.1236678,36.0564011
LnCNoBfyLQVdk8CLj6ra4w,Hope Church,33,9:0-17:0,-115.145204121,35.9997183166
cP2aaDaMFlhZNnx5KR4Y1w,The Rock  A Christian Church,35,8:0-17:0,-115.244736671,36.051493058
1vGzHpCngofLvTqJr-2hWw,Holy Spirit Catholic Church,13,13:0-16:0,-115.3223211,36.0870421
YSz8a6PJSjcxV8q5isS4Rg,Liberty Baptist Church,17,8:0-21:0,-115.236890923,36.1953606271
07r5PjnPxDXKI-Icp_NbpA,St Anthony of Padua Roman Catholic Church,17,9:0-17:0,-115.2969502,36.2749834
IbuNed_ZQqimGQyJ9B4WoA,The Crossing Christian Church,46,8:0-17:0,-115.2644551,36.0418432
1AdIZu9j2lTl8tUy2neDDQ,St Thomas Aquinas Catholic Newman Community,13,10:0-19:0,-115.139551,36.10343
2QyprNEv-eczMqU7gnzFfQ,Vegas Simple Wedding Chapel,51,0:0-23:0,-115.1448239,36.167029
1sOOSqGIeLs7vp8G5SY8pQ,Valley Bible Fellowship,38,9:0-17:0,-115.2015687,36.1453601
ErPV2co7rEOUGKXUAQV4jQ,Word Of Life Christian Center,11,8:0-16:30,-115.2598246,36.2243299
aUc1gQmIwv1sQKt2u4AWPA,St Joseph Husband of Mary Roman Catholic Church,27,8:0-17:0,-115.2515106,36.1442895
VCRBTZBzWib3ngEFoOZing,Las Vegas Center For Spiritual Living,19,10:0-15:0,-115.231425,36.238185
gBDAgyz_OxfR5hhPxkMuzQ,Church of Scientology,10,9:0-22:30,-115.1123721,36.1251437
