business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
4uqPzrv4QcRydUPHV_168Q,Acepool,15,0:0-23:0,-115.2244853,36.2030945
U8afCPSblJ_kagrU6nghqQ,Desert Breeze Aquatic Facility,29,5:30-20:0,-115.27182,36.12505
TGZVewJPoPh7qysgLW9vYg,Hollywood Aquatics Center,28,6:0-20:0,-115.025582,36.153443
X-WXPGYuuknAjZkpYGeRiw,Alexis Park Resort,41,0:0-23:0,-115.1571,36.10802
MTySM0XJ-A8hdmUF-8W1Qw,Pavilion Center Pool,23,5:0-20:0,-115.3335031,36.1744069
79JLTCODU59FjrfXKU-bHg,Garside Pool,33,18:0-21:0,-115.233711243,36.1703033447
FGL-4F9q8f1su5gAt8g4CQ,Margoa Relaxation,34,10:0-22:0,-115.2422835,36.1886034
2Jn0nyCn-NvOQYvMro0x_w,Aria Sky Pool,18,9:0-20:0,-115.178637205,36.1068983092
UJ3J2vIJOrxQ9q7M06Wm4Q,Mandalay Bay Beach,53,8:0-20:0,-115.1727807,36.0908025
v_eEKWfbJ6g8IgN71FVDRQ,Water Wings Swim School,40,8:30-20:0,-115.2975136,36.0980074
uBBiD1XJk697Qcr84MIbKA,Wet'n'Wild Las Vegas,47,10:30-20:0,-115.300769297,36.0597629196
