business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
--o5BoU7qYMALeVDK6mwVg,Nightlife Tours,11,0:0-23:0,-115.131625,36.101643
SABdk4ecGc--vHyiTfZLYA,Supreme Club Tours,25,8:0-20:0,-115.206186,36.112282
1pWGpIdWU7eIe_9l8mW3fA,24/7 Vegas VIP,19,0:0-23:0,-115.1906853,36.0811229
uz9waRQ_LAxVi2RDtUdp5Q,Delano Beach Club,28,8:0-19:0,-115.177689,36.0899555
rrUAvccm8C_gI4nJZlv0DA,mi5t-entertainment,44,8:0-20:0,-115.185323974,36.1050836
6UI3dCIY6eM1eBOsnEVBuw,The Perq,36,6:0-21:0,-115.1578748,36.1427564
Ka00H3EHLLiPNpMj1V4Hcw,The LINQ Promenade,60,0:0-23:0,-115.1725759,36.1177747
HFAFnAC8lEWjz9xm1wrz6A,Vegas Club Hop,15,0:0-23:0,-115.1726275,36.1378924
mVvowu490-zJZFGfkQINgA,Vegas Rockstar VIP,19,0:0-23:0,-115.1476669,36.161526
A7Hb0SEYZH-n70SS4DKJJA,Surrealnightlife,53,8:0-23:0,-115.1711298,36.128561
shJPvAZ1pdUVm9DORQ6g3g,Hot Shot Vegas,62,0:0-23:0,-115.167846036,36.0208488791
hpnFcRFzs3kg-qM1tPEg3g,Sapphire Gentlemen's Club,42,0:0-23:0,-115.1716041,36.1347435
SOSlrLM6wmjRvtd8d79PrA,Vegas Guy VIP Concierge Service,51,0:0-23:0,-115.2440943,36.0458007
67OIG-1s4IAXb-YXNk6ZJg,Charlie's Las Vegas,32,0:0-23:0,-115.1986069,36.0985813
RiHdI0lxKCKSyFVT7CVtsw,Embassy Nightclub,35,0:0-23:0,-115.188356267,36.1275096504
WLRregbgtb3t1gCtInNIhw,Sin City Parties,46,8:0-21:0,-115.1926929,36.0968783
