business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
lHCwqXdDSmlmqe88WpjeEg,PT's,32,0:0-23:0,-115.130187947,36.0714993636
01SiPgdiOskMC5bUJoyy_g,Winchell's Pub & Grill,44,0:0-23:0,-115.1636524,36.0566383
JWhqCvKTs5vLwIrhrbgx7Q,PT's,30,0:0-23:0,-115.120388,36.2760304
uufFYaIiNeISTgzSsEcYwg,The Lodge At Hualapai,29,0:0-23:0,-115.3147654,36.1273513
Vk1-8BhzJdZYiZjXPFwgEQ,PT's,20,0:0-23:0,-115.0670067,36.1374298
6BuoX_cbWwu-0Vn9-n-k2w,Adrenaline Sports Bar and Grill,36,0:0-23:0,-115.212288313,36.2151617552
jdAdf7keZac1idbgNKG2pw,Steiner's,43,0:0-23:0,-115.2769118,36.2190477
YoJt2bvCrYMSSyoeUO-YTg,PT's,22,0:0-23:0,-115.0404592,36.1955901
bPfvv7TvMLxxA3__VomsxQ,Saddle N Spurs Saloon,30,0:0-23:0,-115.2232141,36.2023801
IkI9yPjx-MRYh-Jh-LqIiQ,Downtown Crown Pub,43,0:0-23:0,-115.152672864,36.159149138
muD5-YKII_qOTRpbRWuOHA,PT's,30,0:0-23:0,-115.2066735,36.1148713
qWflasEfK2strQg5Ulcz4w,Brewske's,28,0:0-23:0,-115.2791809,36.1233146
wb-OCJAuP1upOefBs7xljQ,Santa Fe Mining Company,36,0:0-23:0,-115.2433289,36.2525984
sz59vCd4YrfF2JBf153dDQ,Timbers - Horizon Ridge,41,0:0-23:0,-115.0480351,36.023315
46UHF46E1z-W2dOmhv-Fng,PT's,26,0:0-23:0,-115.244802,36.1651692
TKZ-6ejNjM_PdKdM4n5bDw,PT's,26,0:0-23:0,-115.062847,36.1692726
8wt-saX_qXaqVCXQHc5qXw,Sporting Life Bar,56,0:0-23:0,-115.224919,36.048195
SLVjLgWfUqgaXtmc0wmLiw,PT's,21,0:0-23:0,-115.119841951,36.1302215383
Apkr-qykgpUI5ltIw7B-7Q,Stake Out Bar & Grill,51,0:0-23:0,-115.1363023,36.1027088
kzwiQ54fopeTgGEIkgJ2dQ,PT's,42,0:0-23:0,-115.259810224,36.0686032269
lcsfb0Sz5vzpBVShDsu2gw,PT's,13,0:0-23:0,-115.147729,36.144309
n0tnioUYabmpBrTwmIq08Q,PT's,28,0:0-23:0,-115.153581,36.262122
xo1FxmxwWAXIVZ1MO222dg,Rounders,54,0:0-23:0,-115.2660871,36.0206258
1WsXLCPRP2EZ9KoBRTkSbw,PT's Gold,19,0:0-23:0,-115.2486868,36.1965066
uWIrZQx2BxKznWPjxWGRNg,PT's,29,0:0-23:0,-115.29751536,36.068042268
