business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1Iz9OlIJi12jLWrQYoUsAA,1,,,1,,,,,,,,,,,,,,,1,,,,,
NdUuGRxEH0waBQbL6R7mmg,61,102,89,59,54,38,26,30,17,8,4,2,9,13,7,33,39,35,32,50,45,38,56,57
WKbfG_4203Kn__5rHFk9Gg,,,,,1,,,,,,,,,,1,,,,,1,,,,
qSP6RqBJUyJRsQKTarlo6g,32,70,74,55,54,57,48,49,37,30,25,12,7,13,5,8,16,18,20,27,24,23,18,35
Wu8Ia0A5HkIlpu5ptfvcvg,5,2,8,6,2,3,3,3,2,4,3,2,,,,,,1,,1,,1,4,4
iCovpfQtG99MSHEqXew70w,,2,1,5,12,15,4,6,4,1,,1,,,,1,,,,,,1,,1
Ny5Naxr3SiYfQqAF1rIQ0Q,2,2,1,,1,,,,1,,,,,,,,,3,5,4,9,12,5,12
OJdufUU3hVabgviIBHksYw,67,107,148,123,139,138,123,137,109,51,18,3,,,1,12,35,59,95,181,187,108,91,85
NoSj3hV8Rlz_gUsOL4_EjQ,6,6,6,7,3,5,4,3,1,,,,,,,,,4,2,1,2,1,2,4
TtqvXhjmXXd0nhibRAbpRg,13,10,12,19,11,1,,2,,,,,,,,,,,9,49,32,16,3,3
gRCEObNuHtI61xR32ytqNQ,130,116,115,145,91,80,90,88,65,54,27,24,17,44,51,75,96,96,125,141,102,132,129,126
4E309lwPu65lXyaeuLRETQ,3,5,3,9,9,19,18,6,2,,,,,,,,,1,,2,1,,,1
mcWAIj1u1S-QDBhB7CiIdQ,24,23,28,34,31,43,28,32,35,12,5,2,3,,1,,1,5,17,19,21,16,13,13
ay6V-SfANiKOZvma7iZS0Q,41,55,42,25,9,3,1,,,,,,1,,,,1,6,6,8,15,21,21,33
Sv0mCDEF0-V-HGR0nk5Egg,10,4,20,12,8,5,7,3,1,2,1,,,,,,,3,3,5,1,3,4,9
03hmuxN-jpGWjdtBnhV2AQ,2,2,3,4,2,2,9,6,7,4,2,3,1,,,,,,,1,4,2,1,3
heCI3_2JZ6WQZdWSWHiNXA,1,,,,3,2,3,3,,,1,,,1,,,,,1,,,,2,
nMKj8Di_9YTdZcCAWFw3dw,4,7,19,10,4,1,3,7,4,2,,,,1,1,5,2,5,3,7,4,4,3,2
U9nXdynQ2YR5xYx8tM3S7w,22,35,38,26,32,19,23,13,4,,3,,,,,,1,1,12,28,28,19,15,19
Ww5qfd1cx0ArJvV2KcnCsw,9,4,2,3,4,6,8,5,3,,,,,,,,1,4,1,11,6,3,8,3
JIl4gbnh_cORSjSrZgOjAQ,10,8,16,37,26,44,51,37,30,13,14,3,5,,2,1,1,1,3,8,6,3,7,11
8kW60GovVJJWdyA0AyS0OQ,15,23,15,21,29,31,29,22,19,13,4,5,4,5,6,6,3,6,4,7,4,8,9,14
aGDo7GDN5YLvpYykpSLkbw,26,39,26,40,21,13,5,3,1,2,2,,,,,1,7,14,20,44,42,37,23,18
Y40U2KXA3v-N_h-9F8Y_aQ,7,5,6,14,18,21,27,31,19,13,11,8,6,3,2,,,2,4,2,3,6,7,4
2g8LJSC_Ia9fZxdQRSVLig,4,2,7,7,4,3,8,4,2,,,,1,1,,,1,,,,2,4,2,2
JpPlBOJg9fb4Ib_iQnnURw,3,4,7,5,2,6,6,4,5,1,1,1,3,2,,,4,2,2,,,2,1,
4Odbtgh9g8XUKorRg7MTHg,12,22,47,27,16,13,2,1,4,,,,,,,,2,,,4,3,2,7,21
CXImGdRuyHEfPUbppCCm6A,,,3,2,,1,,,,1,,1,,,,,1,2,,,,,,
ifIxHJrhevpBxKO2Nh5TjA,1,,,3,2,4,4,3,,,1,,,1,2,1,,,1,1,1,3,,2
svzw9ZtZmBRSO7b49CRhyA,2,2,3,3,5,3,5,3,4,2,1,,,,1,,,,,,1,,1,1
Y3KapbufrVomaGDHlKHM9A,5,9,10,10,10,5,4,1,1,,1,,1,1,5,3,1,4,4,9,4,6,2,8
H5Y6o9H4rtxbHJFgLqI6Fw,35,46,52,45,24,5,1,,,,,,,,,,,2,8,36,40,16,18,24
rTN9PfZFa3vmfyPZd-u9sw,29,32,17,19,12,13,9,7,3,2,1,1,,,1,1,1,,1,2,2,1,2,6
bPfvv7TvMLxxA3__VomsxQ,1,5,4,11,10,2,5,3,2,1,1,,,,,,,,1,,,,,
66jwLkSd6M0cZulZrA3zcw,22,27,50,35,22,23,11,1,,1,,,,,,,,2,9,30,25,15,12,9
fzpnaYOqBDjKnnAgFcgR8A,4,7,7,8,6,12,4,10,1,3,1,2,1,1,,2,3,2,1,1,2,1,,2
0aw3HbxkZ4G7pkPYt10fhA,32,37,43,32,26,6,2,,,,,,,,,2,2,1,26,41,38,25,10,17
w2H8483LFXrth8X-cpku0Q,1,1,2,2,5,4,2,2,3,,1,1,,,2,3,,,4,7,3,,,2
axmTTwzbbRt8u3ZWWXsMEw,8,4,3,5,2,13,1,1,1,3,2,,,,,,,,,3,1,4,6,14
HfxMovSXJZVqL514iUD02g,11,24,21,21,10,10,9,13,7,7,9,4,4,,6,7,8,6,52,41,9,7,12,16
CYuKQ5PpwjDvVs3zru7fJg,2,,,,,,,1,1,1,1,,,,,,4,3,1,1,,2,1,3
67OIG-1s4IAXb-YXNk6ZJg,8,11,29,47,52,61,50,37,18,11,7,1,,,1,2,1,1,2,,3,2,1,1
W_qjGgy4LsEQnKKjIscDNg,12,10,18,18,15,13,6,7,4,1,,,,1,,2,1,,14,11,7,4,3,5
a2OCO4yHDEifuKzjor_yRQ,11,14,8,16,14,5,8,13,12,12,5,5,2,,1,1,2,4,10,7,4,6,5,5
3p0SYIaMbJ8j-yeK_do5Qg,29,22,28,20,19,9,18,22,21,13,7,,2,2,13,26,30,14,10,19,10,13,8,15
eJCDUkFa7wl-BHYKZzaTMQ,40,59,70,55,29,10,1,3,1,,1,,,1,1,4,1,3,27,43,26,40,21,21
oByMSv0dwOfHsGfjj0oZxg,9,6,8,6,9,6,7,19,23,36,24,15,7,3,2,7,6,4,6,9,6,8,8,5
5xYk23lz0ktdMvzHtohymQ,11,24,14,13,12,6,7,6,7,4,3,2,,,4,3,4,4,6,5,7,8,6,8
p45zoSxaX9FC6JBoyw6DKg,70,107,101,56,45,35,27,19,16,10,6,2,3,5,6,7,11,8,9,11,18,12,10,40
fBdZXMF0QyhehC_fri4JZg,2,3,10,5,3,9,5,3,4,,3,,3,4,4,,4,5,2,4,3,3,1,6
KalAJyO0Zpg3K1wVwYXBHA,63,85,91,74,46,15,5,5,2,2,2,1,1,,,,4,3,28,63,63,58,36,33
jkhEPQovg6JKPzUr43MC_g,9,5,5,3,3,,,,1,1,,,,,1,,1,3,,2,3,3,1,4
19umlhmVB9O3njIBfRAe8g,28,48,60,41,36,24,13,20,8,4,1,2,1,4,6,16,10,13,15,23,21,11,12,32
FhIeCF6QrsLaRvAeu0oEPQ,33,65,83,43,23,13,4,1,,,1,,2,,,,,1,5,15,9,4,8,22
wb-OCJAuP1upOefBs7xljQ,12,7,6,12,7,9,4,6,6,8,7,1,,1,,1,,2,3,16,23,13,7,7
A_LQQRX0nGr7mSxuovXgzQ,10,20,16,6,2,,2,5,,,,,2,,3,5,2,2,4,2,,8,2,6
rZDi46tdwQoSAmxU50xiQQ,101,153,130,123,99,74,69,41,32,22,5,6,10,12,14,23,34,48,61,65,69,62,85,75
4GXII-GU7S0ZyU6ElkhscQ,83,101,127,93,103,74,88,74,70,59,34,24,16,13,17,24,52,44,71,103,76,80,82,99
WzkbnhI-fxdH_tMzT3evtA,10,26,30,18,21,10,12,3,4,,,,,3,4,3,3,2,8,20,16,4,5,5
Zx4iQCmQfAaXvwPc3TlF9Q,21,31,40,35,26,28,17,19,16,31,40,26,16,7,1,3,6,5,17,23,14,11,4,9
5PP6BwtNYlPARHApB9lzcQ,9,32,54,37,13,10,4,2,1,1,,,,4,,2,4,5,9,18,17,8,3,9
qQIUMQJ0pMiiYpygql3Zdg,8,18,17,24,34,20,21,10,9,7,2,2,,5,,2,2,7,6,9,6,7,1,6
sz59vCd4YrfF2JBf153dDQ,11,13,20,14,14,10,13,9,5,10,5,7,1,,1,1,,1,4,12,5,4,10,6
qRhxldX3lnOMJUNlytYvfQ,19,23,32,18,18,14,6,3,,,,,,,,2,,4,28,53,27,28,22,17
FsZhVMtcVj9tWO6y9AqBBg,25,9,11,6,1,,,,,,,,,,,,,,2,3,3,3,16,11
Zzl4ffV9kFY3yOSSgyRUBQ,64,68,78,73,86,68,73,58,37,37,20,9,3,7,7,9,35,29,29,47,47,64,62,65
n0QmJeame2VHWgMKj5gfrw,8,2,,2,2,4,3,5,2,1,,,,,1,1,,1,,2,3,3,2,
bpHeCdmCRFAUZqXT2TMdig,1,3,,,1,,,,,,,,,,,,1,,18,42,24,14,3,3
7XqrmQ6VpZOl7Wg2Rf-NgQ,8,6,3,5,2,,2,1,,,,,,,,2,7,8,12,16,12,14,11,11
uKPGUc5D0Ir2KuOkgzrgyg,4,6,17,25,23,37,38,22,21,1,1,1,,1,,,1,1,2,3,2,1,6,2
Z2iYtj0ybh_ovOyRD8bjMg,74,108,116,117,117,86,66,42,25,12,5,,,,2,,1,2,4,4,4,13,10,45
lSgk0vHC4F3yds5hwJmWQQ,6,14,17,11,9,14,11,7,7,4,7,6,,2,3,6,6,6,4,7,3,5,10,4
ayOJSIl-P16HZAQBcQfUyQ,152,179,212,188,200,177,239,226,204,143,106,53,45,39,53,89,113,126,161,179,170,158,131,127
ScQ5xymJBw8HuUoCF7y_VQ,2,7,9,4,6,9,13,12,14,9,1,4,,,,1,3,1,,2,1,3,5,1
sxrubytQT4TvSZJRDCAavQ,,,1,1,1,,2,,,,2,,,,,,,,,,,,,
BIBWGO_r_1znnlmLbp4Nxg,330,310,309,299,312,288,274,222,168,101,60,47,25,64,93,154,141,207,185,236,237,264,278,290
_TlhZftKs1aXCYX1rLWAGw,18,8,10,15,10,10,10,7,2,1,,1,,2,1,1,3,12,2,7,11,10,19,11
K8MWIwCrS5w-Dbi9UHOlhw,128,123,148,115,109,64,44,37,25,20,13,9,6,4,12,34,55,57,54,80,82,76,79,106
tsf1JNdeeQf_654YUSrzRw,105,181,297,215,131,126,101,96,80,36,24,8,4,8,7,6,12,19,46,50,66,44,66,66
iAu8s96GKQ73Xe7j_2GyCQ,28,78,56,43,40,32,18,50,40,20,20,9,6,9,1,2,2,5,7,9,13,8,11,20
QyVVNCwysX6sRcTFFOO3Jg,4,4,29,25,3,1,,,,,,,,,,,,3,3,5,3,,,2
DESv2ys6SjBKA4SyDtJvxw,69,147,215,159,121,75,81,65,39,13,2,,,,2,4,4,3,31,63,45,35,34,50
pHJu8tj3sI8eC5aIHLFEfQ,173,307,465,438,244,79,15,7,4,1,,1,,3,3,1,5,10,44,122,96,96,68,80
VxCnyVYn-FFgv6F1EqbdKA,168,180,168,167,126,127,118,103,86,52,36,35,26,24,33,73,82,88,117,139,109,135,85,110
muD5-YKII_qOTRpbRWuOHA,9,6,5,7,7,5,6,17,8,6,3,1,1,,1,1,,1,1,1,1,2,3,3
