business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1Iz9OlIJi12jLWrQYoUsAA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WKbfG_4203Kn__5rHFk9Gg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
qSP6RqBJUyJRsQKTarlo6g,32,70,74,55,54,57,48,49,37,30,25,12,7,13,5,8,16,18,20,27,24,23,18,35
Wu8Ia0A5HkIlpu5ptfvcvg,5,2,8,6,2,3,3,3,2,4,3,2,0,0,0,0,0,1,0,1,0,1,4,4
iCovpfQtG99MSHEqXew70w,0,2,1,5,12,15,4,6,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
OJdufUU3hVabgviIBHksYw,67,107,148,123,139,138,123,137,109,51,18,3,0,0,1,12,35,59,95,181,187,108,91,85
NoSj3hV8Rlz_gUsOL4_EjQ,6,6,6,7,3,5,4,3,1,0,0,0,0,0,0,0,0,4,2,1,2,1,2,4
TtqvXhjmXXd0nhibRAbpRg,13,10,12,19,11,1,0,2,0,0,0,0,0,0,0,0,0,0,9,49,32,16,3,3
4E309lwPu65lXyaeuLRETQ,3,5,3,9,9,19,18,6,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1
mcWAIj1u1S-QDBhB7CiIdQ,24,23,28,34,31,43,28,32,35,12,5,2,3,0,1,0,1,5,17,19,21,16,13,13
ay6V-SfANiKOZvma7iZS0Q,41,55,42,25,9,3,1,0,0,0,0,0,1,0,0,0,1,6,6,8,15,21,21,33
Sv0mCDEF0-V-HGR0nk5Egg,10,4,20,12,8,5,7,3,1,2,1,0,0,0,0,0,0,3,3,5,1,3,4,9
03hmuxN-jpGWjdtBnhV2AQ,2,2,3,4,2,2,9,6,7,4,2,3,1,0,0,0,0,0,0,1,4,2,1,3
heCI3_2JZ6WQZdWSWHiNXA,1,0,0,0,3,2,3,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0
nMKj8Di_9YTdZcCAWFw3dw,4,7,19,10,4,1,3,7,4,2,0,0,0,1,1,5,2,5,3,7,4,4,3,2
U9nXdynQ2YR5xYx8tM3S7w,22,35,38,26,32,19,23,13,4,0,3,0,0,0,0,0,1,1,12,28,28,19,15,19
Ww5qfd1cx0ArJvV2KcnCsw,9,4,2,3,4,6,8,5,3,0,0,0,0,0,0,0,1,4,1,11,6,3,8,3
JIl4gbnh_cORSjSrZgOjAQ,10,8,16,37,26,44,51,37,30,13,14,3,5,0,2,1,1,1,3,8,6,3,7,11
8kW60GovVJJWdyA0AyS0OQ,15,23,15,21,29,31,29,22,19,13,4,5,4,5,6,6,3,6,4,7,4,8,9,14
aGDo7GDN5YLvpYykpSLkbw,26,39,26,40,21,13,5,3,1,2,2,0,0,0,0,1,7,14,20,44,42,37,23,18
Y40U2KXA3v-N_h-9F8Y_aQ,7,5,6,14,18,21,27,31,19,13,11,8,6,3,2,0,0,2,4,2,3,6,7,4
