business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
NdUuGRxEH0waBQbL6R7mmg,61,102,89,59,54,38,26,30,17,8,4,2,9,13,7,33,39,35,32,50,45,38,56,57
Ny5Naxr3SiYfQqAF1rIQ0Q,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,5,4,9,12,5,12
gRCEObNuHtI61xR32ytqNQ,130,116,115,145,91,80,90,88,65,54,27,24,17,44,51,75,96,96,125,141,102,132,129,126
Y3KapbufrVomaGDHlKHM9A,5,9,10,10,10,5,4,1,1,0,1,0,1,1,5,3,1,4,4,9,4,6,2,8
3p0SYIaMbJ8j-yeK_do5Qg,29,22,28,20,19,9,18,22,21,13,7,0,2,2,13,26,30,14,10,19,10,13,8,15
oByMSv0dwOfHsGfjj0oZxg,9,6,8,6,9,6,7,19,23,36,24,15,7,3,2,7,6,4,6,9,6,8,8,5
5xYk23lz0ktdMvzHtohymQ,11,24,14,13,12,6,7,6,7,4,3,2,0,0,4,3,4,4,6,5,7,8,6,8
jkhEPQovg6JKPzUr43MC_g,9,5,5,3,3,0,0,0,1,1,0,0,0,0,1,0,1,3,0,2,3,3,1,4
19umlhmVB9O3njIBfRAe8g,28,48,60,41,36,24,13,20,8,4,1,2,1,4,6,16,10,13,15,23,21,11,12,32
rZDi46tdwQoSAmxU50xiQQ,101,153,130,123,99,74,69,41,32,22,5,6,10,12,14,23,34,48,61,65,69,62,85,75
4GXII-GU7S0ZyU6ElkhscQ,83,101,127,93,103,74,88,74,70,59,34,24,16,13,17,24,52,44,71,103,76,80,82,99
Zzl4ffV9kFY3yOSSgyRUBQ,64,68,78,73,86,68,73,58,37,37,20,9,3,7,7,9,35,29,29,47,47,64,62,65
7XqrmQ6VpZOl7Wg2Rf-NgQ,8,6,3,5,2,0,2,1,0,0,0,0,0,0,0,2,7,8,12,16,12,14,11,11
lSgk0vHC4F3yds5hwJmWQQ,6,14,17,11,9,14,11,7,7,4,7,6,0,2,3,6,6,6,4,7,3,5,10,4
ayOJSIl-P16HZAQBcQfUyQ,152,179,212,188,200,177,239,226,204,143,106,53,45,39,53,89,113,126,161,179,170,158,131,127
ScQ5xymJBw8HuUoCF7y_VQ,2,7,9,4,6,9,13,12,14,9,1,4,0,0,0,1,3,1,0,2,1,3,5,1
BIBWGO_r_1znnlmLbp4Nxg,330,310,309,299,312,288,274,222,168,101,60,47,25,64,93,154,141,207,185,236,237,264,278,290
_TlhZftKs1aXCYX1rLWAGw,18,8,10,15,10,10,10,7,2,1,0,1,0,2,1,1,3,12,2,7,11,10,19,11
K8MWIwCrS5w-Dbi9UHOlhw,128,123,148,115,109,64,44,37,25,20,13,9,6,4,12,34,55,57,54,80,82,76,79,106
VxCnyVYn-FFgv6F1EqbdKA,168,180,168,167,126,127,118,103,86,52,36,35,26,24,33,73,82,88,117,139,109,135,85,110
xtYiHTmunjfCN2sUaQxBjA,523,556,554,627,413,329,281,273,223,155,106,76,59,83,214,269,303,326,409,392,370,397,398,474
SOhuia1TQNLs3PAWS8yRUQ,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
o7AiTlyWUrBSzdz6oMHj5w,374,343,354,327,323,254,247,262,184,118,77,55,37,61,99,164,194,240,301,320,319,287,361,360
NY80DkkCfEl198JmwtO4pA,247,272,234,242,212,194,174,175,131,115,86,38,42,39,74,91,145,174,231,223,215,239,308,218
6Q7-wkCPc1KF75jZLOTcMw,222,263,208,204,203,177,193,143,103,58,36,25,15,31,34,55,98,117,169,188,213,236,225,260
y_3IkHGoSkZlAqdkrMG-1w,6,7,4,4,2,7,2,0,2,1,0,2,0,1,7,6,3,11,5,6,8,8,9,11
EAwh1OmG6t6p3nRaZOW_AA,196,293,338,327,306,243,200,164,166,117,85,67,39,29,54,68,114,136,182,199,151,146,129,150
LEASX4wn1U1TAmwQfsDtIw,6,14,5,7,13,11,10,12,7,5,3,3,1,2,2,1,7,4,6,8,7,15,11,13
5Zc41a446gV3K_o7CDs69Q,92,104,85,93,86,64,67,78,49,38,20,15,12,33,30,50,44,75,79,75,89,83,70,96
nhIWy8eXayUvDzAz3Ef-Og,38,44,28,39,50,40,45,40,34,37,18,15,3,1,5,6,13,21,21,27,24,41,35,41
X-WXPGYuuknAjZkpYGeRiw,21,14,15,17,8,7,10,4,9,6,1,5,7,5,6,12,20,17,16,24,15,13,26,20
makqSKZaz1aUipoWBW0BsA,66,76,89,53,48,49,57,62,33,18,11,17,19,27,46,71,51,37,47,43,53,54,68,72
owLXnEhlMLsFpemYoOxNkg,65,80,76,72,51,45,62,46,72,53,36,33,19,15,21,39,32,57,63,50,62,65,59,51
rTZVcJZ8G80i6NjLw0SW8Q,206,222,256,196,153,101,64,82,47,38,26,13,14,19,21,36,75,173,153,164,184,186,153,160
1TTQ41NqKks69GltQSQNIA,114,130,147,142,121,99,79,60,36,18,18,14,12,12,19,34,37,52,71,72,92,91,88,93
ByFMv3p5X1aNeZhU61rDcA,219,208,186,204,206,180,148,143,103,68,35,31,16,38,54,107,111,137,182,190,199,217,253,199
g62SlImzhs6_1t-knPjd8w,122,180,172,140,117,97,42,15,7,3,1,4,2,2,2,5,4,7,11,4,13,12,20,80
ebTvBxSStI9Vf5Tpux_X3Q,378,410,425,357,356,270,211,275,164,121,87,53,38,42,70,135,154,183,271,283,299,319,272,299
ajoqEHnCZTD8-8GqGLq9-Q,424,491,553,466,404,377,310,248,183,103,67,50,35,42,67,142,167,186,270,331,316,321,334,398
na4Th5DrNauOv-c43QQFvA,997,1065,1018,986,1073,936,755,667,476,295,206,124,136,182,285,374,475,602,716,808,899,970,977,1015
qjnJFZtsY_nfRzoL3J_UWQ,617,596,648,581,566,491,396,367,221,175,114,44,48,61,99,269,365,330,419,497,540,555,579,596
LkMtMHVetws5_7QfRjPtlg,125,171,180,146,108,88,74,71,55,27,15,9,23,29,51,71,93,98,113,118,98,106,124,112
ii8sAGBexBOJoYRFafF9XQ,643,650,663,583,539,470,365,357,255,150,105,48,46,83,186,243,342,420,501,497,515,509,524,549
5iSmZO0SrKU6EoXK_1M8Kw,493,485,424,356,347,291,257,263,192,130,71,39,47,59,111,294,284,290,323,333,328,364,405,435
Wxxvi3LZbHNIDwJ-ZimtnA,936,1019,937,813,848,729,580,551,398,265,168,107,86,122,224,479,588,724,958,1034,1010,1079,1026,1027
DfgZlNgKwBvCpA_0alumXw,549,546,552,495,510,401,377,357,215,113,107,58,57,100,156,237,297,282,439,416,427,481,478,496
El4FC8jcawUVgw_0EIcbaQ,875,987,889,885,876,734,621,578,361,263,157,120,68,138,273,553,644,669,859,863,825,838,937,977
uanCi4OGc1mHLGl_AT4JhQ,369,423,389,424,428,308,252,217,143,111,67,70,58,62,122,143,208,267,321,330,348,335,419,421
u_vPjx925UPEG9DFOAAvFQ,334,342,341,282,261,270,249,261,196,129,89,63,47,57,114,183,250,238,240,280,292,331,381,388
AV6weBrZFFBfRGCbcRGO4g,526,634,606,481,454,418,351,361,288,178,120,86,53,82,125,219,259,320,404,441,426,408,472,493
eAc9Vd6loOgRQolMXQt6FA,820,927,825,646,646,553,452,366,267,160,89,61,81,184,286,434,593,651,743,755,732,768,823,803
Ou8pYS24azDWG0ru_vUcqg,13,14,9,16,11,6,0,0,0,0,0,1,0,1,1,6,4,15,7,10,9,11,6,6
f8IMQgRwo-8GP372MElDGQ,94,130,88,96,71,77,52,51,51,31,17,13,4,10,15,40,79,52,70,91,74,72,85,105
J3FUxMAHfCl-WFo86u5DqA,12,169,123,56,207,104,46,27,5,2,0,0,1,1,3,6,1,5,4,2,11,6,3,16
if59L5DHM4pPMrCx9HuD8A,87,129,159,185,152,101,84,74,67,40,21,22,16,17,21,44,44,78,101,106,101,49,78,77
PgJgpW4TKQ8IoALH2Yq-zA,64,78,93,94,61,30,4,3,5,5,0,2,2,8,20,49,60,97,93,125,97,58,36,27
RhEvP5flF6KoPriMHmVYGg,748,908,995,866,742,576,361,230,135,61,36,20,24,48,115,226,307,392,533,614,640,611,499,639
d6_UHGiMQb5_m8mi_tRc2Q,34,49,34,45,47,62,47,27,3,4,1,1,1,1,1,1,5,6,3,15,26,28,39,37
VyjyHoBg3KC5BSFRlD0ZPQ,1061,1138,1074,929,799,677,536,447,318,162,131,89,109,119,192,295,427,538,726,869,955,974,1010,1033
p0iEUamJVp_QpaheE-Nz_g,491,721,677,474,424,437,377,536,410,244,196,179,199,227,228,220,339,291,319,342,357,362,356,356
VahVKCDFougCFlWH87OYZQ,18,22,32,24,16,12,8,12,7,10,2,1,0,1,2,4,6,10,28,31,17,12,7,8
LlCbRAZfVkyqL21yKSyd4w,6,3,2,5,1,3,2,1,0,0,0,0,1,0,0,1,0,3,3,2,4,1,5,1
mRsb657hi4iQcb0r5_VlYw,12,24,12,22,22,16,5,10,8,14,9,4,5,3,12,22,16,20,12,21,14,27,13,11
CAxHrXoPrbf0e0AYFPhv6g,25,26,39,30,11,9,8,11,11,11,2,2,1,2,5,15,15,30,26,15,17,13,11,12
BLIJ-p5wYuAhw6Pp6mh6mw,803,861,853,876,768,678,593,575,469,336,194,176,95,100,204,239,362,440,567,685,702,736,746,821
6V_7ldr9tjmet0BdAnC34A,122,107,43,95,37,17,8,6,1,2,1,1,0,1,3,3,4,0,7,2,2,1,0,9
uGupeWqih0yIcCg8anM1PA,651,714,600,570,494,503,415,393,264,200,126,82,71,96,167,362,482,524,581,651,624,640,746,673
COeoqrKejlMnwgyAzTVzKw,1,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ABJjxuO6oh5D9R48-eAUdQ,20,27,37,36,20,12,6,2,4,2,1,0,1,3,13,25,31,42,49,57,43,34,25,21
7zec5DCEukcx8GRFn9LbLQ,13,21,43,62,59,50,33,16,3,3,3,2,2,0,6,10,5,8,9,11,8,16,4,9
lZZLmG1ANLq2Yb3KuVA4NA,16,13,11,13,11,9,1,1,1,1,1,0,3,1,2,6,13,12,20,13,9,8,6,4
_ZfjpSEO5ntk-1hbnwCR4g,85,92,83,75,77,61,61,54,47,34,25,13,19,14,29,49,74,62,67,68,63,70,79,94
b48IZPvY6MQO8MXK3uCNCQ,24,12,10,9,8,10,10,9,7,5,2,0,2,0,1,1,2,0,2,1,6,10,15,16
1qTx9z8RMz7RIYKAfnpZ0A,11,23,23,23,13,11,12,7,1,0,0,0,0,0,0,0,0,2,3,6,0,0,1,5
GGoQdKo8QgKfTW23hf4Tuw,30,29,23,23,20,33,25,28,21,8,8,5,7,6,14,8,13,13,23,31,29,24,31,20
xkGquJpL_-nAg-ZDaVHjPA,4,3,8,6,9,3,4,2,3,3,3,0,0,1,2,0,3,8,3,6,7,2,4,3
hrhtWc8UcoZqYr2d7YPgEA,162,184,197,146,131,119,126,96,77,46,41,29,25,24,65,86,86,115,128,132,135,127,159,161
1Y58X4-dNJMHmGIJbTzsrg,2,7,9,5,3,1,3,0,3,2,0,0,0,0,0,1,1,5,2,2,3,3,4,1
SMPbvZLSMMb7KU76YNYMGg,1024,1083,1030,859,836,737,692,629,489,486,618,282,173,211,304,537,889,921,921,1051,961,1083,1093,1080
cQ2G-OenoaPwrZWwDsEDjw,20,24,20,18,12,9,8,8,6,5,5,2,4,5,26,89,83,20,32,23,19,17,25,20
ORmMxiJnz9sMnHLFTZtitw,23,25,33,39,32,18,25,9,7,4,3,2,3,8,18,13,25,15,21,11,8,19,26,32
-OEIW0dO96-492qa_luxaw,105,134,119,88,83,55,32,25,20,14,12,5,3,2,7,17,13,12,21,62,59,53,35,63
MiUrif_vYOuITF4ALf7WHA,56,47,35,56,51,35,23,12,13,6,4,6,1,0,3,8,10,14,22,38,45,54,54,42
5LNZ67Yw9RD6nf4_UhXOjw,1292,1481,1439,1431,1281,1226,1157,965,727,521,331,232,146,195,331,708,768,817,1027,1246,1236,1198,1174,1181
a3jFGgoWbPkPGENEafiXwg,5,13,7,13,20,14,4,6,8,3,6,0,1,1,1,0,7,8,11,19,6,7,9,17
6Ct57qgmXwOnzfSZoUGh0Q,308,282,299,250,223,232,212,213,152,110,72,52,42,49,97,115,165,205,229,247,228,269,339,320
a-4SLIoCbHts1Rm0ltJJjg,11,7,12,14,20,17,15,23,15,10,4,5,6,5,4,6,4,9,6,14,15,19,14,9
oLyknV8O5jR3COxy4wPbrg,7,11,3,10,3,5,7,12,5,9,2,3,0,2,1,4,3,3,2,9,6,12,8,11
gEjHZH--OgwXph03pVdoYg,86,70,92,66,71,56,65,83,47,50,37,21,15,16,13,12,21,28,38,67,58,72,79,75
