business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4Odbtgh9g8XUKorRg7MTHg,12,22,47,27,16,13,2,1,4,0,0,0,0,0,0,0,2,0,0,4,3,2,7,21
67OIG-1s4IAXb-YXNk6ZJg,8,11,29,47,52,61,50,37,18,11,7,1,0,0,1,2,1,1,2,0,3,2,1,1
PaKG_CtfPbjWQUcdro81rw,3,12,4,10,10,15,10,27,38,35,46,60,31,16,8,8,4,3,2,1,6,2,3,3
jPAywkrJN7mJWKeNpDuSng,1,1,2,3,2,0,2,2,0,1,0,0,1,1,0,0,1,1,1,2,2,1,0,2
hpnFcRFzs3kg-qM1tPEg3g,29,29,44,33,68,59,81,90,87,76,79,53,21,8,1,4,2,7,6,5,9,13,21,12
GCRvrxMSC1nzShyM4Y-guQ,1,0,0,2,4,4,16,17,12,8,8,3,1,0,0,0,0,0,0,0,1,0,1,1
-nKIDHXa5H23rq8d6KGT_Q,3,2,2,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1
aLlREPOEtt3JzeDCagHytA,4,11,27,25,41,117,200,152,102,54,24,7,2,0,2,1,5,3,3,3,6,9,6,11
ECOkEVUodMLUxvI0PMI4gQ,35,46,79,93,150,278,335,278,181,111,46,37,13,9,5,2,10,10,13,14,17,25,25,28
SvHAczHxIJ00QlJ9ovQR8g,7,19,22,38,59,97,137,147,84,48,17,8,3,3,8,3,7,6,9,11,11,10,9,6
ruWTngdiC68O9la27hvvHw,43,102,123,128,124,125,118,82,51,26,12,1,1,0,4,3,3,6,7,6,1,6,7,12
939j88ceB05Te3D7kQPwSA,4,20,31,39,49,65,107,86,55,18,5,2,0,1,3,2,6,4,2,5,6,4,8,8
zlpLjbwrKuNs8zROgB_qUQ,4,4,5,5,8,67,157,152,124,57,37,15,3,2,3,3,3,5,4,6,2,4,0,2
SWjKi3VJzq72d277NLSDCA,2,0,0,1,1,9,16,30,14,23,3,2,1,1,0,0,1,0,0,1,0,0,3,2
O589S0opFB9oK8VcL5tRcA,6,6,8,19,18,31,34,38,41,26,18,7,6,3,0,0,0,3,3,6,3,4,8,9
Y5lamf0Jv4pB48otGWrkkg,2,0,5,6,20,18,21,12,15,9,5,0,0,1,0,2,1,1,3,0,0,4,1,3
2I_qSTehoUFsDNjaqCVxlA,11,21,34,45,39,47,55,30,45,31,22,4,0,0,1,0,1,3,4,1,4,2,5,8
DV13F0bhe55dV1AhwoO50g,9,6,10,23,50,98,102,93,66,27,10,4,1,0,0,0,0,4,2,1,2,1,0,4
1PVFYjySeMsHUYnshzpAGw,0,2,2,8,6,20,54,66,65,62,29,10,6,1,1,0,1,0,0,0,3,1,0,0
uB9i7cEBW4KTOH8PqAEabw,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
yhYhK7tb3la5KcLlVzG5Lw,2,5,2,10,15,49,91,75,45,29,8,4,0,2,1,1,1,2,4,2,3,6,1,2
LeuGZImVz_IG1e-SMYTSXw,1,3,3,4,15,19,28,25,18,7,4,1,0,1,0,1,0,0,0,1,0,2,1,0
mPbOzrmqgDqpgTw2fLHUPg,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
glTBzDHv9wNhEsZa4bQrOA,5,13,18,33,34,19,42,32,25,12,2,1,0,0,0,1,0,0,1,2,1,0,2,3
vw81ARj4ihGzcmanHw6dUg,7,8,10,5,19,16,32,30,24,16,6,1,2,1,2,1,3,1,2,4,0,1,7,4
xGU6La_nGJ7cJrMhbtp__Q,4,5,30,32,45,90,57,56,36,14,10,5,1,0,1,1,1,1,1,2,2,4,5,1
Al0uCu7s9LQEURwV1F6Bfg,46,27,17,21,13,23,18,19,14,7,2,0,3,2,5,6,10,28,74,123,129,81,70,50
5t9kTG9DakuamJgY65HA7w,1,5,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3
-4gwgdvSq_PqOmHb70au8Q,0,0,1,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
w8zw4-3Ns2M4CQxeW9Bszw,0,0,0,3,1,15,28,36,27,10,5,2,1,0,0,1,0,1,2,1,2,0,2,0
VsewHMsfj1Mgsl2i_hio7w,68,109,205,207,192,204,301,265,139,70,31,12,3,6,8,6,11,14,13,17,16,6,17,22
MpmFFw0GE_2iRFPdsRpJbA,31,29,55,70,134,485,889,797,535,289,155,80,30,11,5,13,12,16,14,27,17,15,27,21
