business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
qSP6RqBJUyJRsQKTarlo6g,32,70,74,55,54,57,48,49,37,30,25,12,7,13,5,8,16,18,20,27,24,23,18,35
ay6V-SfANiKOZvma7iZS0Q,41,55,42,25,9,3,1,0,0,0,0,0,1,0,0,0,1,6,6,8,15,21,21,33
03hmuxN-jpGWjdtBnhV2AQ,2,2,3,4,2,2,9,6,7,4,2,3,1,0,0,0,0,0,0,1,4,2,1,3
nMKj8Di_9YTdZcCAWFw3dw,4,7,19,10,4,1,3,7,4,2,0,0,0,1,1,5,2,5,3,7,4,4,3,2
jkhEPQovg6JKPzUr43MC_g,9,5,5,3,3,0,0,0,1,1,0,0,0,0,1,0,1,3,0,2,3,3,1,4
5PP6BwtNYlPARHApB9lzcQ,9,32,54,37,13,10,4,2,1,1,0,0,0,4,0,2,4,5,9,18,17,8,3,9
Zzl4ffV9kFY3yOSSgyRUBQ,64,68,78,73,86,68,73,58,37,37,20,9,3,7,7,9,35,29,29,47,47,64,62,65
n0QmJeame2VHWgMKj5gfrw,8,2,0,2,2,4,3,5,2,1,0,0,0,0,1,1,0,1,0,2,3,3,2,0
ScQ5xymJBw8HuUoCF7y_VQ,2,7,9,4,6,9,13,12,14,9,1,4,0,0,0,1,3,1,0,2,1,3,5,1
z4_C3XB69nrMQ8yuQhUzqw,7,15,11,11,6,11,6,10,12,7,6,3,0,0,0,0,0,0,3,4,2,8,3,3
PaKG_CtfPbjWQUcdro81rw,3,12,4,10,10,15,10,27,38,35,46,60,31,16,8,8,4,3,2,1,6,2,3,3
N3WQPXoVeCuzqyPIvWIX5Q,2,1,1,1,4,9,9,4,6,2,5,2,0,1,0,0,0,0,0,1,0,0,0,0
74C1z6cqEdvJVgETTcEodw,21,36,36,32,32,16,4,2,2,1,1,0,0,0,0,1,1,2,3,3,5,2,3,5
aEswvENK_RJnPbcJPSvAjA,16,17,16,21,10,20,7,8,6,12,2,5,2,1,2,0,5,0,0,2,4,7,6,5
UVVjnJ67fm9EbNPFK5ZgRQ,15,21,18,19,20,11,9,4,4,2,1,0,1,0,0,1,0,1,4,21,13,9,11,8
kPV1DlXSkcXY5G8r2LLmEA,20,30,25,26,46,28,20,9,4,5,3,2,2,0,5,2,7,5,21,41,35,9,12,16
GCRvrxMSC1nzShyM4Y-guQ,1,0,0,2,4,4,16,17,12,8,8,3,1,0,0,0,0,0,0,0,1,0,1,1
g62SlImzhs6_1t-knPjd8w,122,180,172,140,117,97,42,15,7,3,1,4,2,2,2,5,4,7,11,4,13,12,20,80
Kn23LDd740SBVJ7mum0fwg,15,47,45,46,42,49,84,68,71,38,19,8,1,2,6,0,2,11,6,17,21,10,13,16
XXW_OFaYQkkGOGniujZFHg,107,172,209,202,231,192,217,188,168,129,101,84,43,40,76,154,268,366,468,416,295,178,119,112
ECOkEVUodMLUxvI0PMI4gQ,35,46,79,93,150,278,335,278,181,111,46,37,13,9,5,2,10,10,13,14,17,25,25,28
SvHAczHxIJ00QlJ9ovQR8g,7,19,22,38,59,97,137,147,84,48,17,8,3,3,8,3,7,6,9,11,11,10,9,6
ruWTngdiC68O9la27hvvHw,43,102,123,128,124,125,118,82,51,26,12,1,1,0,4,3,3,6,7,6,1,6,7,12
939j88ceB05Te3D7kQPwSA,4,20,31,39,49,65,107,86,55,18,5,2,0,1,3,2,6,4,2,5,6,4,8,8
6KtYYZ4ARIVa2Zj2tOcp9g,68,70,73,73,96,103,78,59,34,13,5,2,2,5,2,2,6,6,9,19,49,47,36,46
2ALnrUa1_U8JHNgscad8OQ,1,3,4,8,4,13,12,11,13,6,2,1,0,1,0,3,0,0,0,2,2,2,0,2
m7pPqt6UY-S1Wy0iR2IqZA,0,3,3,1,1,3,3,3,1,3,1,1,0,1,0,0,0,2,0,2,0,6,1,0
oJZNHz5UUVUgrZwVBVlpYw,42,24,27,22,22,28,30,24,21,17,16,13,9,7,4,8,95,364,285,95,40,46,46,41
4hG2j_ibsNblDgqei05U_g,50,71,139,134,91,54,11,8,1,3,5,1,2,0,2,3,3,2,4,33,41,41,34,29
fQt4D34vcJNtEf8Q4zte3w,44,126,206,246,225,169,147,62,22,8,4,6,2,2,5,3,4,5,8,13,10,10,7,26
meTdk3S9xikwSRcb7Uk_Nw,20,16,9,8,7,9,11,15,13,7,7,3,0,0,2,1,4,4,3,5,5,3,6,6
ORNb79LPI1lZLMo60jsDYQ,36,39,31,35,54,57,90,71,54,31,14,0,0,0,3,4,3,2,6,3,9,14,11,16
93EdKPCH1aFAOBntYy7N6g,10,6,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2UgRg5a6KmpbD_SZfhNrKg,62,90,93,113,111,143,135,109,48,14,1,0,1,0,0,3,1,3,2,0,2,4,5,44
jBhOVAEdnzCJvgSnvA4UDw,26,80,94,126,161,211,252,250,182,69,14,4,2,2,0,2,1,2,7,10,8,10,22,16
sSmt7JFTDNCcK1KfMVO2hw,27,35,32,29,45,32,27,12,8,2,1,0,0,0,1,0,12,11,20,35,23,26,23,37
frBAaI0FRj1BwnToT1AFZA,7,15,15,19,23,13,22,12,9,4,2,1,0,0,1,2,0,2,1,2,1,2,3,3
