business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
FsZhVMtcVj9tWO6y9AqBBg,25,9,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,16,11
X-WXPGYuuknAjZkpYGeRiw,21,14,15,17,8,7,10,4,9,6,1,5,7,5,6,12,20,17,16,24,15,13,26,20
twX6mYg7TT1ImLUJflt5Tg,0,8,1,0,1,0,0,1,0,0,0,0,0,0,4,0,6,2,7,3,3,2,2,9
NAyXRFKfSn6b7fSvVI7M4A,17,7,3,3,1,2,0,4,4,1,0,0,0,1,1,4,1,5,32,17,19,13,31,25
m4EqSB0aI17jzMyCtdfWAA,16,12,8,3,6,2,3,7,4,2,2,1,1,1,0,6,11,7,18,24,43,42,31,11
NiJfIfs31PK5BHmZnuYoLA,8,4,1,1,0,2,0,0,0,0,2,2,0,0,1,2,2,5,16,17,18,13,9,8
82H9MpHRKRIpY6WdKEVL1g,24,19,11,12,7,4,5,1,4,1,0,1,0,2,6,10,27,35,46,42,38,53,28,31
UJ3J2vIJOrxQ9q7M06Wm4Q,69,39,20,34,23,14,6,6,4,1,1,0,1,1,5,35,60,64,54,62,68,79,73,67
Al0uCu7s9LQEURwV1F6Bfg,46,27,17,21,13,23,18,19,14,7,2,0,3,2,5,6,10,28,74,123,129,81,70,50
3GLWwjU3Ku_2EWuJ71hxqg,5,5,3,4,1,0,0,2,0,0,0,0,1,1,2,3,2,7,12,13,27,33,30,6
G5iz09NiHOtAcxAAcMCXzA,30,13,11,4,3,0,1,3,0,1,0,3,0,0,1,0,11,17,28,39,41,45,34,45
v3hOnLX3zOuRao5Gc3C8hQ,16,21,8,6,3,3,1,3,4,2,0,1,2,0,6,11,23,22,22,30,28,33,23,26
YF4QJ_j-PM7cMZja6K1MwQ,61,40,32,13,12,41,60,52,27,21,12,6,0,3,3,3,12,26,84,145,150,96,89,55
17V-PM_2t0QIAvU0euBovg,6,8,4,1,2,2,2,0,2,1,0,0,0,1,0,0,10,14,11,15,8,15,14,14
gJ-GhQAJmb8NfmYmZ9vNbg,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,6,1,3,4,5
U8afCPSblJ_kagrU6nghqQ,21,16,7,5,2,0,0,0,0,0,0,4,10,23,22,16,9,8,11,10,8,3,5,16
XwqDAyiPGnQFuCWUsokSfg,10,7,4,0,4,0,2,1,0,1,1,0,0,0,1,8,13,21,19,15,9,11,13,17
sXskRyJsV8wEpWwFtSnMxw,8,3,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,5,7,5,4,1,1,2
AW9u28V3ktAS1dAwOm_7_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
AiJOhuojc61m73Gnd5vJBg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2gfnl6GnCQhOnUsE5tNHdQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1
GjWdDBsoZ17TGDV55zWj2g,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
v_eEKWfbJ6g8IgN71FVDRQ,15,14,17,5,0,0,0,0,0,0,0,0,0,0,0,1,9,10,14,7,2,2,28,37
MAfyzC6MuNwLTsemRdzlhA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Uq5dmjBtsWB67M6URZI2dA,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,0,4
-zsZLjeVBh0SpWlOXAbQaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M9O22kiyCq5Zkrmo5VMM2A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,2
KpJ651uRlKORbZCvs6x6qQ,7,7,6,1,8,6,9,6,2,0,0,1,1,0,0,2,0,7,7,4,5,3,2,5
t7YEHbN6NiuS1oBlD-R6ag,18,11,6,5,2,1,3,1,1,0,1,2,1,3,5,5,8,14,11,11,17,6,15,10
phLWnouPKgNkoRtS6wCYgQ,2,8,1,0,0,1,1,0,0,0,0,0,2,0,2,0,1,3,4,3,6,3,3,1
RYcrj1e_5i0tuCbeVMvH6Q,8,3,5,2,0,0,1,0,0,1,0,0,0,1,1,0,8,11,17,13,21,11,11,13
fdC-5VI6ifj6CR2LjKWRtQ,2,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1,3,3,2,0,2,3,2,0
4uqPzrv4QcRydUPHV_168Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v4k1YDx5ZO-EsW7ofnTc9w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aR1UZduaLR7g_ZHCuxKIvw,9,8,4,2,2,0,1,2,2,0,0,0,1,1,6,9,16,28,24,22,18,26,20,14
TGZVewJPoPh7qysgLW9vYg,6,6,22,6,0,0,0,0,0,0,0,0,0,1,2,4,2,2,2,5,3,4,4,2
-tBrUQj5L8Bmm3NNGs-cHQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
w721Onh4JR9wdlj0XzWzjg,3,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
o1-3jLb2XXSe_MoxIOpj0Q,5,4,3,2,1,1,0,1,0,0,0,1,0,0,0,6,8,6,10,12,5,9,9,10
Ql_yYull9tglbdsiNZcJiA,4,6,5,1,2,3,2,5,4,2,3,1,1,0,1,1,3,2,4,12,8,16,8,3
2G5LmDEjv3IuuS52xmJteQ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mu9SOad1xQHC0te41ec0MQ,20,9,4,9,4,30,53,33,18,8,3,2,1,0,0,1,0,9,11,20,18,26,12,7
MTySM0XJ-A8hdmUF-8W1Qw,6,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,1,3,13
Ko-c15eutBBh3xhQ_NiauA,28,24,20,19,13,13,7,8,3,2,0,0,0,2,7,5,11,16,23,28,33,28,26,16
uBBiD1XJk697Qcr84MIbKA,42,37,23,21,5,2,3,3,1,0,0,0,0,0,3,7,16,72,71,64,52,67,29,48
4-RYVpEEkAkw_7v875cGpQ,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,4,3,3,1
