business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
WKbfG_4203Kn__5rHFk9Gg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Wu8Ia0A5HkIlpu5ptfvcvg,5,2,8,6,2,3,3,3,2,4,3,2,0,0,0,0,0,1,0,1,0,1,4,4
NoSj3hV8Rlz_gUsOL4_EjQ,6,6,6,7,3,5,4,3,1,0,0,0,0,0,0,0,0,4,2,1,2,1,2,4
nMKj8Di_9YTdZcCAWFw3dw,4,7,19,10,4,1,3,7,4,2,0,0,0,1,1,5,2,5,3,7,4,4,3,2
bPfvv7TvMLxxA3__VomsxQ,1,5,4,11,10,2,5,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
a2OCO4yHDEifuKzjor_yRQ,11,14,8,16,14,5,8,13,12,12,5,5,2,0,1,1,2,4,10,7,4,6,5,5
5xYk23lz0ktdMvzHtohymQ,11,24,14,13,12,6,7,6,7,4,3,2,0,0,4,3,4,4,6,5,7,8,6,8
p45zoSxaX9FC6JBoyw6DKg,70,107,101,56,45,35,27,19,16,10,6,2,3,5,6,7,11,8,9,11,18,12,10,40
wb-OCJAuP1upOefBs7xljQ,12,7,6,12,7,9,4,6,6,8,7,1,0,1,0,1,0,2,3,16,23,13,7,7
5PP6BwtNYlPARHApB9lzcQ,9,32,54,37,13,10,4,2,1,1,0,0,0,4,0,2,4,5,9,18,17,8,3,9
qQIUMQJ0pMiiYpygql3Zdg,8,18,17,24,34,20,21,10,9,7,2,2,0,5,0,2,2,7,6,9,6,7,1,6
sz59vCd4YrfF2JBf153dDQ,11,13,20,14,14,10,13,9,5,10,5,7,1,0,1,1,0,1,4,12,5,4,10,6
Z2iYtj0ybh_ovOyRD8bjMg,74,108,116,117,117,86,66,42,25,12,5,0,0,0,2,0,1,2,4,4,4,13,10,45
sxrubytQT4TvSZJRDCAavQ,0,0,1,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
tsf1JNdeeQf_654YUSrzRw,105,181,297,215,131,126,101,96,80,36,24,8,4,8,7,6,12,19,46,50,66,44,66,66
muD5-YKII_qOTRpbRWuOHA,9,6,5,7,7,5,6,17,8,6,3,1,1,0,1,1,0,1,1,1,1,2,3,3
EAwh1OmG6t6p3nRaZOW_AA,196,293,338,327,306,243,200,164,166,117,85,67,39,29,54,68,114,136,182,199,151,146,129,150
uufFYaIiNeISTgzSsEcYwg,11,17,11,18,19,22,14,5,3,2,0,2,0,0,0,0,1,1,6,5,0,3,2,7
