business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
bPfvv7TvMLxxA3__VomsxQ,1,5,4,11,10,2,5,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
QyVVNCwysX6sRcTFFOO3Jg,4,4,29,25,3,1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,0,2
owzgaa8-XnZd5t0HjoQzzA,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g-NKvwy8iLePEQHsoUb17g,4,12,41,353,227,46,40,10,1,2,2,1,0,1,2,6,6,2,5,10,8,5,5,2
oVrvzUJczq0e2JzVxSTyag,61,99,174,97,293,145,65,51,11,5,4,2,0,3,6,5,9,12,13,14,17,11,47,43
OdeDt-ceeNTu7LSTUqqBbA,4,28,33,29,46,40,11,12,4,1,1,1,1,1,3,2,3,1,0,3,6,2,1,1
KmuLLSyZJdNoarwcIERHcw,28,161,117,127,316,110,76,27,8,8,1,1,1,3,5,3,5,8,7,9,12,2,14,12
BH9z7IJ4zydAqgwsbqoVZQ,13,76,219,124,371,217,73,65,26,9,5,7,10,8,10,16,5,11,12,6,15,20,16,13
DXlDzOcpdUE_F21tok0fgw,24,292,195,174,428,184,103,62,18,4,8,0,2,3,5,5,13,15,19,20,16,16,13,22
u-67zd1ImTv3EEr5kIdWrA,92,147,213,272,209,147,58,38,23,9,4,0,1,3,13,34,48,75,73,87,73,61,72,76
8mIrX_LrOnAqWsB5JrOojQ,147,125,120,149,153,77,27,6,1,1,1,0,0,2,3,2,7,14,60,128,186,280,233,148
J3FUxMAHfCl-WFo86u5DqA,12,169,123,56,207,104,46,27,5,2,0,0,1,1,3,6,1,5,4,2,11,6,3,16
OARQDsxyoGnnX2FfSl9HjA,9,139,110,102,236,133,38,24,7,4,2,2,1,2,1,7,7,6,4,6,7,3,4,8
YC8Llp3jlgKh8b-czHedHg,6,12,55,82,80,61,18,7,7,1,0,2,2,2,2,2,2,4,7,6,5,3,6,9
o1dX8oFupfjbBpYgT7TH0w,8,9,13,95,45,94,38,29,5,5,4,0,2,0,0,1,4,7,4,6,5,4,11,5
zPJiU9lAcNFM063AUK86NQ,8,5,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,1,6,13,14
53tPoc8JgbTTTAMja_ciKQ,4,47,57,41,90,57,13,16,9,0,0,2,2,2,2,1,0,3,3,3,2,0,1,13
qTmuW0C9XXuxWwumvn89sw,10,7,7,1,2,2,1,3,1,2,1,0,0,0,5,6,6,11,11,68,51,106,78,30
QpPyuxHVVJ6BtXd-FoCjgw,5,5,3,12,31,27,17,9,3,3,0,0,0,1,2,1,0,6,4,2,4,3,2,3
1p0Iu66E3ooq_tZkcmCZkg,1,2,13,9,8,16,5,9,2,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0
grA7IS-bMv9wYBoCOEa7GQ,27,22,19,6,3,3,0,0,0,0,0,0,0,0,0,3,2,26,44,28,45,30,32,42
fwuvm9wWcvFwpQXzcneaDQ,3,3,44,52,36,20,18,4,3,0,1,0,3,1,3,3,4,1,3,3,1,4,1,2
bYw7mT1e3frkxG0nd2_mjg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
kMLbk84aClc4qwSnuuuFzw,28,29,34,67,66,32,11,3,5,0,1,0,0,0,1,2,3,5,4,3,4,9,20,19
NW366Ota9w52nYofW99u1g,13,13,20,20,20,19,13,8,3,4,0,0,0,0,0,1,0,1,2,17,20,16,24,16
izl2fi4Ya2W3GqpQ928oSQ,22,8,3,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,2,4,32,29
KWBCsxyH7OxsibiY95fx2g,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,3,1,1,3,0,9
3wQy58Fdg_xrgul2FOw0_A,5,6,29,12,3,4,2,3,1,0,0,0,1,0,1,0,0,4,3,5,2,2,1,6
6HVSHPfhO5RUX4oi6YbKuA,4,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,7,5
mz9ltimeAIy2c2qf5ctljw,20,298,178,173,413,158,86,53,15,5,2,1,2,5,5,9,9,21,8,13,13,7,17,14
68vGFIH94olrtPi1kAEYVw,0,10,27,15,7,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1
q-5tLFZTQPmK0zE1E63lXA,3,0,0,3,5,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0
G9yM_HbWSXto5D-1ppKuJA,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
A5_opCP5Gq_x1pI8ZbVa2g,6,11,14,4,5,3,0,0,1,2,0,0,0,0,1,2,2,0,1,2,0,2,1,2
TX6BBY9rXOrNlHZdGmbrIQ,20,12,8,5,1,0,4,2,0,0,0,0,1,1,0,0,0,2,1,2,1,1,1,2
CqAfATa4bN_VD5BuY82TRQ,0,0,3,23,14,11,6,6,0,0,0,0,3,1,0,2,0,0,0,0,0,1,0,0
COeoqrKejlMnwgyAzTVzKw,1,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A6qvHu4tVEKzwjZjWSCeRQ,18,32,37,75,41,15,10,1,5,0,0,0,0,1,1,1,0,3,4,6,3,8,6,10
1UZi8dTv44-qizFTI64UJA,1,0,12,15,3,4,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,4,2,0
ZqLPwzbrGjOnwescG6ltEQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
znI3PLvLNIKvBZFCrgQg9A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pzUm_jLzVa9JAf4sC6tPLg,0,0,1,12,2,15,4,3,3,1,0,1,0,1,1,0,0,0,0,0,0,1,0,4
TscyJToVcStsohgRG9qM7g,3,11,19,18,3,4,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Hid4nlHKz1tm3KaxOUyvCg,1,4,6,12,9,3,2,4,0,1,0,0,0,0,0,1,1,3,3,2,0,2,2,1
y7clAfbS26JUp_EtEGpWHQ,5,40,133,67,38,21,4,0,1,1,1,1,0,2,2,3,5,5,1,1,6,3,5,1
fGt3udZE8r9JkbfMZnawXg,8,24,17,5,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4zD8uwQd1RCbpN1l0fJ64A,7,1,5,4,4,2,7,2,4,1,0,1,1,1,2,1,0,5,1,5,3,7,5,8
o6f_n_YyqHq1e7zXz_BP8w,6,17,5,3,5,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0
CMN3KmB5SEfONN00s2nEeQ,4,51,32,31,75,18,12,8,1,1,0,0,0,0,2,0,0,2,2,4,0,2,2,7
