business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1Iz9OlIJi12jLWrQYoUsAA,,,,,,,,,,,,,,,,,,,,,,1,,
NdUuGRxEH0waBQbL6R7mmg,31,40,53,40,47,36,28,17,13,10,2,1,1,4,5,9,14,20,26,35,36,20,26,30
WKbfG_4203Kn__5rHFk9Gg,,,,,,,,,,,,,,,,,,,,,,,1,
qSP6RqBJUyJRsQKTarlo6g,21,20,27,23,26,40,60,89,75,96,121,108,52,19,10,5,5,12,13,17,7,12,13,17
Wu8Ia0A5HkIlpu5ptfvcvg,2,1,7,9,7,6,6,4,5,1,3,2,1,,1,,1,1,,2,2,1,,
iCovpfQtG99MSHEqXew70w,2,,2,1,1,5,10,17,12,3,2,2,,,,,,,,,,,,2
Ny5Naxr3SiYfQqAF1rIQ0Q,1,,1,,,,,,,,,,,,,,1,3,,2,3,2,4,2
OJdufUU3hVabgviIBHksYw,47,47,73,70,82,98,87,92,69,53,34,14,2,,1,9,28,65,107,156,118,96,68,42
NoSj3hV8Rlz_gUsOL4_EjQ,5,3,3,3,1,6,5,3,4,1,,,,,2,1,5,,,1,4,1,2,
TtqvXhjmXXd0nhibRAbpRg,7,9,8,10,4,,,,,,,,,,,,,,,,,,1,
gRCEObNuHtI61xR32ytqNQ,75,114,85,92,61,69,54,60,57,41,34,17,16,11,19,48,50,74,74,92,73,86,71,77
4E309lwPu65lXyaeuLRETQ,1,,3,6,21,12,9,12,3,1,,,,,,,,,,2,2,1,,
mcWAIj1u1S-QDBhB7CiIdQ,8,10,14,13,18,20,20,7,13,6,,2,1,,,1,,1,2,12,12,8,8,8
ay6V-SfANiKOZvma7iZS0Q,15,29,24,28,19,3,1,,,,,,,,,,1,6,10,8,14,23,17,17
Sv0mCDEF0-V-HGR0nk5Egg,6,5,5,1,11,13,7,7,5,5,,,1,1,,1,,,,,2,,2,
03hmuxN-jpGWjdtBnhV2AQ,,1,3,4,5,9,20,6,7,4,1,4,,,,,,,2,,,,1,
heCI3_2JZ6WQZdWSWHiNXA,,,,2,1,4,3,1,2,,,,,,,,,,,,,,,
nMKj8Di_9YTdZcCAWFw3dw,2,4,3,4,2,3,6,,2,,,,,1,,3,,1,2,3,2,,1,1
U9nXdynQ2YR5xYx8tM3S7w,17,17,32,19,21,15,11,10,3,4,,,,,,,,,3,13,14,19,15,11
Ww5qfd1cx0ArJvV2KcnCsw,7,3,6,4,4,3,4,6,8,1,2,1,,1,,1,,,1,9,2,8,9,7
JIl4gbnh_cORSjSrZgOjAQ,5,7,8,25,44,82,77,107,63,60,35,15,7,1,,,,,2,4,5,9,5,10
8kW60GovVJJWdyA0AyS0OQ,7,5,11,16,17,27,27,29,24,11,7,4,5,2,,3,2,4,7,5,1,3,2,4
aGDo7GDN5YLvpYykpSLkbw,23,15,19,16,19,11,10,1,1,3,1,,,1,,,8,5,14,27,26,21,20,20
Y40U2KXA3v-N_h-9F8Y_aQ,3,,3,10,32,52,51,59,58,47,30,28,9,6,,2,,1,3,3,4,2,3,5
2g8LJSC_Ia9fZxdQRSVLig,5,2,5,10,13,11,11,4,6,,,,,,,,,2,,1,1,,2,4
JpPlBOJg9fb4Ib_iQnnURw,,,3,3,1,4,1,1,,,,,3,6,9,1,8,1,2,,,2,,
4Odbtgh9g8XUKorRg7MTHg,7,13,25,34,11,10,4,,1,1,,,,,1,,,,,1,2,,6,4
CXImGdRuyHEfPUbppCCm6A,,,,,,,1,1,2,2,1,1,,,,,,,,,,,,
ifIxHJrhevpBxKO2Nh5TjA,,,,,,4,,3,1,,,,,,,,,,1,1,,,,1
svzw9ZtZmBRSO7b49CRhyA,2,2,,7,7,5,9,9,2,3,,1,,,,,,1,,,,,,1
Y3KapbufrVomaGDHlKHM9A,3,5,8,8,3,3,,1,2,,4,2,1,,1,1,,1,4,4,5,3,9,9
H5Y6o9H4rtxbHJFgLqI6Fw,24,34,35,26,23,9,4,1,,,,,,,,,,,6,10,16,29,16,15
rTN9PfZFa3vmfyPZd-u9sw,4,9,6,7,9,7,8,5,1,5,3,,,,,,,,,,1,4,4,5
bPfvv7TvMLxxA3__VomsxQ,1,,,3,4,1,,,,,,1,,,,,,,,2,1,,,1
66jwLkSd6M0cZulZrA3zcw,11,25,20,22,10,12,2,2,,,,,,,,,3,,6,15,6,14,14,16
fzpnaYOqBDjKnnAgFcgR8A,3,3,3,2,,2,1,,1,,,,1,,,,5,7,5,4,2,4,2,3
0aw3HbxkZ4G7pkPYt10fhA,18,16,20,15,13,10,3,,,,,,,,,,,1,9,8,15,21,18,17
w2H8483LFXrth8X-cpku0Q,1,,3,1,4,1,3,,,,,,,,,,,1,,,,,1,1
axmTTwzbbRt8u3ZWWXsMEw,,,1,4,1,6,3,1,2,3,,,,,,,1,,3,3,3,2,1,2
HfxMovSXJZVqL514iUD02g,6,6,10,9,15,2,6,2,5,4,1,2,2,1,,,1,4,8,7,5,7,7,6
CYuKQ5PpwjDvVs3zru7fJg,,1,2,,,,,1,1,,,,,,,,1,,1,,,,1,
67OIG-1s4IAXb-YXNk6ZJg,2,5,2,7,26,28,18,19,12,10,2,5,,1,,,,1,,1,1,,1,6
W_qjGgy4LsEQnKKjIscDNg,1,4,5,4,3,4,2,2,1,2,,,,,,2,1,2,4,7,5,4,5,3
a2OCO4yHDEifuKzjor_yRQ,4,1,4,4,6,7,11,8,19,8,4,7,2,,1,,1,3,3,4,,2,6,8
3p0SYIaMbJ8j-yeK_do5Qg,6,10,13,14,12,15,9,21,27,13,8,2,2,1,3,4,2,5,7,7,5,9,6,5
eJCDUkFa7wl-BHYKZzaTMQ,22,29,47,35,30,11,4,1,2,,,,,,,,,,3,11,12,13,10,13
oByMSv0dwOfHsGfjj0oZxg,1,6,6,9,5,2,4,2,5,1,,,2,1,,1,4,5,6,7,3,1,2,
5xYk23lz0ktdMvzHtohymQ,1,6,14,12,7,2,1,2,1,5,,3,1,1,,,3,4,5,9,4,9,13,4
p45zoSxaX9FC6JBoyw6DKg,35,51,37,19,18,14,16,12,6,10,5,2,3,3,3,5,10,21,19,22,17,24,14,12
fBdZXMF0QyhehC_fri4JZg,3,3,6,4,6,4,2,1,3,3,1,,3,,2,,2,1,2,1,3,5,3,2
KalAJyO0Zpg3K1wVwYXBHA,16,51,60,51,50,9,6,3,,,,1,,,,,6,29,65,78,84,51,30,25
jkhEPQovg6JKPzUr43MC_g,,,2,1,1,1,1,,,,1,,,,,,2,,,2,3,2,,4
19umlhmVB9O3njIBfRAe8g,17,25,21,19,17,15,10,13,10,3,2,1,3,,2,3,8,9,12,10,18,16,11,12
FhIeCF6QrsLaRvAeu0oEPQ,27,45,53,36,18,4,3,,,,,,2,,,,1,3,4,6,4,11,9,8
wb-OCJAuP1upOefBs7xljQ,3,10,6,1,5,3,4,2,7,6,6,2,1,,,1,3,2,6,2,3,1,5,7
A_LQQRX0nGr7mSxuovXgzQ,42,29,16,6,2,2,,2,1,,,,1,1,1,63,91,139,114,71,18,11,61,26
rZDi46tdwQoSAmxU50xiQQ,59,73,110,112,77,77,56,41,22,11,9,4,9,8,12,24,28,59,65,65,56,75,56,44
4GXII-GU7S0ZyU6ElkhscQ,78,71,58,54,66,68,57,63,61,43,32,29,9,16,10,15,18,41,47,63,82,60,53,68
WzkbnhI-fxdH_tMzT3evtA,7,4,3,16,28,20,7,9,12,4,2,1,,1,2,2,5,8,2,2,6,8,2,6
Zx4iQCmQfAaXvwPc3TlF9Q,5,11,10,11,10,12,10,10,11,2,4,12,13,13,5,1,3,2,4,4,7,3,6,4
5PP6BwtNYlPARHApB9lzcQ,5,9,9,13,8,3,4,5,1,,1,,,,1,,5,2,6,12,9,8,10,4
qQIUMQJ0pMiiYpygql3Zdg,7,6,4,16,14,10,18,15,14,3,3,1,,,1,1,,2,4,5,3,3,,9
sz59vCd4YrfF2JBf153dDQ,7,3,13,11,11,11,10,8,6,3,1,,1,1,,1,2,6,4,6,7,4,8,2
qRhxldX3lnOMJUNlytYvfQ,6,11,9,14,10,10,7,4,,,,,,,,1,,1,1,7,14,4,8,4
FsZhVMtcVj9tWO6y9AqBBg,1,,1,1,,,,,,,,,,,,,4,2,2,2,2,3,,1
Zzl4ffV9kFY3yOSSgyRUBQ,48,49,39,54,71,62,53,57,43,27,16,8,8,5,3,9,12,25,27,30,37,49,47,52
n0QmJeame2VHWgMKj5gfrw,2,,2,5,4,6,2,1,,2,,,,,,,,,,,,1,1,
bpHeCdmCRFAUZqXT2TMdig,4,6,4,9,1,,,,,,,,,,,,,,1,6,1,3,4,1
7XqrmQ6VpZOl7Wg2Rf-NgQ,6,2,1,,,2,,,,,,,,,,2,3,1,3,6,10,9,4,5
uKPGUc5D0Ir2KuOkgzrgyg,1,16,9,21,31,41,53,45,26,7,1,,,,,,,1,,,,2,1,7
Z2iYtj0ybh_ovOyRD8bjMg,34,65,77,67,103,141,83,75,64,33,13,4,3,3,1,2,1,,3,16,9,25,31,50
lSgk0vHC4F3yds5hwJmWQQ,12,6,10,12,14,17,11,10,13,4,4,3,3,1,,2,4,7,11,5,8,3,9,2
ayOJSIl-P16HZAQBcQfUyQ,105,127,140,117,134,112,179,219,207,177,173,105,63,34,38,48,78,91,113,130,138,108,109,102
ScQ5xymJBw8HuUoCF7y_VQ,4,10,3,9,4,5,9,16,12,8,5,3,1,,1,2,1,,,2,2,2,1,4
sxrubytQT4TvSZJRDCAavQ,1,,2,1,4,1,1,,,,,,1,,,,,,,,,,1,1
BIBWGO_r_1znnlmLbp4Nxg,201,211,216,230,198,212,211,191,127,104,70,53,16,28,44,73,106,129,141,158,145,185,164,200
_TlhZftKs1aXCYX1rLWAGw,3,7,12,8,10,9,10,5,1,3,,1,,,,,1,1,4,,2,7,10,7
K8MWIwCrS5w-Dbi9UHOlhw,62,59,81,82,58,50,43,40,17,15,9,4,3,14,13,15,31,32,69,48,47,56,59,65
tsf1JNdeeQf_654YUSrzRw,66,89,90,73,77,103,64,64,43,30,15,7,5,12,5,5,14,15,25,35,36,45,48,40
iAu8s96GKQ73Xe7j_2GyCQ,21,34,32,26,18,12,13,10,11,7,11,3,1,1,2,2,2,3,6,11,12,12,14,16
QyVVNCwysX6sRcTFFOO3Jg,2,7,51,27,5,,2,,,,,,,,,1,,,2,2,17,10,11,3
DESv2ys6SjBKA4SyDtJvxw,63,86,101,118,69,41,35,32,23,7,1,,1,2,,1,,2,2,5,5,6,8,18
pHJu8tj3sI8eC5aIHLFEfQ,117,183,237,239,193,230,171,27,3,,,,1,,1,2,1,1,7,2,4,2,4,31
VxCnyVYn-FFgv6F1EqbdKA,63,90,78,68,86,95,87,56,64,32,37,36,13,6,15,28,48,62,84,87,96,65,80,65
muD5-YKII_qOTRpbRWuOHA,3,5,3,1,3,2,6,3,17,3,3,1,,,,,,1,1,,,3,4,1
0LDW1WT4mQ6r9GBf4G4kzA,10,11,26,32,42,41,31,23,15,16,4,9,5,4,1,,1,,,1,2,5,4,8
xtYiHTmunjfCN2sUaQxBjA,320,348,391,396,327,243,240,241,198,158,104,68,58,43,64,119,157,235,303,379,360,318,284,272
SOhuia1TQNLs3PAWS8yRUQ,,,,1,1,,,1,,1,1,1,,,,,,,,1,,,,
uo7nq-4J7A80a0t2a-55JQ,1,1,1,1,3,6,5,9,3,,1,1,,,,1,,1,,,,,,
XjepvTIfp4iqGq1orODedg,28,26,28,20,39,24,14,15,9,6,7,6,1,3,,,4,7,20,28,37,35,24,17
o7AiTlyWUrBSzdz6oMHj5w,250,260,268,239,190,222,248,241,175,112,86,59,29,26,60,95,135,168,198,216,239,223,207,230
OFw59czUoeeosFMKfRawmg,49,70,68,76,44,35,19,7,2,,,,,,,2,1,5,16,31,39,33,43,31
x_yLsQMQtlE0rdxnaf6J5w,39,50,49,39,35,33,28,47,31,13,6,5,1,,3,5,7,18,26,49,37,50,54,37
NY80DkkCfEl198JmwtO4pA,188,161,136,156,165,165,149,166,130,93,75,54,41,32,49,47,82,129,185,166,167,163,158,175
cyV6Y8eOgpDTtdJQnB6FaA,,,,,,,,,1,,,,,,,,,,,,,,1,2
6Q7-wkCPc1KF75jZLOTcMw,170,139,166,140,127,146,143,113,83,57,36,26,25,18,36,68,57,84,125,154,163,167,176,191
y_3IkHGoSkZlAqdkrMG-1w,1,6,8,2,4,4,5,2,4,3,,1,,,,1,7,6,1,3,,2,3,2
DYuOxkW4DtlJsTHdxdXSlg,80,97,109,112,63,49,31,8,1,2,4,,,1,,,1,2,13,34,46,64,54,44
d8780v952K4jQm0bcGRVTA,1,,1,,1,,3,4,,,2,1,1,,,,,,,,,,,
pd3uep0D-vKWHsLLlCu6qQ,14,10,13,14,29,27,25,19,15,13,10,6,21,5,7,7,2,2,5,13,13,8,11,13
PQQQKu5lD8F0Rg9MxrGcgQ,,,1,4,3,6,10,17,11,9,4,2,4,1,,1,,,,,1,,,
EAwh1OmG6t6p3nRaZOW_AA,128,168,190,197,204,156,171,147,150,159,114,87,60,27,20,38,62,117,151,186,142,125,109,112
LEASX4wn1U1TAmwQfsDtIw,8,7,7,7,8,8,7,3,8,5,7,2,,,2,2,2,6,6,11,3,6,15,9
5Zc41a446gV3K_o7CDs69Q,67,79,90,82,64,50,37,74,43,32,20,12,13,13,25,24,43,59,73,44,55,60,51,69
viMNp9q8ATxFCWpLGr4RvQ,1,4,1,3,5,6,7,1,3,1,1,1,,1,,1,,,,,,2,1,1
Adfso3cOhkAfv8YXC__aqg,,,,1,,,,2,1,1,,,,,,,,,2,,,,,
z4_C3XB69nrMQ8yuQhUzqw,2,8,8,10,5,14,9,8,11,6,5,8,5,,,2,1,1,1,3,2,3,3,2
PaKG_CtfPbjWQUcdro81rw,2,3,3,3,12,19,16,17,62,91,130,154,89,51,24,18,8,7,7,9,5,10,5,9
jPAywkrJN7mJWKeNpDuSng,,2,,,,2,,3,,,1,2,1,,,,,,,1,,,,
7wst00GRGs8qsuf2QtsnaA,3,3,6,14,29,31,31,46,28,13,5,5,,,,2,,2,,,,3,1,3
nhIWy8eXayUvDzAz3Ef-Og,19,29,22,36,22,19,30,32,24,24,19,14,3,4,1,4,14,28,24,16,33,24,31,35
Wg91oE233AzNieNryRJYYg,15,17,26,10,11,9,7,4,,1,,,,,,1,,2,3,10,8,6,8,7
OCzor6KH_4WPbWjwyzG0GQ,1,4,3,1,8,5,7,3,7,3,2,4,,,,,,,2,,,1,1,2
N3WQPXoVeCuzqyPIvWIX5Q,,,2,,3,6,5,1,4,1,1,1,1,,,,1,,,,,1,1,1
pDSl9xdKJCdN4vu8z26cEA,6,12,25,36,34,48,34,46,34,26,9,2,,,1,2,,1,2,7,2,6,7,6
JsCKeWHA8n_5mFQ3F6t4UA,19,42,29,45,47,24,30,22,13,11,7,2,,,1,,,,14,23,25,30,23,23
74C1z6cqEdvJVgETTcEodw,15,35,45,41,21,17,4,5,3,,1,,,,,3,1,2,,1,2,,1,2
X-WXPGYuuknAjZkpYGeRiw,26,25,33,17,11,15,8,6,9,10,4,3,6,5,14,12,18,21,24,18,16,12,15,16
hpnFcRFzs3kg-qM1tPEg3g,19,19,37,47,70,88,115,137,144,163,124,99,61,21,12,4,7,1,5,8,18,9,16,12
makqSKZaz1aUipoWBW0BsA,43,52,44,44,29,36,31,42,26,21,15,9,5,6,20,39,35,42,43,46,36,39,42,32
owLXnEhlMLsFpemYoOxNkg,47,52,55,60,45,29,30,70,93,78,115,70,28,17,17,21,36,44,48,50,32,33,38,36
xVEtGucSRLk5pxxN0t4i6g,56,92,169,137,114,66,42,14,15,8,3,1,,3,11,9,9,17,59,71,73,53,35,37
O9LDS66IUKIBkGz_uFZKWQ,26,39,44,42,30,12,3,,,,,,,,,,1,,1,12,18,21,20,21
uufFYaIiNeISTgzSsEcYwg,1,3,6,4,8,8,8,7,3,4,2,,1,,1,1,,,,5,3,3,2,2
LJt-NO2FhvQxTmBoaaLhTg,16,29,26,31,30,21,21,24,10,8,3,2,,2,,4,6,14,12,19,18,14,9,16
YNDxeeRUARbd8GRnscJSvg,23,42,65,54,37,11,5,1,,,,,,,1,1,1,2,1,,1,1,,3
lHCwqXdDSmlmqe88WpjeEg,18,13,13,12,14,12,12,20,24,12,6,3,1,1,,1,1,1,,,2,4,3,8
ZKQ_1uw0QKblfE6wrzm7Rw,5,9,2,7,8,8,12,5,2,1,,1,,,,,,,,1,,1,,
w4yq1IRk0DHQE995giqjGg,29,36,40,40,28,13,6,3,1,,,,,,,,,,5,22,32,30,30,12
aEswvENK_RJnPbcJPSvAjA,7,6,10,8,5,10,15,9,7,6,6,3,4,2,,2,2,7,5,6,8,6,7,4
Vg1C_1eqwIwkZLIXGMTW3g,64,46,52,50,56,34,53,39,24,23,15,7,3,9,5,13,16,14,28,20,29,38,20,19
eNQHcdSomzl4KyIlgN2zTg,2,2,4,8,27,53,51,76,52,49,25,6,3,1,,,1,,1,,,3,1,2
5uMby-2z4xIFBQjgTLCYdg,1,5,5,7,16,26,20,10,5,4,2,,,1,1,2,2,2,4,5,4,,2,
Apkr-qykgpUI5ltIw7B-7Q,3,9,7,3,6,6,12,11,9,4,1,4,1,,,2,,8,3,4,6,1,2,
hlPtbUi_Ejlk_ab0J6QzWA,46,42,6,2,1,,1,2,1,,,,,,12,12,21,51,35,68,67,14,40,73
ARbfYHjtwtddBztjaf_Qng,26,29,27,19,17,10,2,,,,,,,6,5,6,9,22,25,28,29,30,18,18
lPK3iqwVwFPOMswRrejwZQ,4,1,1,3,1,5,3,1,4,1,3,6,1,,2,,,,,,1,,1,2
LCf4MZQcwgtniQUJ-MQBZA,2,1,1,3,1,4,1,1,4,,2,2,,,2,,1,2,4,11,6,8,2,1
UVVjnJ67fm9EbNPFK5ZgRQ,3,4,13,9,13,30,13,15,18,4,2,,,,,1,,2,,4,5,4,4,6
