business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1Iz9OlIJi12jLWrQYoUsAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WKbfG_4203Kn__5rHFk9Gg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
qSP6RqBJUyJRsQKTarlo6g,21,20,27,23,26,40,60,89,75,96,121,108,52,19,10,5,5,12,13,17,7,12,13,17
Wu8Ia0A5HkIlpu5ptfvcvg,2,1,7,9,7,6,6,4,5,1,3,2,1,0,1,0,1,1,0,2,2,1,0,0
iCovpfQtG99MSHEqXew70w,2,0,2,1,1,5,10,17,12,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2
OJdufUU3hVabgviIBHksYw,47,47,73,70,82,98,87,92,69,53,34,14,2,0,1,9,28,65,107,156,118,96,68,42
NoSj3hV8Rlz_gUsOL4_EjQ,5,3,3,3,1,6,5,3,4,1,0,0,0,0,2,1,5,0,0,1,4,1,2,0
TtqvXhjmXXd0nhibRAbpRg,7,9,8,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4E309lwPu65lXyaeuLRETQ,1,0,3,6,21,12,9,12,3,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0
mcWAIj1u1S-QDBhB7CiIdQ,8,10,14,13,18,20,20,7,13,6,0,2,1,0,0,1,0,1,2,12,12,8,8,8
ay6V-SfANiKOZvma7iZS0Q,15,29,24,28,19,3,1,0,0,0,0,0,0,0,0,0,1,6,10,8,14,23,17,17
Sv0mCDEF0-V-HGR0nk5Egg,6,5,5,1,11,13,7,7,5,5,0,0,1,1,0,1,0,0,0,0,2,0,2,0
03hmuxN-jpGWjdtBnhV2AQ,0,1,3,4,5,9,20,6,7,4,1,4,0,0,0,0,0,0,2,0,0,0,1,0
heCI3_2JZ6WQZdWSWHiNXA,0,0,0,2,1,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nMKj8Di_9YTdZcCAWFw3dw,2,4,3,4,2,3,6,0,2,0,0,0,0,1,0,3,0,1,2,3,2,0,1,1
U9nXdynQ2YR5xYx8tM3S7w,17,17,32,19,21,15,11,10,3,4,0,0,0,0,0,0,0,0,3,13,14,19,15,11
Ww5qfd1cx0ArJvV2KcnCsw,7,3,6,4,4,3,4,6,8,1,2,1,0,1,0,1,0,0,1,9,2,8,9,7
JIl4gbnh_cORSjSrZgOjAQ,5,7,8,25,44,82,77,107,63,60,35,15,7,1,0,0,0,0,2,4,5,9,5,10
8kW60GovVJJWdyA0AyS0OQ,7,5,11,16,17,27,27,29,24,11,7,4,5,2,0,3,2,4,7,5,1,3,2,4
aGDo7GDN5YLvpYykpSLkbw,23,15,19,16,19,11,10,1,1,3,1,0,0,1,0,0,8,5,14,27,26,21,20,20
Y40U2KXA3v-N_h-9F8Y_aQ,3,0,3,10,32,52,51,59,58,47,30,28,9,6,0,2,0,1,3,3,4,2,3,5
2g8LJSC_Ia9fZxdQRSVLig,5,2,5,10,13,11,11,4,6,0,0,0,0,0,0,0,0,2,0,1,1,0,2,4
JpPlBOJg9fb4Ib_iQnnURw,0,0,3,3,1,4,1,1,0,0,0,0,3,6,9,1,8,1,2,0,0,2,0,0
CXImGdRuyHEfPUbppCCm6A,0,0,0,0,0,0,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ifIxHJrhevpBxKO2Nh5TjA,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
svzw9ZtZmBRSO7b49CRhyA,2,2,0,7,7,5,9,9,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1
H5Y6o9H4rtxbHJFgLqI6Fw,24,34,35,26,23,9,4,1,0,0,0,0,0,0,0,0,0,0,6,10,16,29,16,15
rTN9PfZFa3vmfyPZd-u9sw,4,9,6,7,9,7,8,5,1,5,3,0,0,0,0,0,0,0,0,0,1,4,4,5
bPfvv7TvMLxxA3__VomsxQ,1,0,0,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1
66jwLkSd6M0cZulZrA3zcw,11,25,20,22,10,12,2,2,0,0,0,0,0,0,0,0,3,0,6,15,6,14,14,16
fzpnaYOqBDjKnnAgFcgR8A,3,3,3,2,0,2,1,0,1,0,0,0,1,0,0,0,5,7,5,4,2,4,2,3
0aw3HbxkZ4G7pkPYt10fhA,18,16,20,15,13,10,3,0,0,0,0,0,0,0,0,0,0,1,9,8,15,21,18,17
w2H8483LFXrth8X-cpku0Q,1,0,3,1,4,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
axmTTwzbbRt8u3ZWWXsMEw,0,0,1,4,1,6,3,1,2,3,0,0,0,0,0,0,1,0,3,3,3,2,1,2
HfxMovSXJZVqL514iUD02g,6,6,10,9,15,2,6,2,5,4,1,2,2,1,0,0,1,4,8,7,5,7,7,6
CYuKQ5PpwjDvVs3zru7fJg,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
