business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
NdUuGRxEH0waBQbL6R7mmg,31,40,53,40,47,36,28,17,13,10,2,1,1,4,5,9,14,20,26,35,36,20,26,30
Ny5Naxr3SiYfQqAF1rIQ0Q,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,3,2,4,2
gRCEObNuHtI61xR32ytqNQ,75,114,85,92,61,69,54,60,57,41,34,17,16,11,19,48,50,74,74,92,73,86,71,77
Y3KapbufrVomaGDHlKHM9A,3,5,8,8,3,3,0,1,2,0,4,2,1,0,1,1,0,1,4,4,5,3,9,9
3p0SYIaMbJ8j-yeK_do5Qg,6,10,13,14,12,15,9,21,27,13,8,2,2,1,3,4,2,5,7,7,5,9,6,5
oByMSv0dwOfHsGfjj0oZxg,1,6,6,9,5,2,4,2,5,1,0,0,2,1,0,1,4,5,6,7,3,1,2,0
5xYk23lz0ktdMvzHtohymQ,1,6,14,12,7,2,1,2,1,5,0,3,1,1,0,0,3,4,5,9,4,9,13,4
jkhEPQovg6JKPzUr43MC_g,0,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,2,3,2,0,4
19umlhmVB9O3njIBfRAe8g,17,25,21,19,17,15,10,13,10,3,2,1,3,0,2,3,8,9,12,10,18,16,11,12
rZDi46tdwQoSAmxU50xiQQ,59,73,110,112,77,77,56,41,22,11,9,4,9,8,12,24,28,59,65,65,56,75,56,44
4GXII-GU7S0ZyU6ElkhscQ,78,71,58,54,66,68,57,63,61,43,32,29,9,16,10,15,18,41,47,63,82,60,53,68
Zzl4ffV9kFY3yOSSgyRUBQ,48,49,39,54,71,62,53,57,43,27,16,8,8,5,3,9,12,25,27,30,37,49,47,52
7XqrmQ6VpZOl7Wg2Rf-NgQ,6,2,1,0,0,2,0,0,0,0,0,0,0,0,0,2,3,1,3,6,10,9,4,5
lSgk0vHC4F3yds5hwJmWQQ,12,6,10,12,14,17,11,10,13,4,4,3,3,1,0,2,4,7,11,5,8,3,9,2
ayOJSIl-P16HZAQBcQfUyQ,105,127,140,117,134,112,179,219,207,177,173,105,63,34,38,48,78,91,113,130,138,108,109,102
ScQ5xymJBw8HuUoCF7y_VQ,4,10,3,9,4,5,9,16,12,8,5,3,1,0,1,2,1,0,0,2,2,2,1,4
BIBWGO_r_1znnlmLbp4Nxg,201,211,216,230,198,212,211,191,127,104,70,53,16,28,44,73,106,129,141,158,145,185,164,200
_TlhZftKs1aXCYX1rLWAGw,3,7,12,8,10,9,10,5,1,3,0,1,0,0,0,0,1,1,4,0,2,7,10,7
K8MWIwCrS5w-Dbi9UHOlhw,62,59,81,82,58,50,43,40,17,15,9,4,3,14,13,15,31,32,69,48,47,56,59,65
VxCnyVYn-FFgv6F1EqbdKA,63,90,78,68,86,95,87,56,64,32,37,36,13,6,15,28,48,62,84,87,96,65,80,65
xtYiHTmunjfCN2sUaQxBjA,320,348,391,396,327,243,240,241,198,158,104,68,58,43,64,119,157,235,303,379,360,318,284,272
SOhuia1TQNLs3PAWS8yRUQ,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
o7AiTlyWUrBSzdz6oMHj5w,250,260,268,239,190,222,248,241,175,112,86,59,29,26,60,95,135,168,198,216,239,223,207,230
NY80DkkCfEl198JmwtO4pA,188,161,136,156,165,165,149,166,130,93,75,54,41,32,49,47,82,129,185,166,167,163,158,175
6Q7-wkCPc1KF75jZLOTcMw,170,139,166,140,127,146,143,113,83,57,36,26,25,18,36,68,57,84,125,154,163,167,176,191
y_3IkHGoSkZlAqdkrMG-1w,1,6,8,2,4,4,5,2,4,3,0,1,0,0,0,1,7,6,1,3,0,2,3,2
EAwh1OmG6t6p3nRaZOW_AA,128,168,190,197,204,156,171,147,150,159,114,87,60,27,20,38,62,117,151,186,142,125,109,112
LEASX4wn1U1TAmwQfsDtIw,8,7,7,7,8,8,7,3,8,5,7,2,0,0,2,2,2,6,6,11,3,6,15,9
5Zc41a446gV3K_o7CDs69Q,67,79,90,82,64,50,37,74,43,32,20,12,13,13,25,24,43,59,73,44,55,60,51,69
nhIWy8eXayUvDzAz3Ef-Og,19,29,22,36,22,19,30,32,24,24,19,14,3,4,1,4,14,28,24,16,33,24,31,35
X-WXPGYuuknAjZkpYGeRiw,26,25,33,17,11,15,8,6,9,10,4,3,6,5,14,12,18,21,24,18,16,12,15,16
makqSKZaz1aUipoWBW0BsA,43,52,44,44,29,36,31,42,26,21,15,9,5,6,20,39,35,42,43,46,36,39,42,32
owLXnEhlMLsFpemYoOxNkg,47,52,55,60,45,29,30,70,93,78,115,70,28,17,17,21,36,44,48,50,32,33,38,36
rTZVcJZ8G80i6NjLw0SW8Q,148,187,210,171,105,81,63,57,38,23,20,13,8,12,15,25,36,115,108,133,121,126,158,141
1TTQ41NqKks69GltQSQNIA,69,71,96,80,72,88,58,35,21,24,17,5,7,7,11,30,36,47,58,80,82,84,78,90
ByFMv3p5X1aNeZhU61rDcA,145,176,123,154,124,143,105,96,92,75,34,29,12,21,37,40,70,81,102,106,97,127,137,149
g62SlImzhs6_1t-knPjd8w,77,114,109,115,134,87,62,35,11,5,4,1,0,0,1,1,1,7,6,7,9,16,19,39
ebTvBxSStI9Vf5Tpux_X3Q,202,243,332,241,185,180,142,176,133,100,67,60,37,21,41,61,108,131,156,180,196,190,181,175
ajoqEHnCZTD8-8GqGLq9-Q,225,260,324,292,290,252,263,237,178,95,85,73,48,33,31,56,81,132,158,210,223,191,202,201
na4Th5DrNauOv-c43QQFvA,648,642,750,657,718,679,607,550,412,224,205,104,73,65,91,143,233,373,533,681,741,712,707,628
qjnJFZtsY_nfRzoL3J_UWQ,347,428,436,392,409,339,339,316,249,180,131,85,48,35,51,91,134,210,288,348,387,420,441,386
LkMtMHVetws5_7QfRjPtlg,126,133,131,109,113,90,79,82,70,40,32,28,17,20,28,59,85,98,103,89,92,99,94,106
ii8sAGBexBOJoYRFafF9XQ,403,443,467,423,403,376,330,373,260,209,122,81,47,54,66,128,222,331,447,488,436,435,363,431
5iSmZO0SrKU6EoXK_1M8Kw,314,320,291,303,297,251,192,222,143,131,87,71,43,43,51,77,163,170,215,257,276,264,287,283
Wxxvi3LZbHNIDwJ-ZimtnA,724,729,767,745,751,730,603,552,426,313,272,172,121,86,101,193,368,588,724,843,812,763,712,708
DfgZlNgKwBvCpA_0alumXw,360,407,450,409,460,436,352,299,236,148,126,61,41,42,68,102,180,209,325,353,318,353,358,318
El4FC8jcawUVgw_0EIcbaQ,641,747,796,737,768,657,620,539,382,244,184,139,88,93,172,295,351,400,538,632,602,600,656,635
uanCi4OGc1mHLGl_AT4JhQ,311,317,321,332,314,264,231,221,166,145,106,79,53,37,54,87,155,232,255,271,266,239,270,261
u_vPjx925UPEG9DFOAAvFQ,221,246,222,180,187,194,163,191,155,142,98,67,37,35,46,84,137,168,210,229,236,193,254,210
AV6weBrZFFBfRGCbcRGO4g,361,386,361,369,355,303,296,299,273,155,125,77,61,39,74,110,171,244,310,310,322,305,327,328
eAc9Vd6loOgRQolMXQt6FA,518,676,717,676,573,551,530,419,305,191,109,82,49,61,94,172,301,438,552,582,536,467,583,544
Ou8pYS24azDWG0ru_vUcqg,9,12,7,10,5,8,0,1,0,0,1,0,0,0,2,4,5,6,15,12,13,20,11,10
f8IMQgRwo-8GP372MElDGQ,70,75,73,65,63,76,67,45,34,27,13,5,8,8,15,22,35,49,67,51,56,54,53,52
J3FUxMAHfCl-WFo86u5DqA,9,89,60,41,132,87,31,16,4,2,1,0,1,0,0,3,2,3,7,7,7,6,10,7
if59L5DHM4pPMrCx9HuD8A,67,92,66,77,63,63,54,56,49,33,27,27,16,15,15,27,37,60,62,76,79,55,50,53
PgJgpW4TKQ8IoALH2Yq-zA,31,43,68,58,41,17,4,3,1,2,0,0,2,1,4,14,35,54,101,110,86,61,28,21
RhEvP5flF6KoPriMHmVYGg,417,579,632,521,495,416,313,214,150,74,52,10,17,22,74,139,184,293,348,395,454,461,386,416
d6_UHGiMQb5_m8mi_tRc2Q,23,26,24,24,33,54,55,30,16,11,2,0,0,0,0,0,2,3,8,14,15,27,24,31
VyjyHoBg3KC5BSFRlD0ZPQ,710,715,735,637,539,572,499,406,282,195,172,86,44,49,67,135,212,350,494,720,847,775,710,708
p0iEUamJVp_QpaheE-Nz_g,304,357,368,379,317,313,264,368,320,155,130,115,73,84,102,148,185,207,282,271,263,298,255,241
VahVKCDFougCFlWH87OYZQ,5,12,17,17,8,6,8,6,9,2,0,1,2,2,2,6,8,15,37,41,29,19,12,6
LlCbRAZfVkyqL21yKSyd4w,0,2,3,0,3,2,1,3,3,2,1,1,0,1,0,1,1,1,0,0,2,1,0,1
mRsb657hi4iQcb0r5_VlYw,3,6,7,2,2,3,2,3,1,1,3,1,1,3,2,10,9,13,6,8,12,6,6,9
CAxHrXoPrbf0e0AYFPhv6g,8,16,24,15,8,3,6,0,4,3,1,1,1,1,3,4,14,18,18,11,9,9,10,6
BLIJ-p5wYuAhw6Pp6mh6mw,552,580,614,634,598,551,577,513,481,409,299,211,109,75,99,150,212,335,483,598,633,646,667,593
6V_7ldr9tjmet0BdAnC34A,66,44,35,60,28,12,4,2,1,4,1,0,0,1,0,1,2,3,1,1,1,1,2,7
uGupeWqih0yIcCg8anM1PA,518,562,577,490,524,456,403,375,297,239,183,157,91,73,96,169,294,363,518,493,483,488,466,427
COeoqrKejlMnwgyAzTVzKw,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ABJjxuO6oh5D9R48-eAUdQ,12,25,18,21,21,9,2,4,0,0,2,0,0,3,2,9,23,31,46,52,42,24,21,16
7zec5DCEukcx8GRFn9LbLQ,15,11,11,28,32,28,22,21,11,6,6,1,1,0,2,6,7,3,5,9,6,6,7,6
