business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4Odbtgh9g8XUKorRg7MTHg,7,13,25,34,11,10,4,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,6,4
67OIG-1s4IAXb-YXNk6ZJg,2,5,2,7,26,28,18,19,12,10,2,5,0,1,0,0,0,1,0,1,1,0,1,6
PaKG_CtfPbjWQUcdro81rw,2,3,3,3,12,19,16,17,62,91,130,154,89,51,24,18,8,7,7,9,5,10,5,9
jPAywkrJN7mJWKeNpDuSng,0,2,0,0,0,2,0,3,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0
hpnFcRFzs3kg-qM1tPEg3g,19,19,37,47,70,88,115,137,144,163,124,99,61,21,12,4,7,1,5,8,18,9,16,12
GCRvrxMSC1nzShyM4Y-guQ,1,0,4,2,3,3,34,55,28,28,16,18,6,4,1,0,0,2,1,0,2,0,1,1
-nKIDHXa5H23rq8d6KGT_Q,1,1,2,2,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
aLlREPOEtt3JzeDCagHytA,8,9,5,15,34,178,249,238,156,102,61,23,1,3,1,3,2,6,6,8,2,7,5,4
ECOkEVUodMLUxvI0PMI4gQ,27,30,38,78,212,561,647,486,364,257,124,54,17,6,11,6,11,18,25,24,27,23,19,19
SvHAczHxIJ00QlJ9ovQR8g,15,7,7,25,54,90,114,122,127,60,33,9,0,1,1,2,3,3,5,8,4,31,20,32
ruWTngdiC68O9la27hvvHw,11,23,53,54,76,103,116,97,89,45,16,4,1,2,4,0,4,5,6,7,7,2,4,0
939j88ceB05Te3D7kQPwSA,5,12,13,29,51,63,83,98,64,34,23,5,4,2,1,2,3,4,0,1,2,7,7,5
zlpLjbwrKuNs8zROgB_qUQ,3,2,6,2,10,96,145,165,126,76,36,14,1,2,2,2,0,2,0,4,3,2,3,1
SWjKi3VJzq72d277NLSDCA,1,0,2,1,2,3,41,58,53,31,14,7,4,0,0,0,0,0,0,3,0,1,0,0
O589S0opFB9oK8VcL5tRcA,3,4,11,18,11,12,26,41,30,37,32,24,11,6,0,3,3,1,4,1,2,4,4,8
Y5lamf0Jv4pB48otGWrkkg,0,2,1,4,10,1,3,13,7,3,1,3,0,0,0,0,1,2,1,1,0,3,0,2
2I_qSTehoUFsDNjaqCVxlA,9,12,24,28,21,33,50,55,70,71,57,16,1,0,0,0,0,0,3,0,1,3,3,5
DV13F0bhe55dV1AhwoO50g,3,0,5,12,35,63,110,120,114,54,22,6,2,0,0,0,2,1,0,3,3,4,3,2
1PVFYjySeMsHUYnshzpAGw,1,3,2,0,6,13,61,102,93,72,36,24,3,2,0,0,0,1,0,4,1,1,2,0
uB9i7cEBW4KTOH8PqAEabw,0,0,0,0,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
yhYhK7tb3la5KcLlVzG5Lw,2,4,2,1,16,78,128,150,104,63,22,3,1,2,1,0,5,4,4,0,5,0,1,2
LeuGZImVz_IG1e-SMYTSXw,0,0,0,3,4,22,48,27,20,18,5,0,0,0,1,0,0,1,0,1,0,1,0,0
mPbOzrmqgDqpgTw2fLHUPg,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
glTBzDHv9wNhEsZa4bQrOA,1,2,7,7,18,21,29,54,29,13,10,9,1,1,0,1,1,2,0,2,1,0,3,2
vw81ARj4ihGzcmanHw6dUg,4,3,1,6,19,45,49,56,50,30,20,8,1,1,2,1,3,2,1,0,5,4,2,3
xGU6La_nGJ7cJrMhbtp__Q,0,4,17,31,55,73,64,65,28,18,7,1,1,0,0,2,1,1,1,1,0,1,2,2
Al0uCu7s9LQEURwV1F6Bfg,54,27,15,17,6,6,3,6,6,2,0,3,1,3,4,4,20,52,178,287,232,183,135,100
5t9kTG9DakuamJgY65HA7w,0,0,2,2,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
-4gwgdvSq_PqOmHb70au8Q,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w8zw4-3Ns2M4CQxeW9Bszw,0,0,1,2,6,25,62,53,17,13,9,1,0,0,0,1,1,2,0,1,1,0,0,1
VsewHMsfj1Mgsl2i_hio7w,56,88,137,200,200,249,234,187,147,64,31,10,2,0,3,2,0,21,41,55,55,92,126,75
MpmFFw0GE_2iRFPdsRpJbA,22,22,22,40,276,1217,1721,1533,1010,686,449,197,66,11,6,14,18,35,30,45,30,32,28,23
IZKjHtCuRlbhyD1WtGd8uA,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3GLWwjU3Ku_2EWuJ71hxqg,21,11,0,1,2,0,1,1,2,0,0,0,1,0,1,2,7,9,25,23,27,34,31,30
6hGFtOcrhYeAE0uBUNpgLQ,0,2,3,4,5,1,7,6,5,7,3,0,0,0,0,0,0,0,1,0,0,0,1,2
T64FH66qs4EN0d0ds2f5fw,1,3,4,7,20,149,271,245,169,110,54,15,4,0,2,3,4,3,8,5,4,3,7,4
26qWU1er-B1ofp47_ZjD0w,3,4,2,1,7,12,25,29,18,7,3,2,0,1,0,1,1,0,0,0,0,0,1,0
DMMEWBNOJhB9nG_2J1lYvg,4,6,15,11,15,28,37,34,25,22,9,2,0,0,2,1,1,2,3,3,3,4,4,11
HCy67mv3yK8BXlrTwcdKSg,4,6,26,13,7,20,13,10,4,1,0,0,0,0,0,0,0,1,1,3,1,2,2,5
KYEZATGRY5aD69ZR6VvyWQ,4,8,13,8,12,2,4,1,3,0,0,0,0,0,1,3,2,3,6,2,9,3,5,4
_pBXtjN43eqMV0XZTz7nmw,7,12,11,21,83,525,884,846,484,287,188,52,23,5,2,6,9,11,13,14,11,8,7,10
YF4QJ_j-PM7cMZja6K1MwQ,100,57,20,16,16,31,57,41,27,25,16,8,3,5,5,12,26,116,411,563,410,273,203,166
Q-qdb8Om_gE8dEqb_Ysejw,6,4,14,7,7,4,5,4,5,1,0,0,0,0,0,0,0,2,0,1,3,0,0,9
GAhKwMfERTKgACn1Z2BMrg,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WUq8HJHIZU4uteB154XN7w,107,57,47,171,683,1557,1653,1247,860,548,371,202,74,33,21,20,48,81,199,352,384,291,203,150
VXWCXy_wYgg5sbcz0kx_Qw,1,2,0,1,2,8,7,44,76,42,17,12,15,10,9,3,0,0,0,0,0,0,0,0
kQY8Ymc2Nv9-czF9U7fMTw,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,1
kICgNgVRkIh4doz0atyMMA,19,46,84,81,84,165,192,139,72,38,14,6,1,1,1,1,2,3,6,6,0,4,2,6
KpJ651uRlKORbZCvs6x6qQ,1,3,3,1,8,22,14,9,10,1,2,2,1,0,1,0,0,5,7,6,17,8,9,5
nK8PGLI2y--RKYNwyFhg-g,1,0,1,2,2,5,16,17,15,9,5,0,0,0,0,0,0,0,3,1,0,0,0,1
1pWGpIdWU7eIe_9l8mW3fA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cYo4MYfZp8u2C-v4erGWCQ,0,0,0,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64A4CTvJ2uRQVPkJ5E91ag,6,16,24,28,61,167,400,360,228,128,57,19,5,1,1,5,3,4,5,6,4,6,8,14
DN_Mr2qDAWcr2A47-zr00w,1,1,0,1,3,28,49,37,40,26,20,3,2,1,0,0,0,2,2,3,0,0,1,0
2JanhWrbIAi0VgpwgKFwaA,0,1,0,0,2,5,4,4,5,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
Fib1pHk5oeh_9iwObSNgEQ,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
sIogXWARDBB9f3CeF3vnew,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
fW8XnRboAmGZOZVPoOGWcw,3,3,4,3,5,10,5,2,2,1,0,0,0,0,1,3,4,2,1,2,4,0,1,1
J9_DEGY1Ul5U-AoA3zaZzw,2,3,0,3,3,2,2,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2
j-G4URmQla2Jkc7DsfxDuA,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
