business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
qSP6RqBJUyJRsQKTarlo6g,21,20,27,23,26,40,60,89,75,96,121,108,52,19,10,5,5,12,13,17,7,12,13,17
ay6V-SfANiKOZvma7iZS0Q,15,29,24,28,19,3,1,0,0,0,0,0,0,0,0,0,1,6,10,8,14,23,17,17
03hmuxN-jpGWjdtBnhV2AQ,0,1,3,4,5,9,20,6,7,4,1,4,0,0,0,0,0,0,2,0,0,0,1,0
nMKj8Di_9YTdZcCAWFw3dw,2,4,3,4,2,3,6,0,2,0,0,0,0,1,0,3,0,1,2,3,2,0,1,1
jkhEPQovg6JKPzUr43MC_g,0,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,2,3,2,0,4
5PP6BwtNYlPARHApB9lzcQ,5,9,9,13,8,3,4,5,1,0,1,0,0,0,1,0,5,2,6,12,9,8,10,4
Zzl4ffV9kFY3yOSSgyRUBQ,48,49,39,54,71,62,53,57,43,27,16,8,8,5,3,9,12,25,27,30,37,49,47,52
n0QmJeame2VHWgMKj5gfrw,2,0,2,5,4,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ScQ5xymJBw8HuUoCF7y_VQ,4,10,3,9,4,5,9,16,12,8,5,3,1,0,1,2,1,0,0,2,2,2,1,4
z4_C3XB69nrMQ8yuQhUzqw,2,8,8,10,5,14,9,8,11,6,5,8,5,0,0,2,1,1,1,3,2,3,3,2
PaKG_CtfPbjWQUcdro81rw,2,3,3,3,12,19,16,17,62,91,130,154,89,51,24,18,8,7,7,9,5,10,5,9
N3WQPXoVeCuzqyPIvWIX5Q,0,0,2,0,3,6,5,1,4,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1
74C1z6cqEdvJVgETTcEodw,15,35,45,41,21,17,4,5,3,0,1,0,0,0,0,3,1,2,0,1,2,0,1,2
aEswvENK_RJnPbcJPSvAjA,7,6,10,8,5,10,15,9,7,6,6,3,4,2,0,2,2,7,5,6,8,6,7,4
UVVjnJ67fm9EbNPFK5ZgRQ,3,4,13,9,13,30,13,15,18,4,2,0,0,0,0,1,0,2,0,4,5,4,4,6
