business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
FsZhVMtcVj9tWO6y9AqBBg,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,2,3,0,1
X-WXPGYuuknAjZkpYGeRiw,26,25,33,17,11,15,8,6,9,10,4,3,6,5,14,12,18,21,24,18,16,12,15,16
twX6mYg7TT1ImLUJflt5Tg,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,7,6,5,5,3,1
NAyXRFKfSn6b7fSvVI7M4A,9,7,3,3,6,8,1,2,0,0,0,0,0,1,0,0,3,6,32,23,19,28,22,16
m4EqSB0aI17jzMyCtdfWAA,8,6,6,5,3,4,6,3,4,1,2,1,0,0,3,7,2,8,22,19,31,19,21,14
NiJfIfs31PK5BHmZnuYoLA,4,2,2,1,1,0,2,0,0,0,2,0,2,0,0,1,1,4,18,9,13,10,15,11
82H9MpHRKRIpY6WdKEVL1g,13,9,5,3,2,0,0,2,3,0,0,0,0,1,0,6,16,18,35,53,30,36,27,30
UJ3J2vIJOrxQ9q7M06Wm4Q,38,34,34,65,73,24,9,2,2,2,3,2,0,2,3,20,43,36,53,55,61,56,47,41
Al0uCu7s9LQEURwV1F6Bfg,54,27,15,17,6,6,3,6,6,2,0,3,1,3,4,4,20,52,178,287,232,183,135,100
3GLWwjU3Ku_2EWuJ71hxqg,21,11,0,1,2,0,1,1,2,0,0,0,1,0,1,2,7,9,25,23,27,34,31,30
G5iz09NiHOtAcxAAcMCXzA,30,10,9,1,2,0,0,1,0,0,0,0,1,1,3,4,5,19,31,54,49,60,57,37
v3hOnLX3zOuRao5Gc3C8hQ,15,13,3,3,4,4,0,0,1,0,1,0,3,1,1,5,7,12,20,24,18,26,22,17
YF4QJ_j-PM7cMZja6K1MwQ,100,57,20,16,16,31,57,41,27,25,16,8,3,5,5,12,26,116,411,563,410,273,203,166
17V-PM_2t0QIAvU0euBovg,10,1,0,1,0,1,0,2,0,0,0,0,1,0,0,2,2,6,14,11,8,11,12,10
gJ-GhQAJmb8NfmYmZ9vNbg,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,3,2,1,5,3,5
U8afCPSblJ_kagrU6nghqQ,1,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,1,5,4,5,2
XwqDAyiPGnQFuCWUsokSfg,14,5,3,1,1,2,0,1,0,1,0,0,1,1,2,8,5,19,11,12,10,22,10,13
sXskRyJsV8wEpWwFtSnMxw,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,2,6
AW9u28V3ktAS1dAwOm_7_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
AiJOhuojc61m73Gnd5vJBg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2gfnl6GnCQhOnUsE5tNHdQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GjWdDBsoZ17TGDV55zWj2g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
v_eEKWfbJ6g8IgN71FVDRQ,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,12,14,9,8,1,0,0
MAfyzC6MuNwLTsemRdzlhA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Uq5dmjBtsWB67M6URZI2dA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,1,1,0
-zsZLjeVBh0SpWlOXAbQaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
M9O22kiyCq5Zkrmo5VMM2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,2,1,1
KpJ651uRlKORbZCvs6x6qQ,1,3,3,1,8,22,14,9,10,1,2,2,1,0,1,0,0,5,7,6,17,8,9,5
t7YEHbN6NiuS1oBlD-R6ag,9,5,2,3,2,5,1,1,2,0,0,0,1,1,0,4,4,5,3,10,7,12,7,5
phLWnouPKgNkoRtS6wCYgQ,4,5,6,7,3,0,0,1,0,0,0,0,0,0,1,2,1,5,1,3,3,0,2,2
RYcrj1e_5i0tuCbeVMvH6Q,4,1,5,0,2,0,0,0,1,0,0,0,0,0,0,1,3,8,14,15,8,15,13,8
fdC-5VI6ifj6CR2LjKWRtQ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0,0,0
4uqPzrv4QcRydUPHV_168Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v4k1YDx5ZO-EsW7ofnTc9w,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
aR1UZduaLR7g_ZHCuxKIvw,5,5,3,2,2,0,1,2,0,0,2,0,1,0,4,5,8,14,19,15,20,8,20,12
TGZVewJPoPh7qysgLW9vYg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,1
