business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
WKbfG_4203Kn__5rHFk9Gg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Wu8Ia0A5HkIlpu5ptfvcvg,2,1,7,9,7,6,6,4,5,1,3,2,1,0,1,0,1,1,0,2,2,1,0,0
NoSj3hV8Rlz_gUsOL4_EjQ,5,3,3,3,1,6,5,3,4,1,0,0,0,0,2,1,5,0,0,1,4,1,2,0
nMKj8Di_9YTdZcCAWFw3dw,2,4,3,4,2,3,6,0,2,0,0,0,0,1,0,3,0,1,2,3,2,0,1,1
bPfvv7TvMLxxA3__VomsxQ,1,0,0,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1
a2OCO4yHDEifuKzjor_yRQ,4,1,4,4,6,7,11,8,19,8,4,7,2,0,1,0,1,3,3,4,0,2,6,8
5xYk23lz0ktdMvzHtohymQ,1,6,14,12,7,2,1,2,1,5,0,3,1,1,0,0,3,4,5,9,4,9,13,4
p45zoSxaX9FC6JBoyw6DKg,35,51,37,19,18,14,16,12,6,10,5,2,3,3,3,5,10,21,19,22,17,24,14,12
wb-OCJAuP1upOefBs7xljQ,3,10,6,1,5,3,4,2,7,6,6,2,1,0,0,1,3,2,6,2,3,1,5,7
5PP6BwtNYlPARHApB9lzcQ,5,9,9,13,8,3,4,5,1,0,1,0,0,0,1,0,5,2,6,12,9,8,10,4
qQIUMQJ0pMiiYpygql3Zdg,7,6,4,16,14,10,18,15,14,3,3,1,0,0,1,1,0,2,4,5,3,3,0,9
sz59vCd4YrfF2JBf153dDQ,7,3,13,11,11,11,10,8,6,3,1,0,1,1,0,1,2,6,4,6,7,4,8,2
Z2iYtj0ybh_ovOyRD8bjMg,34,65,77,67,103,141,83,75,64,33,13,4,3,3,1,2,1,0,3,16,9,25,31,50
sxrubytQT4TvSZJRDCAavQ,1,0,2,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
tsf1JNdeeQf_654YUSrzRw,66,89,90,73,77,103,64,64,43,30,15,7,5,12,5,5,14,15,25,35,36,45,48,40
muD5-YKII_qOTRpbRWuOHA,3,5,3,1,3,2,6,3,17,3,3,1,0,0,0,0,0,1,1,0,0,3,4,1
EAwh1OmG6t6p3nRaZOW_AA,128,168,190,197,204,156,171,147,150,159,114,87,60,27,20,38,62,117,151,186,142,125,109,112
uufFYaIiNeISTgzSsEcYwg,1,3,6,4,8,8,8,7,3,4,2,0,1,0,1,1,0,0,0,5,3,3,2,2
LJt-NO2FhvQxTmBoaaLhTg,16,29,26,31,30,21,21,24,10,8,3,2,0,2,0,4,6,14,12,19,18,14,9,16
lHCwqXdDSmlmqe88WpjeEg,18,13,13,12,14,12,12,20,24,12,6,3,1,1,0,1,1,1,0,0,2,4,3,8
Vg1C_1eqwIwkZLIXGMTW3g,64,46,52,50,56,34,53,39,24,23,15,7,3,9,5,13,16,14,28,20,29,38,20,19
Apkr-qykgpUI5ltIw7B-7Q,3,9,7,3,6,6,12,11,9,4,1,4,1,0,0,2,0,8,3,4,6,1,2,0
lPK3iqwVwFPOMswRrejwZQ,4,1,1,3,1,5,3,1,4,1,3,6,1,0,2,0,0,0,0,0,1,0,1,2
WKrCvD-CoDZnCj3nsMCrRw,17,16,20,28,16,16,28,22,24,22,10,4,2,2,4,5,8,6,14,16,12,13,13,18
ejcVeQztxXY6NX2O2SE0Rw,9,11,4,12,5,11,13,30,26,19,8,5,1,1,1,0,1,0,0,3,3,2,2,5
AqpiBApzrd30LA-vmU3Rvw,13,21,8,24,17,29,32,15,19,11,8,1,0,0,1,3,0,2,2,4,9,13,16,10
YZGSNhgTS6YeyUYoivD-Ww,46,79,77,71,55,66,40,45,32,29,9,15,6,4,6,1,7,3,23,41,58,40,47,41
U-zsJM-VN89i3PbaIbKmJw,73,67,69,80,85,58,60,27,13,9,2,0,2,1,2,7,21,27,47,61,76,73,76,56
aNe8ofTYrealxqv7VtFTuw,43,62,46,51,48,56,74,100,90,63,38,19,6,3,8,17,8,10,14,10,13,9,16,14
VahVKCDFougCFlWH87OYZQ,5,12,17,17,8,6,8,6,9,2,0,1,2,2,2,6,8,15,37,41,29,19,12,6
_wnAPt7ehpybzQptYKNHxQ,1,2,1,1,0,1,0,1,0,3,0,0,0,3,3,1,0,0,1,0,0,2,1,1
jdAdf7keZac1idbgNKG2pw,12,18,20,16,11,14,15,2,3,3,8,4,2,0,4,5,18,40,34,19,3,14,6,8
LlCbRAZfVkyqL21yKSyd4w,0,2,3,0,3,2,1,3,3,2,1,1,0,1,0,1,1,1,0,0,2,1,0,1
w7r_pDUR56k0raVroQhhww,50,73,61,60,39,41,30,22,25,16,11,19,11,2,5,7,36,47,35,35,33,28,17,22
F-g0QH4IvrFtJUVRzDtzCA,7,20,9,3,1,9,15,12,12,9,6,1,0,0,0,3,0,0,0,2,2,2,4,3
9hEPwq1GmU1dp3ZyBB9ASQ,8,11,9,5,3,8,14,24,19,16,7,2,1,2,1,0,1,1,0,0,2,1,4,3
VR8QvH2g-jEG5EfMzA_G9w,66,94,84,97,94,109,87,73,50,34,5,2,1,2,0,3,4,13,33,56,84,84,70,64
b5uCtk5iUcdeSWBNAx40Ug,10,22,14,3,3,2,2,1,1,0,2,1,0,0,0,0,0,0,0,2,1,2,3,1
eSLwC2iFJOU4UWXyuPiTpg,31,31,49,63,57,58,46,40,25,10,2,0,1,0,0,2,8,16,18,24,31,25,23,27
CAxHrXoPrbf0e0AYFPhv6g,8,16,24,15,8,3,6,0,4,3,1,1,1,1,3,4,14,18,18,11,9,9,10,6
glVCZzuFSnf24UGYsOl2Vw,5,11,11,11,17,20,47,67,85,37,20,13,10,4,0,3,1,1,2,4,1,6,6,4
01SiPgdiOskMC5bUJoyy_g,19,13,19,20,17,15,11,7,2,4,2,3,4,1,0,1,3,3,9,15,8,12,2,4
maIam6HyU4FB_sBIk9ippA,6,6,5,13,16,14,14,21,13,11,4,7,4,6,12,8,3,3,4,6,5,4,3,5
8jlSRdjL4ARMhS3gXrqJmQ,6,4,12,11,8,8,12,9,11,12,9,3,2,1,0,0,2,4,5,7,10,8,6,10
ywCvmXdxwNLICkene1lDnA,4,10,7,8,6,4,7,10,8,2,0,1,0,1,0,3,3,2,0,1,3,2,3,4
b48IZPvY6MQO8MXK3uCNCQ,7,9,3,8,4,5,2,3,2,6,1,1,1,0,4,0,0,4,7,5,7,5,6,3
tXq5OcDNUT9boWJtaxtOlA,10,13,25,19,16,16,7,22,22,13,2,5,4,0,1,6,5,10,10,20,15,16,8,9
jhjmgnCYsTpIe-XOMZR-vA,4,12,11,15,7,19,7,5,1,0,0,0,0,0,0,2,0,0,3,5,9,5,6,10
x1fx7C_tc064cFATjl4fmQ,8,11,31,18,17,14,9,7,7,3,0,3,0,0,1,3,8,7,8,8,8,5,3,2
uWIrZQx2BxKznWPjxWGRNg,6,8,11,13,11,13,10,16,8,3,4,1,1,1,3,6,5,3,4,5,8,5,5,7
rzxEaRIVQXWObAHBUMOAvw,2,3,3,4,3,0,2,6,6,4,4,4,1,0,0,1,0,1,0,3,2,1,3,2
3X7dy9FD3fQ8fQ-WBBzDMw,27,23,32,33,39,35,34,11,13,1,1,0,0,0,0,1,0,1,3,1,5,9,13,16
xo1FxmxwWAXIVZ1MO222dg,28,37,55,36,37,24,34,22,19,10,14,6,7,3,16,6,5,14,21,15,15,16,20,25
-OEIW0dO96-492qa_luxaw,56,87,115,98,74,56,44,28,35,11,5,1,1,1,3,0,4,11,21,31,56,64,51,56
JWhqCvKTs5vLwIrhrbgx7Q,17,10,9,12,6,6,10,12,9,5,3,2,0,0,0,1,0,2,0,2,1,3,2,1
KHROx3AxX8btg70JDPbIqg,16,26,19,19,31,13,21,18,13,9,4,2,0,1,2,6,4,11,3,9,14,14,7,11
Xspg78dOvuedvuPEUwZBjw,42,34,42,40,50,36,27,5,4,0,2,1,1,0,0,2,20,45,58,55,51,74,54,52
nHQtk-oJVNvVpvfFslv9Ug,5,5,5,3,6,13,7,21,8,6,3,1,4,0,1,0,0,0,0,2,3,1,1,1
7IkSGKKiWhfkXQBCT8EOgA,11,23,27,17,31,20,13,12,1,3,1,1,1,0,1,1,5,33,21,21,16,15,7,21
kzwiQ54fopeTgGEIkgJ2dQ,38,40,37,41,28,49,54,97,90,32,13,17,4,4,6,5,10,5,8,3,6,18,10,22
5_ymZOB8eIfi6nzzL5-SbQ,42,65,66,81,71,69,66,67,47,42,28,24,13,7,3,5,13,22,26,39,39,47,34,37
71bwX-tbmq4su8H7Q9oLOQ,154,103,35,13,10,9,14,14,18,5,3,2,0,0,1,3,1,3,6,18,23,71,57,175
vjhB95c5nOXflNoyq_jKzw,152,144,158,122,83,35,23,8,4,0,1,0,1,0,0,2,9,18,52,102,114,120,82,100
n0tnioUYabmpBrTwmIq08Q,8,2,1,4,7,7,7,5,3,3,1,1,0,1,0,0,0,1,1,0,3,0,0,0
