business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
bPfvv7TvMLxxA3__VomsxQ,1,0,0,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1
QyVVNCwysX6sRcTFFOO3Jg,2,7,51,27,5,0,2,0,0,0,0,0,0,0,0,1,0,0,2,2,17,10,11,3
owzgaa8-XnZd5t0HjoQzzA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
g-NKvwy8iLePEQHsoUb17g,0,3,20,205,140,32,18,8,3,0,0,1,0,2,0,3,1,2,3,2,2,2,5,3
oVrvzUJczq0e2JzVxSTyag,33,108,134,92,271,140,78,57,15,4,5,2,0,0,2,6,4,12,9,9,12,12,30,22
OdeDt-ceeNTu7LSTUqqBbA,3,4,14,12,24,18,7,3,4,1,0,0,0,0,0,2,3,1,0,0,2,1,0,3
KmuLLSyZJdNoarwcIERHcw,5,66,55,55,117,46,29,25,0,3,4,0,1,4,1,3,0,5,6,7,5,4,4,3
BH9z7IJ4zydAqgwsbqoVZQ,12,66,201,118,321,210,77,53,15,4,8,6,8,5,3,5,6,7,7,8,10,8,15,8
DXlDzOcpdUE_F21tok0fgw,12,189,165,134,369,206,80,67,11,8,5,3,0,1,0,9,7,7,5,5,10,5,5,9
u-67zd1ImTv3EEr5kIdWrA,62,128,213,262,200,195,115,69,28,11,2,3,0,1,5,21,33,57,60,52,58,69,36,47
8mIrX_LrOnAqWsB5JrOojQ,72,69,76,97,84,63,52,12,0,1,0,1,1,0,0,0,1,6,35,82,111,141,150,117
J3FUxMAHfCl-WFo86u5DqA,9,89,60,41,132,87,31,16,4,2,1,0,1,0,0,3,2,3,7,7,7,6,10,7
OARQDsxyoGnnX2FfSl9HjA,9,138,110,95,230,126,34,23,7,7,1,3,0,1,0,4,7,6,4,5,2,4,3,3
YC8Llp3jlgKh8b-czHedHg,6,11,52,83,81,118,31,37,4,1,0,1,2,0,0,3,5,5,10,5,6,9,5,4
o1dX8oFupfjbBpYgT7TH0w,2,30,13,94,63,114,79,56,18,5,1,0,0,1,1,4,3,8,7,5,3,2,5,0
zPJiU9lAcNFM063AUK86NQ,2,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,4,10,7
53tPoc8JgbTTTAMja_ciKQ,10,28,18,16,50,34,5,5,3,1,0,0,0,1,4,3,4,1,2,2,2,1,18,22
qTmuW0C9XXuxWwumvn89sw,14,6,3,1,2,1,2,1,2,0,1,0,0,1,2,3,2,6,5,16,19,51,32,22
QpPyuxHVVJ6BtXd-FoCjgw,2,0,1,4,9,16,3,0,2,1,0,1,0,1,1,1,0,1,0,1,4,3,0,1
1p0Iu66E3ooq_tZkcmCZkg,0,0,5,5,3,9,8,4,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0
grA7IS-bMv9wYBoCOEa7GQ,7,7,9,1,1,1,1,0,1,0,0,0,0,0,0,0,1,16,27,20,23,14,25,12
fwuvm9wWcvFwpQXzcneaDQ,0,2,18,22,13,14,10,7,1,0,0,0,0,0,0,1,1,4,1,1,0,0,2,0
bYw7mT1e3frkxG0nd2_mjg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
kMLbk84aClc4qwSnuuuFzw,12,13,27,34,33,32,20,7,2,2,1,0,0,0,0,1,2,1,4,1,7,8,6,7
NW366Ota9w52nYofW99u1g,3,9,12,16,9,8,8,6,8,2,3,0,0,0,0,0,1,0,2,11,3,8,13,7
izl2fi4Ya2W3GqpQ928oSQ,9,6,3,0,3,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,1,1,19,20
KWBCsxyH7OxsibiY95fx2g,35,92,160,214,210,148,52,16,7,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0
3wQy58Fdg_xrgul2FOw0_A,4,5,10,11,5,3,0,1,1,1,0,0,0,1,0,0,1,0,1,0,2,1,0,0
6HVSHPfhO5RUX4oi6YbKuA,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,8,7
mz9ltimeAIy2c2qf5ctljw,17,192,146,143,357,164,83,48,14,4,2,1,2,2,5,3,8,11,8,6,14,11,8,20
68vGFIH94olrtPi1kAEYVw,1,2,23,15,7,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
q-5tLFZTQPmK0zE1E63lXA,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G9yM_HbWSXto5D-1ppKuJA,0,1,0,0,0,2,1,5,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0
A5_opCP5Gq_x1pI8ZbVa2g,3,5,8,3,2,0,2,1,0,0,1,0,0,0,0,3,0,2,2,0,1,0,1,2
TX6BBY9rXOrNlHZdGmbrIQ,3,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
CqAfATa4bN_VD5BuY82TRQ,0,0,0,16,5,2,5,4,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
COeoqrKejlMnwgyAzTVzKw,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
A6qvHu4tVEKzwjZjWSCeRQ,5,11,13,29,22,11,3,1,0,1,0,0,1,0,2,0,2,1,2,3,5,2,7,5
1UZi8dTv44-qizFTI64UJA,1,1,8,5,5,2,0,2,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0
ZqLPwzbrGjOnwescG6ltEQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
znI3PLvLNIKvBZFCrgQg9A,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
pzUm_jLzVa9JAf4sC6tPLg,0,3,2,7,5,15,3,5,2,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1
TscyJToVcStsohgRG9qM7g,0,4,46,45,19,19,14,1,2,0,0,0,1,0,0,0,0,0,0,0,5,3,0,3
Hid4nlHKz1tm3KaxOUyvCg,0,5,15,27,16,12,11,4,0,2,0,1,1,0,0,0,0,2,3,1,2,2,1,1
y7clAfbS26JUp_EtEGpWHQ,4,12,70,47,89,68,10,7,1,1,0,0,0,0,0,1,1,1,2,2,1,1,0,1
fGt3udZE8r9JkbfMZnawXg,21,37,34,9,4,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5
4zD8uwQd1RCbpN1l0fJ64A,7,1,2,2,1,2,2,4,1,1,0,0,0,1,0,1,1,2,5,5,7,10,8,19
o6f_n_YyqHq1e7zXz_BP8w,3,8,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1
CMN3KmB5SEfONN00s2nEeQ,8,29,39,33,64,19,17,12,3,3,0,0,2,0,0,2,3,0,2,0,1,2,1,1
NCFwm2-TDb-oBQ2medmYDg,130,141,183,206,247,216,219,143,61,36,23,13,12,7,13,22,44,43,75,115,145,161,163,152
UceIYWaKErRX_CSviEgVuw,1,30,19,10,43,20,11,0,2,0,0,0,2,0,1,1,1,2,2,3,3,1,1,4
1fK0bh0dI_Pz6-I8jorHQw,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4
Nm1pBGkT5euNOn29JHwXrQ,15,9,32,22,13,9,3,2,1,2,0,1,0,1,0,0,2,1,1,1,1,7,54,36
4Pzw-hvOESVUhQnZvXzjOg,5,12,8,24,16,7,2,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,4,0
P5ok14ZLSORO-1521ZPWNw,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e98_6C_gMInBf9ZpctDIxw,0,0,2,1,28,14,7,6,2,1,1,0,0,0,0,1,0,2,0,1,0,0,0,1
XIgTZdZqJLuaYnaWG3jyFw,18,37,29,9,6,6,1,2,1,0,1,0,1,0,3,4,3,2,3,1,6,3,7,3
SLJX2dksO_BeNMQUe3Nr8Q,3,3,2,2,1,1,0,3,2,0,0,0,1,1,1,1,3,1,1,1,0,2,2,0
U57kGjM96gJHP3FZiCde5w,0,0,1,5,55,26,11,4,1,0,1,0,1,0,0,0,0,2,1,1,2,0,1,1
ATi_nyof_4WGpmtHoc53dQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wmSpZnWRgaH1Zk8sfnRqHA,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SwiqqxIA1UlSi5kxwaaR2w,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0
kqEjBvWOgnitmH4nTTPuJQ,0,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N98tlF53bqiWZ72INWaFyg,7,10,4,8,7,4,4,1,1,0,0,0,0,0,1,2,0,1,0,0,2,5,10,9
a2JgQgEGm5hMDEhryhMMJg,9,9,9,21,12,16,10,2,0,1,0,1,3,2,0,0,2,1,1,2,4,0,1,2
o597EK6uvR5RuPMZEwYCUg,6,105,78,117,213,90,45,19,6,7,3,0,1,2,0,1,5,5,2,4,4,7,10,17
bzwLwNB4i38hE-hUKMbH5w,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
Euarvo7ZLzpuTOFXOx70Qw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UgusE1TeoVGQRPg_wN4Ubg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
